2003-01-01 287_48 282_19 262_41 242_05 225_39 109_22 058_38 303_55 286_48 235_22 041_28 1.02 13.10 F000.88 F001.13 F000.65 R359.88 R359.98 F000.08 F000.05 F000.00 359.95
2003-01-02 288_49 295_25 263_34 243_13 226_18 109_15 058_37 304_00 286_51 235_22 041_25 1.00 12.85 F000.95 F001.12 F000.62 R359.87 R359.95 F000.05 F000.02 F000.05 359.95
2003-01-03 289_49 308_16 264_31 244_20 226_55 109_07 058_34 304_03 286_52 235_25 041_22 1.00 12.58 F000.98 F001.13 F000.65 R359.85 R359.97 F000.07 F000.05 F000.00 359.95
2003-01-04 290_49 320_51 265_30 245_28 227_34 108_58 058_32 304_07 286_55 235_25 041_19 1.03 12.32 F001.02 F001.12 F000.65 R359.87 R359.98 F000.05 F000.02 F000.05 359.95
2003-01-05 291_51 333_10 266_31 246_35 228_13 108_50 058_31 304_10 286_56 235_28 041_16 1.02 12.10 F001.08 F001.13 F000.65 R359.88 R359.95 F000.05 F000.07 F000.00 359.95
2003-01-06 292_52 345_16 267_36 247_43 228_52 108_43 058_28 304_13 287_00 235_28 041_13 1.00 11.95 F001.12 F001.12 F000.65 R359.85 R359.98 F000.05 F000.02 F000.05 359.95
2003-01-07 293_52 357_13 268_43 248_50 229_31 108_34 058_27 304_16 287_01 235_31 041_10 1.02 11.83 F001.15 F001.13 F000.63 R359.88 R359.97 F000.05 F000.05 F000.00 359.95
2003-01-08 294_53 009_03 269_52 249_58 230_09 108_27 058_25 304_19 287_04 235_31 041_07 1.03 11.80 F001.15 F001.15 F000.65 R359.87 R359.97 F000.07 F000.05 F000.05 359.95
2003-01-09 295_55 020_51 271_01 251_07 230_48 108_19 058_23 304_23 287_07 235_34 041_04 1.00 11.87 F001.23 F001.15 F000.62 R359.88 R359.98 F000.05 F000.02 F000.00 359.95
2003-01-10 296_55 032_43 272_15 252_16 231_25 108_12 058_22 304_26 287_08 235_34 041_01 1.00 12.03 F001.22 F001.15 F000.65 R359.87 R359.98 F000.07 F000.03 F000.02 359.93
2003-01-11 297_55 044_45 273_28 253_25 232_04 108_04 058_21 304_30 287_10 235_35 040_57 1.02 12.27 F001.28 F001.13 F000.65 R359.85 R359.97 F000.07 F000.05 F000.03 359.93
2003-01-12 298_56 057_01 274_45 254_33 232_43 107_55 058_19 304_34 287_13 235_37 040_53 1.00 12.60 F001.30 F001.13 F000.65 R359.87 R000.00 F000.05 F000.05 F000.03 359.97
2003-01-13 299_56 069_37 276_03 255_41 233_22 107_47 058_19 304_37 287_16 235_39 040_51 1.03 13.00 F001.30 F001.17 F000.63 R359.88 R359.97 F000.05 F000.03 F000.02 359.93
2003-01-14 300_58 082_37 277_21 256_51 234_00 107_40 058_17 304_40 287_18 235_40 040_47 1.00 13.42 F001.33 F001.15 F000.65 R359.87 R359.98 F000.05 F000.02 F000.00 359.97
2003-01-15 301_58 096_02 278_41 258_00 234_39 107_32 058_16 304_43 287_19 235_40 040_45 1.00 13.83 F001.37 F001.13 F000.65 R359.88 R000.00 F000.08 F000.05 F000.02 359.95
2003-01-16 302_58 109_52 280_03 259_08 235_18 107_25 058_16 304_48 287_22 235_41 040_42 1.03 14.20 F001.37 F001.17 F000.62 R359.87 R000.00 F000.05 F000.02 F000.03 359.92
2003-01-17 304_00 124_04 281_25 260_18 235_55 107_17 058_16 304_51 287_23 235_43 040_37 1.00 14.45 F001.40 F001.17 F000.65 R359.88 R359.98 F000.07 F000.05 F000.03 359.95
2003-01-18 305_00 138_31 282_49 261_28 236_34 107_10 058_15 304_55 287_26 235_45 040_34 1.02 14.63 F001.43 F001.15 F000.65 R359.90 R000.00 F000.05 F000.03 F000.02 359.95
2003-01-19 306_01 153_09 284_15 262_37 237_13 107_04 058_15 304_58 287_28 235_46 040_31 1.00 14.67 F001.42 F001.15 F000.62 R359.88 R359.97 F000.05 F000.05 F000.00 359.95
2003-01-20 307_01 167_49 285_40 263_46 237_50 106_57 058_13 305_01 287_31 235_46 040_28 1.00 14.55 F001.45 F001.17 F000.67 R359.87 R000.00 F000.05 F000.03 F000.03 359.95
2003-01-21 308_01 182_22 287_07 264_56 238_30 106_49 058_13 305_04 287_33 235_48 040_25 1.00 14.40 F001.50 F001.18 F000.62 R359.90 R000.00 F000.07 F000.02 F000.02 359.95
2003-01-22 309_01 196_46 288_37 266_07 239_07 106_43 058_13 305_08 287_34 235_49 040_22 1.03 14.20 F001.48 F001.15 F000.65 R359.87 E000.00 F000.05 F000.05 F000.00 359.95
2003-01-23 310_03 210_58 290_06 267_16 239_46 106_35 058_13 305_11 287_37 235_49 040_19 1.00 13.95 F001.52 F001.17 F000.65 R359.88 F000.00 F000.07 F000.05 F000.02 359.95
2003-01-24 311_03 224_55 291_37 268_26 240_25 106_28 058_13 305_15 287_40 235_50 040_16 1.00 13.73 F001.50 F001.18 F000.65 R359.90 F000.03 F000.07 F000.02 F000.03 359.95
2003-01-25 312_03 238_39 293_07 269_37 241_04 106_22 058_15 305_19 287_41 235_52 040_13 1.02 13.50 F001.55 F001.15 F000.62 R359.90 F000.00 F000.05 F000.03 F000.00 359.95
2003-01-26 313_04 252_09 294_40 270_46 241_41 106_16 058_15 305_22 287_43 235_52 040_10 1.00 13.32 F001.55 F001.17 F000.63 R359.90 F000.00 F000.05 F000.05 F000.00 359.95
2003-01-27 314_04 265_28 296_13 271_56 242_19 106_10 058_15 305_25 287_46 235_52 040_07 1.00 13.10 F001.60 F001.18 F000.65 R359.87 F000.02 F000.05 F000.03 F000.03 359.92
2003-01-28 315_04 278_34 297_49 273_07 242_58 106_02 058_16 305_28 287_48 235_54 040_02 1.00 12.95 F001.57 F001.18 F000.65 R359.92 F000.00 F000.08 F000.02 F000.02 359.97
2003-02-01 316_04 291_31 299_23 274_18 243_37 105_57 058_16 305_33 287_49 235_55 040_00 1.00 12.75 F001.63 F001.17 F000.63 R359.88 F000.00 F000.05 F000.05 F000.00 359.95
2003-02-02 317_04 304_16 301_01 275_28 244_15 105_50 058_16 305_36 287_52 235_55 039_57 1.00 12.58 F001.62 F001.17 F000.65 R359.93 F000.02 F000.03 F000.02 F000.00 359.93
2003-02-03 318_04 316_51 302_38 276_38 244_54 105_46 058_17 305_38 287_53 235_55 039_53 1.00 12.37 F001.63 F001.18 F000.62 R359.90 F000.03 F000.08 F000.03 F000.02 359.97
2003-02-04 319_04 329_13 304_16 277_49 245_31 105_40 058_19 305_43 287_55 235_56 039_51 1.03 12.17 F001.67 F001.20 F000.65 R359.90 F000.03 F000.05 F000.05 F000.00 359.93
2003-02-05 320_06 341_23 305_56 279_01 246_10 105_34 058_21 305_46 287_58 235_56 039_47 1.00 12.03 F001.68 F001.17 F000.65 R359.90 F000.02 F000.05 F000.03 F000.03 359.93
2003-02-06 321_06 353_25 307_37 280_11 246_49 105_28 058_22 305_49 288_00 235_58 039_43 1.00 11.87 F001.70 F001.18 F000.62 R359.93 F000.00 F000.05 F000.02 F000.00 359.95
2003-02-07 322_06 005_17 309_19 281_22 247_26 105_24 058_22 305_52 288_01 235_58 039_40 1.00 11.82 F001.73 F001.18 F000.63 R359.92 F000.05 F000.05 F000.05 F000.00 359.95
2003-02-08 323_06 017_06 311_03 282_33 248_04 105_19 058_25 305_55 288_04 235_58 039_37 1.00 11.77 F001.72 F001.17 F000.65 R359.90 F000.00 F000.08 F000.03 F000.03 359.95
2003-02-09 324_06 028_52 312_46 283_43 248_43 105_13 058_25 306_00 288_06 236_00 039_34 1.00 11.85 F001.75 F001.20 F000.62 R359.93 F000.05 F000.05 F000.02 F000.00 359.95
2003-02-10 325_06 040_43 314_31 284_55 249_20 105_09 058_28 306_03 288_07 236_00 039_31 1.00 12.00 F001.80 F001.20 F000.63 R359.92 F000.03 F000.05 F000.05 F000.02 359.95
2003-02-11 326_06 052_43 316_19 286_07 249_58 105_04 058_30 306_06 288_10 236_01 039_28 1.00 12.23 F001.78 F001.18 F000.65 R359.93 F000.02 F000.07 F000.02 F000.00 359.95
2003-02-12 327_06 064_57 318_06 287_18 250_37 105_00 058_31 306_10 288_11 236_01 039_25 1.00 12.57 F001.82 F001.17 F000.63 R359.92 F000.05 F000.05 F000.03 F000.00 359.95
2003-02-13 328_06 077_31 319_55 288_28 251_15 104_55 058_34 306_13 288_13 236_01 039_22 1.00 12.98 F001.83 F001.20 F000.65 R359.95 F000.03 F000.05 F000.05 F000.00 359.95
2003-02-14 329_06 090_30 321_45 289_40 251_54 104_52 058_36 306_16 288_16 236_01 039_19 0.97 13.42 F001.85 F001.20 F000.62 R359.92 F000.02 F000.05 F000.00 F000.00 359.95
2003-02-15 330_04 103_55 323_36 290_52 252_31 104_47 058_37 306_19 288_16 236_01 039_16 1.00 13.90 F001.87 F001.18 F000.65 R359.93 F000.05 F000.05 F000.05 F000.00 359.95
