1943-01-01 288_10 232_41 273_16 306_28 250_43 084_28 042_32 037_31 158_46 102_55 122_47 1.02 14.68 R359.45 F001.25 F000.72 R359.90 R359.98 R000.00 R000.00 R359.98 359.97
1943-01-02 289_11 247_22 272_43 307_43 251_26 084_22 042_31 037_31 158_46 102_54 122_45 1.03 14.98 R359.58 F001.25 F000.73 R359.90 R000.00 R000.00 R359.98 R359.97 359.95
1943-01-03 290_13 262_21 272_18 308_58 252_10 084_16 042_31 037_31 158_45 102_52 122_42 1.00 15.08 R359.72 F001.25 F000.73 R359.88 R000.00 R000.00 R359.97 R359.97 359.95
1943-01-04 291_13 277_26 272_01 310_13 252_54 084_09 042_31 037_31 158_43 102_50 122_39 1.03 15.08 R359.85 F001.22 F000.72 R359.88 R000.00 R000.00 R000.00 R359.98 359.93
1943-01-05 292_15 292_31 271_52 311_26 253_37 084_02 042_31 037_31 158_43 102_49 122_35 1.00 14.95 E000.00 F001.25 F000.75 R359.92 R000.00 R000.00 R359.97 R000.00 359.93
1943-01-06 293_15 307_28 271_52 312_41 254_22 083_57 042_31 037_31 158_41 102_49 122_31 1.02 14.63 F000.10 F001.25 F000.72 R359.88 E000.00 R359.98 R359.98 R359.95 359.95
1943-01-07 294_16 322_06 271_58 313_56 255_05 083_50 042_31 037_30 158_40 102_46 122_28 1.00 14.25 F000.20 F001.25 F000.73 R359.92 F000.00 R000.00 R000.00 R000.00 359.95
1943-01-08 295_16 336_21 272_10 315_11 255_49 083_45 042_31 037_30 158_40 102_46 122_25 1.03 13.78 F000.35 F001.25 F000.75 R359.90 F000.00 E000.00 R359.98 R359.98 359.95
1943-01-09 296_18 350_08 272_31 316_26 256_34 083_39 042_31 037_30 158_39 102_45 122_22 1.02 13.37 F000.40 F001.23 F000.73 R359.88 F000.00 F000.02 R359.97 R359.97 359.95
1943-01-10 297_19 003_30 272_55 317_40 257_18 083_32 042_31 037_31 158_37 102_43 122_19 1.00 12.93 F000.52 F001.25 F000.72 R359.93 F000.00 F000.00 R359.97 R359.98 359.95
1943-01-11 298_19 016_26 273_26 318_55 258_01 083_28 042_31 037_31 158_35 102_42 122_16 1.00 12.58 F000.62 F001.25 F000.75 R359.90 F000.02 F000.00 R359.98 R359.97 359.95
1943-01-12 299_19 029_01 274_03 320_10 258_46 083_22 042_32 037_31 158_34 102_40 122_13 1.03 12.25 F000.67 F001.25 F000.73 R359.90 F000.03 F000.00 R000.00 R359.98 359.95
1943-01-13 300_21 041_16 274_43 321_25 259_30 083_16 042_34 037_31 158_34 102_39 122_10 1.00 12.08 F000.72 F001.25 F000.72 R359.93 F000.00 F000.00 R359.98 R359.97 359.95
1943-01-14 301_21 053_21 275_26 322_40 260_13 083_12 042_34 037_31 158_33 102_37 122_07 1.02 11.90 F000.82 F001.25 F000.75 R359.92 F000.00 F000.00 R359.97 R000.00 359.95
1943-01-15 302_22 065_15 276_15 323_55 260_58 083_07 042_34 037_31 158_31 102_37 122_04 1.00 11.82 F000.87 F001.22 F000.72 R359.92 F000.03 F000.00 R359.98 R359.95 359.95
1943-01-16 303_22 077_04 277_07 325_08 261_41 083_02 042_36 037_31 158_30 102_34 122_01 1.00 11.80 F000.90 F001.25 F000.75 R359.93 F000.02 F000.02 R359.97 R000.00 359.93
1943-01-17 304_22 088_52 278_01 326_23 262_26 082_58 042_37 037_32 158_28 102_34 121_57 1.02 11.85 F000.98 F001.23 F000.73 R359.93 F000.02 F000.00 R000.00 R359.97 359.95
1943-01-18 305_23 100_43 279_00 327_37 263_10 082_54 042_38 037_32 158_28 102_32 121_54 1.00 11.95 F001.00 F001.25 F000.75 R359.92 F000.03 F000.03 R359.95 R359.98 359.93
1943-01-19 306_23 112_40 280_00 328_52 263_55 082_49 042_40 037_34 158_25 102_31 121_50 1.03 12.05 F001.07 F001.25 F000.72 R359.95 F000.03 F000.00 R000.00 R359.98 359.95
1943-01-20 307_25 124_43 281_04 330_07 264_38 082_46 042_42 037_34 158_25 102_30 121_47 1.00 12.22 F001.07 F001.23 F000.75 R359.93 F000.02 F000.00 R359.98 R359.97 359.97
1943-01-21 308_25 136_56 282_08 331_21 265_23 082_42 042_43 037_34 158_24 102_28 121_45 1.00 12.40 F001.13 F001.25 F000.73 R359.92 F000.03 F000.03 R359.97 R000.00 359.95
1943-01-22 309_25 149_20 283_16 332_36 266_07 082_37 042_45 037_36 158_22 102_28 121_42 1.00 12.60 F001.17 F001.22 F000.75 R359.95 F000.02 F000.00 R359.97 R359.98 359.92
1943-01-23 310_25 161_56 284_26 333_49 266_52 082_34 042_46 037_36 158_20 102_27 121_37 1.00 12.82 F001.20 F001.25 F000.75 R359.95 F000.05 F000.02 R359.98 R359.97 359.95
1943-01-24 311_25 174_45 285_38 335_04 267_37 082_31 042_49 037_37 158_19 102_25 121_34 1.00 13.05 F001.23 F001.25 F000.73 R359.95 F000.03 F000.00 R359.98 R359.98 359.95
1943-01-25 312_25 187_48 286_52 336_19 268_21 082_28 042_51 037_37 158_18 102_24 121_31 1.02 13.28 F001.25 F001.23 F000.75 R359.95 F000.02 F000.02 R359.97 R359.97 359.95
1943-01-26 313_26 201_05 288_07 337_33 269_06 082_25 042_52 037_38 158_16 102_22 121_28 1.00 13.57 F001.27 F001.22 F000.72 R359.95 F000.05 F000.03 R359.98 R000.00 359.95
1943-01-27 314_26 214_39 289_23 338_46 269_49 082_22 042_55 037_40 158_15 102_22 121_25 1.00 13.82 F001.33 F001.25 F000.75 R359.97 F000.05 F000.00 R359.97 R359.97 359.95
1943-01-28 315_26 228_28 290_43 340_01 270_34 082_20 042_58 037_40 158_13 102_20 121_22 1.03 14.10 F001.33 F001.23 F000.75 R359.95 F000.03 F000.03 R359.97 R359.98 359.95
1943-02-01 316_28 242_34 292_03 341_15 271_19 082_17 043_00 037_42 158_11 102_19 121_19 1.00 14.35 F001.37 F001.22 F000.75 R359.98 F000.03 F000.02 R359.98 R000.00 359.95
1943-02-02 317_28 256_55 293_25 342_28 272_04 082_16 043_02 037_43 158_10 102_19 121_16 1.00 14.55 F001.35 F001.25 F000.75 R359.98 F000.03 F000.00 R359.98 R359.97 359.95
1943-02-03 318_28 271_28 294_46 343_43 272_49 082_15 043_04 037_43 158_09 102_17 121_13 1.00 14.67 F001.42 F001.22 F000.73 R359.97 F000.05 F000.05 R359.97 R359.98 359.95
1943-02-04 319_28 286_08 296_11 344_56 273_33 082_13 043_07 037_46 158_07 102_16 121_10 1.00 14.73 F001.43 F001.23 F000.75 R359.95 F000.05 F000.00 R359.97 R000.00 359.95
1943-02-05 320_28 300_52 297_37 346_10 274_18 082_10 043_10 037_46 158_05 102_16 121_07 1.00 14.65 F001.45 F001.25 F000.75 R000.00 F000.05 F000.02 R359.98 R359.98 359.92
