2067-01-01 287_23 124_31 302_46 244_16 232_31 247_49 134_40 224_41 067_07 333_37 242_46 1.03 12.15 R359.87 F001.15 F000.65 F000.20 R359.95 F000.03 R359.97 F000.02 359.95
2067-01-02 288_25 136_40 302_38 245_25 233_10 248_01 134_37 224_43 067_05 333_38 242_43 1.00 12.30 R359.72 F001.20 F000.67 F000.20 R359.93 F000.05 R359.98 F000.03 359.95
2067-01-03 289_25 148_58 302_21 246_37 233_50 248_13 134_33 224_46 067_04 333_40 242_40 1.02 12.45 R359.50 F001.15 F000.68 F000.20 R359.92 F000.03 R000.00 F000.00 359.92
2067-01-04 290_26 161_25 301_51 247_46 234_31 248_25 134_28 224_48 067_04 333_40 242_35 1.00 12.67 R359.33 F001.17 F000.67 F000.20 R359.93 F000.02 R359.97 F000.02 359.97
2067-01-05 291_26 174_05 301_11 248_56 235_11 248_37 134_24 224_49 067_02 333_41 242_33 1.03 12.93 R359.18 F001.18 F000.68 F000.18 R359.92 F000.05 R359.98 F000.03 359.95
2067-01-06 292_28 187_01 300_22 250_07 235_52 248_48 134_19 224_52 067_01 333_43 242_30 1.00 13.23 R359.05 F001.20 F000.68 F000.20 R359.95 F000.03 R359.98 F000.03 359.93
2067-01-07 293_28 200_15 299_25 251_19 236_33 249_00 134_16 224_54 067_00 333_45 242_26 1.03 13.55 R358.95 F001.15 F000.67 F000.18 R359.90 F000.02 R359.97 F000.02 359.97
2067-01-08 294_30 213_48 298_22 252_28 237_13 249_11 134_10 224_55 066_58 333_46 242_24 1.02 13.88 R358.85 F001.20 F000.68 F000.18 R359.95 F000.05 R000.00 F000.00 359.93
2067-01-09 295_31 227_41 297_13 253_40 237_54 249_22 134_07 224_58 066_58 333_46 242_20 1.00 14.32 R358.83 F001.17 F000.67 F000.20 R359.90 F000.03 R359.98 F000.05 359.93
2067-01-10 296_31 242_00 296_03 254_50 238_34 249_34 134_01 225_00 066_57 333_49 242_16 1.00 14.62 R358.82 F001.18 F000.68 F000.20 R359.95 F000.02 R359.97 F000.00 359.95
2067-01-11 297_31 256_37 294_52 256_01 239_15 249_46 133_58 225_01 066_55 333_49 242_13 1.03 14.93 R358.80 F001.20 F000.67 F000.17 R359.90 F000.03 R000.00 F000.03 359.95
2067-01-12 298_33 271_33 293_40 257_13 239_55 249_56 133_52 225_03 066_55 333_51 242_10 1.02 15.08 R358.90 F001.20 F000.67 F000.18 R359.95 F000.02 R000.00 F000.02 359.95
