2057-01-01 287_56 249_01 271_31 330_13 096_47 296_49 352_58 179_31 044_28 322_10 076_16 1.03 14.42 F001.55 F000.60 R359.63 F000.23 F000.08 R000.00 R359.98 F000.05 359.95
2057-01-02 288_58 263_26 273_04 330_49 096_25 297_03 353_03 179_31 044_27 322_13 076_13 1.00 14.37 F001.50 F000.57 R359.65 F000.22 F000.07 R359.98 R000.00 F000.00 359.95
2057-01-03 289_58 277_48 274_34 331_23 096_04 297_16 353_07 179_30 044_27 322_13 076_10 1.03 14.17 F001.55 F000.58 R359.65 F000.25 F000.07 R000.00 R359.97 F000.03 359.95
2057-01-04 291_00 291_58 276_07 331_58 095_43 297_31 353_11 179_30 044_25 322_15 076_07 1.02 13.92 F001.57 F000.53 R359.65 F000.25 F000.08 R000.00 R000.00 F000.02 359.95
2057-01-05 292_01 305_53 277_41 332_30 095_22 297_46 353_16 179_30 044_25 322_16 076_04 1.00 13.62 F001.58 F000.52 R359.65 F000.23 F000.10 R359.97 R000.00 F000.03 359.95
2057-01-06 293_01 319_30 279_16 333_01 095_01 298_00 353_22 179_28 044_25 322_18 076_01 1.00 13.25 F001.58 F000.48 R359.68 F000.25 F000.07 R000.00 R000.00 F000.02 359.95
2057-01-07 294_01 332_45 280_51 333_30 094_42 298_15 353_26 179_28 044_25 322_19 075_58 1.03 12.87 F001.58 F000.47 R359.67 F000.22 F000.08 R000.00 R000.00 F000.03 359.93
2057-01-08 295_03 345_37 282_26 333_58 094_22 298_28 353_31 179_28 044_25 322_21 075_54 1.02 12.55 F001.62 F000.40 R359.70 F000.25 F000.10 R359.97 R359.97 F000.02 359.93
2057-01-09 296_04 358_10 284_03 334_22 094_04 298_43 353_37 179_26 044_23 322_22 075_50 1.00 12.25 F001.62 F000.40 R359.70 F000.25 F000.07 R000.00 R000.00 F000.02 359.95
2057-01-10 297_04 010_25 285_40 334_46 093_46 298_58 353_41 179_26 044_23 322_23 075_47 1.00 12.00 F001.63 F000.37 R359.75 F000.22 F000.12 R359.98 R000.00 F000.03 359.97
2057-01-11 298_04 022_25 287_18 335_08 093_31 299_11 353_48 179_25 044_23 322_25 075_45 1.03 11.90 F001.63 F000.33 R359.70 F000.25 F000.07 R000.00 R000.00 F000.02 359.95
2057-01-12 299_06 034_19 288_56 335_28 093_13 299_26 353_52 179_25 044_23 322_26 075_42 1.02 11.80 F001.68 F000.33 R359.75 F000.23 F000.10 R359.98 R000.00 F000.03 359.92
2057-01-13 300_07 046_07 290_37 335_48 092_58 299_40 353_58 179_24 044_23 322_28 075_37 1.00 11.85 F001.65 F000.27 R359.75 F000.25 F000.10 R359.97 R359.98 F000.03 359.95
2057-01-14 301_07 057_58 292_16 336_04 092_43 299_55 354_04 179_22 044_22 322_30 075_34 1.00 11.95 F001.70 F000.23 R359.78 F000.25 F000.10 R000.00 R000.00 F000.02 359.95
2057-01-15 302_07 069_55 293_58 336_18 092_30 300_10 354_10 179_22 044_22 322_31 075_31 1.02 12.15 F001.70 F000.17 R359.77 F000.22 F000.08 R359.97 R000.00 F000.03 359.95
2057-01-16 303_08 082_04 295_40 336_28 092_16 300_23 354_15 179_20 044_22 322_33 075_28 1.00 12.38 F001.72 F000.17 R359.80 F000.23 F000.10 R359.98 R000.00 F000.02 359.95
2057-01-17 304_08 094_27 297_23 336_38 092_04 300_37 354_21 179_19 044_22 322_34 075_25 1.03 12.67 F001.73 F000.13 R359.80 F000.25 F000.08 R000.00 E000.00 F000.03 359.95
2057-01-18 305_10 107_07 299_07 336_46 091_52 300_52 354_26 179_19 044_22 322_36 075_22 1.00 12.95 F001.75 F000.08 R359.83 F000.25 F000.12 R359.98 F000.00 F000.02 359.95
2057-01-19 306_10 120_04 300_52 336_51 091_42 301_07 354_33 179_18 044_22 322_37 075_19 1.00 13.30 F001.77 F000.02 R359.82 F000.23 F000.08 R359.97 F000.00 F000.02 359.95
2057-01-20 307_10 133_22 302_38 336_52 091_31 301_21 354_38 179_16 044_22 322_38 075_16 1.00 13.55 F001.78 B000.00 R359.85 F000.25 F000.12 R359.98 F000.00 F000.03 359.95
2057-01-21 308_10 146_55 304_25 336_52 091_22 301_36 354_45 179_15 044_22 322_40 075_13 1.02 13.75 F001.80 R359.98 R359.85 F000.22 F000.10 R359.97 F000.02 F000.02 359.95
2057-01-22 309_11 160_40 306_13 336_51 091_13 301_49 354_51 179_13 044_23 322_41 075_10 1.00 13.95 F001.80 R359.92 R359.87 F000.25 F000.08 R000.00 F000.00 F000.03 359.95
2057-01-23 310_11 174_37 308_01 336_46 091_05 302_04 354_56 179_13 044_23 322_43 075_07 1.00 14.05 F001.85 R359.85 R359.88 F000.25 F000.12 R359.95 F000.00 F000.03 359.92
2057-01-24 311_11 188_40 309_52 336_37 090_58 302_19 355_03 179_10 044_23 322_45 075_02 1.03 14.10 F001.82 R359.85 R359.90 F000.23 F000.08 R000.00 F000.00 F000.02 359.97
2057-01-25 312_13 202_46 311_41 336_28 090_52 302_33 355_08 179_10 044_23 322_46 075_00 1.00 14.15 F001.87 R359.80 R359.90 F000.22 F000.12 R359.95 F000.00 F000.03 359.95
2057-01-26 313_13 216_55 313_33 336_16 090_46 302_46 355_15 179_07 044_23 322_48 074_57 1.00 14.10 F001.87 R359.75 R359.93 F000.25 F000.12 R000.00 F000.03 F000.02 359.95
2057-01-27 314_13 231_01 315_25 336_01 090_42 303_01 355_22 179_07 044_25 322_49 074_54 1.00 14.10 F001.88 R359.70 R359.95 F000.25 F000.10 R359.95 F000.00 F000.03 359.93
2057-01-28 315_13 245_07 317_18 335_43 090_39 303_16 355_28 179_04 044_25 322_51 074_50 1.00 14.05 F001.88 R359.65 R359.92 F000.23 F000.10 R000.00 F000.00 F000.02 359.95
2057-02-01 316_13 259_10 319_11 335_22 090_34 303_30 355_34 179_04 044_25 322_52 074_47 1.00 13.97 F001.93 R359.65 R359.97 F000.22 F000.10 R359.95 F000.00 F000.05 359.93
2057-02-02 317_13 273_08 321_07 335_01 090_32 303_43 355_40 179_01 044_25 322_55 074_43 1.00 13.88 F001.90 R359.60 R359.98 F000.25 F000.13 R359.98 F000.00 F000.00 359.95
2057-02-03 318_13 287_01 323_01 334_37 090_31 303_58 355_48 179_00 044_25 322_55 074_40 1.03 13.75 F001.92 R359.55 R000.00 F000.22 F000.08 R359.97 F000.03 F000.05 359.95
2057-02-04 319_15 300_46 324_56 334_10 090_31 304_11 355_53 178_58 044_27 322_58 074_37 1.00 13.55 F001.93 R359.52 E000.00 F000.25 F000.13 R359.97 F000.00 F000.00 359.95
2057-02-05 320_15 314_19 326_52 333_41 090_31 304_26 356_01 178_56 044_27 322_58 074_34 1.00 13.35 F001.95 R359.50 F000.00 F000.23 F000.10 R359.98 F000.02 F000.05 359.95
2057-02-06 321_15 327_40 328_49 333_11 090_31 304_40 356_07 178_55 044_28 323_01 074_31 1.00 13.05 F001.90 R359.48 F000.02 F000.25 F000.10 R359.95 F000.00 F000.03 359.95
2057-02-07 322_15 340_43 330_43 332_40 090_32 304_55 356_13 178_52 044_28 323_03 074_28 1.00 12.78 F001.95 R359.43 F000.03 F000.22 F000.13 R359.97 F000.00 F000.02 359.95
2057-02-08 323_15 353_30 332_40 332_06 090_34 305_08 356_21 178_50 044_28 323_04 074_25 1.00 12.50 F001.90 R359.42 F000.05 F000.23 F000.12 R359.98 F000.03 F000.03 359.95
2057-02-09 324_15 006_00 334_34 331_31 090_37 305_22 356_28 178_49 044_30 323_06 074_22 1.00 12.22 F001.90 R359.40 F000.05 F000.25 F000.10 R359.95 F000.00 F000.02 359.95
2057-02-10 325_15 018_13 336_28 330_55 090_40 305_37 356_34 178_46 044_30 323_07 074_19 1.00 12.00 F001.90 R359.40 F000.10 F000.23 F000.12 R359.98 F000.02 F000.02 359.95
2057-02-11 326_15 030_13 338_22 330_19 090_46 305_51 356_41 178_45 044_31 323_08 074_16 1.00 11.90 F001.85 R359.37 F000.07 F000.22 F000.13 R359.97 F000.00 F000.03 359.95
2057-02-12 327_15 042_07 340_13 329_41 090_50 306_04 356_49 178_43 044_31 323_10 074_13 1.00 11.80 F001.83 R359.38 F000.08 F000.25 F000.10 R359.95 F000.02 F000.02 359.93
2057-02-13 328_15 053_55 342_03 329_04 090_55 306_19 356_55 178_40 044_32 323_11 074_09 1.00 11.83 F001.77 R359.37 F000.10 F000.20 F000.13 R359.98 F000.00 F000.03 359.93
2057-02-14 329_15 065_45 343_49 328_26 091_01 306_31 357_03 178_39 044_32 323_13 074_05 1.00 11.95 F001.73 R359.38 F000.13 F000.25 F000.12 R359.97 F000.03 F000.03 359.95
2057-02-15 330_15 077_42 345_33 327_49 091_09 306_46 357_10 178_37 044_34 323_15 074_02 0.97 12.13 F001.67 R359.37 F000.12 F000.23 F000.10 R359.95 F000.00 F000.02 359.97
2057-02-16 331_13 089_50 347_13 327_11 091_16 307_00 357_16 178_34 044_34 323_16 074_00 1.00 12.45 F001.60 R359.38 F000.15 F000.22 F000.12 R359.95 F000.03 F000.03 359.95
2057-02-17 332_13 102_17 348_49 326_34 091_25 307_13 357_23 178_31 044_36 323_18 073_57 1.00 12.80 F001.55 R359.43 F000.15 F000.22 F000.13 R359.98 F000.02 F000.02 359.95
