2030-01-01 287_53 266_31 265_10 254_52 314_49 210_54 023_58 050_25 344_36 285_49 238_54 1.00 13.85 F001.35 F000.20 F000.80 F000.12 F000.03 R359.97 F000.02 F000.05 359.93
2030-01-02 288_53 280_22 266_31 255_04 315_37 211_01 024_00 050_23 344_37 285_52 238_50 1.03 13.65 F001.35 F000.25 F000.77 F000.10 F000.02 R359.98 F000.02 F000.02 359.97
2030-01-03 289_55 294_01 267_52 255_19 316_23 211_07 024_01 050_22 344_38 285_53 238_48 1.00 13.37 F001.35 F000.30 F000.78 F000.10 F000.03 R000.00 F000.03 F000.03 359.92
2030-01-04 290_55 307_23 269_13 255_37 317_10 211_13 024_03 050_22 344_40 285_55 238_43 1.02 13.08 F001.40 F000.32 F000.80 F000.12 F000.02 R359.98 F000.02 F000.02 359.95
2030-01-05 291_56 320_28 270_37 255_56 317_58 211_20 024_04 050_21 344_41 285_56 238_40 1.03 12.75 F001.40 F000.37 F000.78 F000.10 F000.05 R359.97 F000.03 F000.03 359.95
2030-01-06 292_58 333_13 272_01 256_18 318_45 211_26 024_07 050_19 344_43 285_58 238_37 1.00 12.45 F001.42 F000.37 F000.77 F000.12 F000.02 R000.00 F000.05 F000.05 359.95
2030-01-07 293_58 345_40 273_26 256_40 319_31 211_33 024_08 050_19 344_46 286_01 238_34 1.03 12.18 F001.43 F000.40 F000.80 F000.10 F000.03 R000.00 F000.00 F000.03 359.95
2030-01-08 295_00 357_51 274_52 257_04 320_19 211_39 024_10 050_19 344_46 286_03 238_31 1.00 11.97 F001.45 F000.45 F000.78 F000.10 F000.05 R359.97 F000.05 F000.02 359.95
2030-01-09 296_00 009_49 276_19 257_31 321_06 211_45 024_13 050_17 344_49 286_04 238_28 1.02 11.85 F001.48 F000.45 F000.77 F000.08 F000.05 R000.00 F000.00 F000.05 359.95
2030-01-10 297_01 021_40 277_48 257_58 321_52 211_50 024_16 050_17 344_49 286_07 238_25 1.00 11.83 F001.47 F000.50 F000.80 F000.08 F000.05 R359.98 F000.05 F000.00 359.95
2030-01-11 298_01 033_30 279_16 258_28 322_40 211_55 024_19 050_16 344_52 286_07 238_22 1.03 11.87 F001.50 F000.53 F000.77 F000.10 F000.03 R000.00 F000.02 F000.05 359.95
2030-01-12 299_03 045_22 280_46 259_00 323_26 212_01 024_21 050_16 344_53 286_10 238_19 1.00 12.00 F001.53 F000.55 F000.78 F000.10 F000.03 R000.00 F000.03 F000.02 359.95
2030-01-13 300_03 057_22 282_18 259_33 324_13 212_07 024_23 050_16 344_55 286_11 238_16 1.02 12.20 F001.52 F000.57 F000.78 F000.07 F000.05 R000.00 F000.02 F000.03 359.95
2030-01-14 301_04 069_34 283_49 260_07 325_00 212_11 024_26 050_16 344_56 286_13 238_13 1.00 12.50 F001.55 F000.57 F000.77 F000.08 F000.07 R359.98 F000.03 F000.05 359.93
2030-01-15 302_04 082_04 285_22 260_41 325_46 212_16 024_30 050_15 344_58 286_16 238_09 1.00 12.85 F001.55 F000.63 F000.80 F000.10 F000.05 R000.00 F000.05 F000.03 359.93
2030-01-16 303_04 094_55 286_55 261_19 326_34 212_22 024_33 050_15 345_01 286_18 238_05 1.03 13.23 F001.58 F000.62 F000.78 F000.05 F000.05 R000.00 F000.03 F000.02 359.97
2030-01-17 304_06 108_09 288_30 261_56 327_21 212_25 024_36 050_15 345_03 286_19 238_03 1.00 13.57 F001.60 F000.67 F000.77 F000.08 F000.03 R000.00 F000.02 F000.03 359.95
2030-01-18 305_06 121_43 290_06 262_36 328_07 212_30 024_38 050_15 345_04 286_21 238_00 1.02 13.90 F001.58 F000.67 F000.77 F000.07 F000.05 R359.97 F000.03 F000.02 359.93
2030-01-19 306_07 135_37 291_41 263_16 328_53 212_34 024_41 050_13 345_06 286_22 237_56 1.00 14.13 F001.63 F000.70 F000.78 F000.08 F000.07 R000.00 F000.02 F000.05 359.97
2030-01-20 307_07 149_45 293_19 263_58 329_40 212_39 024_45 050_13 345_07 286_25 237_54 1.00 14.27 F001.62 F000.70 F000.80 F000.07 F000.07 E000.00 F000.05 F000.00 359.92
2030-01-21 308_07 164_01 294_56 264_40 330_28 212_43 024_49 050_13 345_10 286_25 237_49 1.00 14.35 F001.67 F000.72 F000.75 F000.05 F000.05 F000.00 F000.02 F000.05 359.95
2030-01-22 309_07 178_22 296_36 265_23 331_13 212_46 024_52 050_13 345_11 286_28 237_46 1.00 14.32 F001.67 F000.75 F000.80 F000.05 F000.05 F000.00 F000.03 F000.03 359.95
2030-01-23 310_07 192_41 298_16 266_08 332_01 212_49 024_55 050_13 345_13 286_30 237_43 1.02 14.25 F001.65 F000.75 F000.75 F000.05 F000.08 F000.03 F000.05 F000.02 359.95
2030-01-24 311_08 206_56 299_55 266_53 332_46 212_52 025_00 050_15 345_16 286_31 237_40 1.00 14.13 F001.70 F000.78 F000.80 F000.05 F000.07 F000.00 F000.03 F000.03 359.95
2030-01-25 312_08 221_04 301_37 267_40 333_34 212_55 025_04 050_15 345_18 286_33 237_37 1.03 14.00 F001.73 F000.80 F000.75 F000.05 F000.05 F000.00 F000.02 F000.02 359.95
2030-01-26 313_10 235_04 303_21 268_28 334_19 212_58 025_07 050_15 345_19 286_34 237_34 1.00 13.85 F001.72 F000.80 F000.80 F000.05 F000.07 F000.00 F000.05 F000.05 359.95
2030-01-27 314_10 248_55 305_04 269_16 335_07 213_01 025_11 050_15 345_22 286_37 237_31 1.00 13.72 F001.75 F000.80 F000.75 F000.05 F000.08 F000.02 F000.02 F000.00 359.95
2030-01-28 315_10 262_38 306_49 270_04 335_52 213_04 025_16 050_16 345_23 286_37 237_28 1.00 13.58 F001.75 F000.85 F000.80 F000.05 F000.05 F000.00 F000.03 F000.05 359.95
2030-02-01 316_10 276_13 308_34 270_55 336_40 213_07 025_19 050_16 345_25 286_40 237_25 1.00 13.40 F001.80 F000.85 F000.75 F000.03 F000.10 F000.00 F000.05 F000.02 359.95
2030-02-02 317_10 289_37 310_22 271_46 337_25 213_09 025_25 050_16 345_28 286_41 237_22 1.00 13.25 F001.80 F000.85 F000.80 F000.02 F000.05 F000.00 F000.03 F000.03 359.95
2030-02-03 318_10 302_52 312_10 272_37 338_13 213_10 025_28 050_16 345_30 286_43 237_19 1.00 13.05 F001.80 F000.85 F000.75 F000.05 F000.08 F000.02 F000.02 F000.03 359.93
2030-02-04 319_10 315_55 313_58 273_28 338_58 213_13 025_33 050_17 345_31 286_45 237_15 1.00 12.80 F001.85 F000.90 F000.78 F000.03 F000.07 F000.00 F000.05 F000.02 359.93
2030-02-05 320_10 328_43 315_49 274_22 339_45 213_15 025_37 050_17 345_34 286_46 237_11 1.00 12.58 F001.85 F000.88 F000.77 F000.02 F000.10 F000.03 F000.03 F000.03 359.97
2030-02-06 321_10 341_18 317_40 275_15 340_31 213_16 025_43 050_19 345_36 286_48 237_09 1.00 12.32 F001.85 F000.88 F000.78 F000.03 F000.05 F000.00 F000.02 F000.02 359.93
2030-02-07 322_10 353_37 319_31 276_08 341_18 213_18 025_46 050_19 345_37 286_49 237_05 1.02 12.15 F001.90 F000.93 F000.77 F000.02 F000.10 F000.00 F000.05 F000.03 359.97
2030-02-08 323_11 005_46 321_25 277_04 342_04 213_19 025_52 050_19 345_40 286_51 237_03 1.00 11.95 F001.90 F000.90 F000.75 F000.00 F000.07 F000.03 F000.02 F000.02 359.95
2030-02-09 324_11 017_43 323_19 277_58 342_49 213_19 025_56 050_21 345_41 286_52 237_00 1.00 11.83 F001.90 F000.92 F000.78 F000.02 F000.08 F000.02 F000.07 F000.05 359.92
2030-02-10 325_11 029_33 325_13 278_53 343_36 213_20 026_01 050_22 345_45 286_55 236_55 0.98 11.80 F001.95 F000.93 F000.77 F000.00 F000.10 F000.00 F000.02 F000.00 359.95
2030-02-11 326_10 041_21 327_10 279_49 344_22 213_20 026_07 050_22 345_46 286_55 236_52 1.00 11.82 F001.95 F000.95 F000.75 F000.03 F000.07 F000.02 F000.05 F000.05 359.95
2030-02-12 327_10 053_10 329_07 280_46 345_07 213_22 026_11 050_23 345_49 286_58 236_49 1.00 11.98 F001.95 F000.95 F000.77 F000.00 F000.12 F000.03 F000.03 F000.00 359.95
2030-02-13 328_10 065_09 331_04 281_43 345_53 213_22 026_18 050_25 345_51 286_58 236_46 1.00 12.18 F001.95 F000.95 F000.78 B000.00 F000.07 F000.00 F000.02 F000.05 359.95
2030-02-14 329_10 077_20 333_01 282_40 346_40 213_22 026_22 050_25 345_52 287_01 236_43 1.00 12.53 F002.00 F000.97 F000.75 R000.00 F000.10 F000.03 F000.05 F000.00 359.95
2030-02-15 330_10 089_52 335_01 283_38 347_25 213_22 026_28 050_27 345_55 287_01 236_40 1.00 12.90 F001.98 F000.98 F000.77 R359.97 F000.10 F000.02 F000.05 F000.05 359.95
2030-02-16 331_10 102_46 337_00 284_37 348_11 213_20 026_34 050_28 345_58 287_04 236_37 1.00 13.32 F001.97 F001.00 F000.75 R000.00 F000.07 F000.03 F000.03 F000.00 359.95
2030-02-17 332_10 116_05 338_58 285_37 348_56 213_20 026_38 050_30 346_00 287_04 236_34 1.00 13.78 F002.00 F000.98 F000.78 R359.98 F000.12 F000.02 F000.02 F000.03 359.95
2030-02-18 333_10 129_52 340_58 286_36 349_43 213_19 026_45 050_31 346_01 287_06 236_31 1.00 14.20 F001.97 F001.00 F000.75 R000.00 F000.10 F000.00 F000.05 F000.02 359.95
2030-02-19 334_10 144_04 342_56 287_36 350_28 213_19 026_51 050_31 346_04 287_07 236_28 0.97 14.50 F001.98 F001.00 F000.78 R359.98 F000.07 F000.05 F000.05 F000.02 359.95
2030-02-20 335_08 158_34 344_55 288_36 351_15 213_18 026_55 050_34 346_07 287_08 236_25 1.00 14.73 F001.95 F001.00 F000.75 R359.97 F000.10 F000.00 F000.02 F000.03 359.92
2030-02-21 336_08 173_18 346_52 289_36 352_00 213_16 027_01 050_34 346_08 287_10 236_20 1.00 14.78 F001.93 F001.02 F000.77 R359.98 F000.10 F000.05 F000.03 F000.02 359.97
2030-02-22 337_08 188_05 348_48 290_37 352_46 213_15 027_07 050_37 346_10 287_11 236_18 0.98 14.73 F001.88 F001.00 F000.75 R359.97 F000.10 F000.00 F000.05 F000.03 359.95
2030-02-23 338_07 202_49 350_41 291_37 353_31 213_13 027_13 050_37 346_13 287_13 236_15 1.00 14.60 F001.88 F001.02 F000.75 R359.97 F000.10 F000.05 F000.05 F000.00 359.93
2030-02-24 339_07 217_25 352_34 292_38 354_16 213_11 027_19 050_40 346_16 287_13 236_11 1.00 14.33 F001.85 F001.03 F000.75 R359.98 F000.10 F000.00 F000.03 F000.05 359.97
2030-02-25 340_07 231_45 354_25 293_40 355_01 213_10 027_25 050_40 346_18 287_16 236_09 1.00 14.07 F001.75 F001.05 F000.78 R359.95 F000.10 F000.05 F000.02 F000.00 359.93
2030-02-26 341_07 245_49 356_10 294_43 355_48 213_07 027_31 050_43 346_19 287_16 236_05 0.98 13.78 F001.75 F001.05 F000.75 R359.95 F000.10 F000.03 F000.05 F000.03 359.93
2030-02-27 342_06 259_36 357_55 295_46 356_33 213_04 027_37 050_45 346_22 287_18 236_01 0.97 13.52 F001.65 F001.03 F000.75 R359.98 F000.10 F000.02 F000.05 F000.02 359.95
2030-02-28 343_04 273_07 359_34 296_48 357_18 213_03 027_43 050_46 346_25 287_19 235_58 1.00 13.30 F001.60 F001.05 F000.77 R359.95 F000.13 F000.02 F000.02 F000.00 359.95
2030-02-29 344_04 286_25 001_10 297_51 358_04 213_00 027_51 050_47 346_26 287_19 235_55 1.00 13.10 F001.50 F001.03 F000.75 R359.93 F000.08 F000.03 F000.03 F000.05 359.95
2030-02-30 345_04 299_31 002_40 298_53 358_49 212_56 027_56 050_49 346_28 287_22 235_52 0.98 12.87 F001.45 F001.08 F000.75 R359.97 F000.12 F000.05 F000.05 F000.00 359.95
2030-02-31 346_03 312_23 004_07 299_58 359_34 212_54 028_03 050_52 346_31 287_22 235_49 1.00 12.72 F001.35 F001.05 F000.75 R359.93 F000.12 F000.02 F000.05 F000.02 359.95
2030-03-01 347_03 325_06 005_28 301_01 000_19 212_50 028_10 050_53 346_34 287_23 235_46 0.97 12.50 F001.25 F001.08 F000.75 R359.93 F000.10 F000.03 F000.03 F000.03 359.95
2030-03-02 348_01 337_36 006_43 302_06 001_04 212_46 028_16 050_55 346_36 287_25 235_43 1.00 12.32 F001.15 F001.07 F000.75 R359.95 F000.10 F000.05 F000.02 F000.00 359.95
2030-03-03 349_01 349_55 007_52 303_10 001_49 212_43 028_22 050_58 346_37 287_25 235_40 0.98 12.15 F001.07 F001.05 F000.75 R359.95 F000.13 F000.03 F000.05 F000.02 359.95
2030-03-04 350_00 002_04 008_56 304_13 002_34 212_40 028_30 051_00 346_40 287_26 235_37 1.00 12.00 F000.97 F001.10 F000.75 R359.92 F000.10 F000.02 F000.05 F000.03 359.95
2030-03-05 351_00 014_04 009_54 305_19 003_19 212_35 028_36 051_01 346_43 287_28 235_34 0.97 11.90 F000.82 F001.07 F000.75 R359.93 F000.12 F000.05 F000.03 F000.00 359.95
2030-03-06 351_58 025_58 010_43 306_23 004_04 212_31 028_43 051_04 346_45 287_28 235_31 1.00 11.80 F000.75 F001.08 F000.75 R359.92 F000.10 F000.05 F000.02 F000.03 359.92
2030-03-07 352_58 037_46 011_28 307_28 004_49 212_26 028_49 051_07 346_46 287_30 235_26 0.97 11.77 F000.62 F001.10 F000.75 R359.93 F000.12 F000.02 F000.05 F000.02 359.97
2030-03-08 353_56 049_32 012_05 308_34 005_34 212_22 028_56 051_08 346_49 287_31 235_24 0.98 11.83 F000.50 F001.07 F000.75 R359.93 F000.13 F000.03 F000.05 F000.00 359.93
2030-03-09 354_55 061_22 012_35 309_38 006_19 212_18 029_04 051_10 346_52 287_31 235_20 1.00 11.95 F000.42 F001.12 F000.72 R359.92 F000.10 F000.05 F000.02 F000.03 359.97
2030-03-10 355_55 073_19 013_00 310_45 007_02 212_13 029_10 051_13 346_53 287_33 235_18 0.97 12.15 F000.30 F001.10 F000.75 R359.93 F000.10 F000.05 F000.03 F000.02 359.95
2030-03-11 356_53 085_28 013_18 311_51 007_47 212_09 029_16 051_16 346_55 287_34 235_15 0.98 12.50 F000.17 F001.08 F000.77 R359.90 F000.12 F000.02 F000.05 F000.00 359.93
2030-03-12 357_52 097_58 013_28 312_56 008_33 212_03 029_23 051_17 346_58 287_34 235_11 0.98 12.85 F000.05 F001.12 F000.72 R359.92 F000.13 F000.07 F000.05 F000.00 359.93
2030-03-13 358_51 110_49 013_31 314_03 009_16 211_58 029_31 051_21 347_01 287_34 235_07 0.97 13.30 B359.95 F001.08 F000.75 R359.90 F000.12 F000.02 F000.03 F000.03 359.95
2030-03-14 359_49 124_07 013_28 315_08 010_01 211_52 029_38 051_22 347_03 287_36 235_04 1.00 13.78 R359.87 F001.12 F000.75 R359.90 F000.13 F000.05 F000.02 F000.02 359.95
2030-03-15 000_49 137_54 013_20 316_15 010_46 211_46 029_46 051_25 347_04 287_37 235_01 0.98 14.27 R359.75 F001.12 F000.73 R359.92 F000.10 F000.05 F000.05 F000.00 359.95
2030-03-16 001_48 152_10 013_05 317_22 011_30 211_41 029_52 051_28 347_07 287_37 234_58 0.97 14.65 R359.68 F001.10 F000.75 R359.90 F000.13 F000.05 F000.05 F000.00 359.95
2030-03-17 002_46 166_49 012_46 318_28 012_15 211_35 030_00 051_31 347_10 287_37 234_55 0.98 14.95 R359.60 F001.10 F000.72 R359.92 F000.12 F000.02 F000.02 F000.02 359.95
2030-03-18 003_45 181_46 012_22 319_34 012_58 211_30 030_07 051_32 347_11 287_38 234_52 0.97 15.10 R359.50 F001.12 F000.75 R359.90 F000.10 F000.07 F000.03 F000.03 359.95
2030-03-19 004_43 196_52 011_52 320_41 013_43 211_24 030_13 051_36 347_13 287_40 234_49 0.98 15.10 R359.45 F001.13 F000.72 R359.90 F000.15 F000.03 F000.05 F000.00 359.95
2030-03-20 005_42 211_58 011_19 321_49 014_26 211_18 030_22 051_38 347_16 287_40 234_46 0.97 14.93 R359.40 F001.12 F000.75 R359.88 F000.10 F000.03 F000.03 F000.00 359.95
2030-03-21 006_40 226_54 010_43 322_56 015_11 211_11 030_28 051_40 347_18 287_40 234_43 0.98 14.65 R359.35 F001.13 F000.73 R359.88 F000.13 F000.05 F000.05 F000.00 359.95
2030-03-22 007_39 241_33 010_04 324_04 015_55 211_04 030_36 051_43 347_21 287_40 234_40 0.97 14.28 R359.33 F001.12 F000.75 R359.90 F000.12 F000.05 F000.02 F000.02 359.95
2030-03-23 008_37 255_50 009_24 325_11 016_40 210_58 030_43 051_46 347_22 287_41 234_37 0.97 13.93 R359.32 F001.13 F000.72 R359.90 F000.13 F000.05 F000.05 F000.03 359.93
2030-03-24 009_35 269_46 008_43 326_19 017_23 210_52 030_51 051_49 347_25 287_43 234_33 0.98 13.58 R359.30 F001.12 F000.73 R359.90 F000.12 F000.05 F000.02 F000.00 359.95
2030-03-25 010_34 283_21 008_01 327_26 018_07 210_46 030_58 051_52 347_26 287_43 234_30 0.98 13.22 R359.32 F001.13 F000.75 R359.88 F000.13 F000.05 F000.03 F000.00 359.93
2030-03-26 011_33 296_34 007_20 328_34 018_52 210_39 031_06 051_55 347_28 287_43 234_26 0.97 12.90 R359.37 F001.15 F000.70 R359.87 F000.12 F000.05 F000.05 F000.00 359.97
2030-03-27 012_31 309_28 006_42 329_43 019_34 210_31 031_13 051_58 347_31 287_43 234_24 0.98 12.67 R359.37 F001.13 F000.75 R359.90 F000.13 F000.05 F000.03 F000.00 359.93
2030-03-28 013_30 322_08 006_04 330_51 020_19 210_25 031_21 052_01 347_33 287_43 234_20 0.97 12.43 R359.40 F001.15 F000.73 R359.88 F000.12 F000.05 F000.02 F000.03 359.93
2030-03-29 014_28 334_34 005_28 332_00 021_03 210_18 031_28 052_04 347_34 287_45 234_16 0.97 12.25 R359.50 F001.12 F000.72 R359.87 F000.13 F000.05 F000.05 F000.00 359.95
2030-03-30 015_26 346_49 004_58 333_07 021_46 210_10 031_36 052_07 347_37 287_45 234_13 0.98 12.10 R359.50 F001.15 F000.73 R359.90 F000.12 F000.05 F000.05 F000.02 359.95
2030-04-01 016_25 358_55 004_28 334_16 022_30 210_04 031_43 052_10 347_40 287_46 234_10 0.95 12.00 R359.60 F001.15 F000.72 R359.85 F000.13 F000.05 F000.02 F000.00 359.95
2030-04-02 017_22 010_55 004_04 335_25 023_13 209_55 031_51 052_13 347_41 287_46 234_07 0.98 11.85 R359.68 F001.15 F000.72 R359.90 F000.12 F000.05 F000.03 F000.00 359.95
2030-04-03 018_21 022_46 003_45 336_34 023_56 209_49 031_58 052_16 347_43 287_46 234_04 0.97 11.83 R359.72 F001.12 F000.73 R359.87 F000.15 F000.05 F000.05 F000.00 359.95
