1911-01-01 288_23 307_25 263_10 304_15 247_26 200_41 007_52 273_34 087_00 063_32 022_10 1.03 13.20 F000.97 F001.25 F000.73 F000.08 F000.08 F000.05 R359.97 R359.98 359.95
1911-01-02 289_25 320_37 264_08 305_30 248_10 200_46 007_57 273_37 086_58 063_31 022_07 1.00 13.40 F001.00 F001.25 F000.73 F000.10 F000.05 F000.07 R359.98 R000.00 359.95
1911-01-03 290_25 334_01 265_08 306_45 248_54 200_52 008_00 273_41 086_57 063_31 022_04 1.02 13.55 F001.05 F001.25 F000.72 F000.07 F000.05 F000.07 R359.97 R359.98 359.95
1911-01-04 291_26 347_34 266_11 308_00 249_37 200_56 008_03 273_45 086_55 063_30 022_01 1.03 13.70 F001.12 F001.25 F000.70 F000.08 F000.07 F000.05 R359.98 R359.97 359.95
1911-01-05 292_28 001_16 267_18 309_15 250_19 201_01 008_07 273_48 086_54 063_28 021_58 1.00 13.85 F001.12 F001.25 F000.75 F000.07 F000.05 F000.07 R359.97 R000.00 359.95
1911-01-06 293_28 015_07 268_25 310_30 251_04 201_05 008_10 273_52 086_52 063_28 021_55 1.00 14.00 F001.15 F001.25 F000.70 F000.08 F000.05 F000.05 R359.97 R000.00 359.95
1911-01-07 294_28 029_07 269_34 311_45 251_46 201_10 008_13 273_55 086_50 063_28 021_52 1.03 14.15 F001.20 F001.25 F000.75 F000.05 F000.08 F000.05 R359.98 R359.98 359.95
1911-01-08 295_30 043_16 270_46 313_00 252_31 201_13 008_18 273_58 086_49 063_27 021_49 1.02 14.25 F001.23 F001.25 F000.70 F000.05 F000.07 F000.05 R359.97 R000.00 359.93
1911-01-09 296_31 057_31 272_00 314_15 253_13 201_16 008_22 274_01 086_47 063_27 021_45 1.00 14.38 F001.25 F001.25 F000.72 F000.07 F000.05 F000.05 R359.98 R359.97 359.93
1911-01-10 297_31 071_54 273_15 315_30 253_56 201_20 008_25 274_04 086_46 063_25 021_41 1.00 14.38 F001.27 F001.25 F000.73 F000.08 F000.08 F000.07 R359.98 R000.00 359.95
1911-01-11 298_31 086_17 274_31 316_45 254_40 201_25 008_30 274_08 086_45 063_25 021_38 1.03 14.33 F001.30 F001.22 F000.73 F000.05 F000.07 F000.05 R359.97 R000.00 359.97
1911-01-12 299_33 100_37 275_49 317_58 255_24 201_28 008_34 274_11 086_43 063_25 021_36 1.00 14.17 F001.32 F001.25 F000.72 F000.05 F000.08 F000.07 R359.98 R359.97 359.95
1911-01-13 300_33 114_47 277_08 319_13 256_07 201_31 008_39 274_15 086_42 063_23 021_33 1.02 13.93 F001.37 F001.25 F000.73 F000.05 F000.07 F000.05 R359.97 R000.00 359.92
1911-01-14 301_34 128_43 278_30 320_28 256_51 201_34 008_43 274_18 086_40 063_23 021_28 1.00 13.60 F001.37 F001.25 F000.72 F000.05 F000.08 F000.07 R000.00 R359.98 359.95
1911-01-15 302_34 142_19 279_52 321_43 257_34 201_37 008_48 274_22 086_40 063_22 021_25 1.00 13.25 F001.40 F001.25 F000.75 F000.03 F000.07 F000.05 R359.95 R000.00 359.95
1911-01-16 303_34 155_34 281_16 322_58 258_19 201_39 008_52 274_25 086_37 063_22 021_22 1.03 12.85 F001.40 F001.25 F000.70 F000.03 F000.07 F000.05 R000.00 R000.00 359.95
1911-01-17 304_36 168_25 282_40 324_13 259_01 201_41 008_56 274_28 086_37 063_22 021_19 1.00 12.50 F001.43 F001.25 F000.75 F000.03 F000.08 F000.05 R359.97 R000.00 359.95
1911-01-18 305_36 180_55 284_06 325_28 259_46 201_43 009_01 274_31 086_35 063_22 021_16 1.02 12.20 F001.42 F001.22 F000.73 F000.05 F000.07 F000.05 R359.98 R359.98 359.95
1911-01-19 306_37 193_07 285_31 326_41 260_30 201_46 009_05 274_34 086_34 063_21 021_13 1.00 11.97 F001.48 F001.25 F000.72 F000.03 F000.08 F000.05 R359.97 R000.00 359.95
1911-01-20 307_37 205_05 287_00 327_56 261_13 201_48 009_10 274_37 086_32 063_21 021_10 1.00 11.85 F001.47 F001.23 F000.72 F000.02 F000.10 F000.05 R359.98 R359.97 359.95
1911-01-21 308_37 216_56 288_28 329_10 261_56 201_49 009_16 274_40 086_31 063_19 021_07 1.00 11.82 F001.50 F001.25 F000.73 F000.02 F000.07 F000.05 R000.00 R000.00 359.95
1911-01-22 309_37 228_45 289_58 330_25 262_40 201_50 009_20 274_43 086_31 063_19 021_04 1.02 11.83 F001.53 F001.25 F000.75 F000.03 F000.08 F000.05 R359.98 R000.00 359.95
