1910-01-01 288_40 182_41 276_34 306_31 012_33 171_56 355_25 269_43 084_43 062_30 041_31 1.00 11.83 R359.23 R359.60 F000.57 R359.98 F000.08 F000.05 R359.98 R359.97 359.95
1910-01-02 289_40 194_31 275_48 306_07 013_07 171_55 355_30 269_46 084_42 062_28 041_28 1.00 11.85 R359.32 R359.57 F000.60 R000.00 F000.07 F000.05 R359.97 R000.00 359.95
1910-01-03 290_40 206_22 275_07 305_41 013_43 171_55 355_34 269_49 084_40 062_28 041_25 1.02 12.00 R359.50 R359.53 F000.60 R359.98 F000.07 F000.05 R359.98 R359.98 359.95
1910-01-04 291_41 218_22 274_37 305_13 014_19 171_54 355_38 269_52 084_39 062_27 041_22 1.03 12.20 R359.65 R359.50 F000.58 R359.97 F000.08 F000.05 R359.97 R000.00 359.95
1910-01-05 292_43 230_34 274_16 304_43 014_54 171_52 355_43 269_55 084_37 062_27 041_19 1.00 12.55 R359.75 R359.47 F000.57 R000.00 F000.10 F000.05 R359.97 R359.97 359.95
1910-01-06 293_43 243_07 274_01 304_11 015_28 171_52 355_49 269_58 084_35 062_25 041_16 1.03 12.90 R359.90 R359.45 F000.60 R359.97 F000.05 F000.08 R359.98 R000.00 359.93
1910-01-07 294_45 256_01 273_55 303_38 016_04 171_50 355_52 270_03 084_34 062_25 041_12 1.02 13.30 E000.02 R359.43 F000.60 R359.98 F000.10 F000.05 R359.97 R000.00 359.93
1910-01-08 295_46 269_19 273_56 303_04 016_40 171_49 355_58 270_06 084_32 062_25 041_08 1.00 13.70 F000.17 R359.40 F000.60 R359.95 F000.08 F000.03 R359.98 R359.97 359.97
1910-01-09 296_46 283_01 274_06 302_28 017_16 171_46 356_03 270_08 084_31 062_23 041_06 1.00 14.10 F000.25 R359.40 F000.58 R359.98 F000.07 F000.08 R359.98 R359.98 359.93
1910-01-10 297_46 297_07 274_21 301_52 017_51 171_45 356_07 270_13 084_30 062_22 041_02 1.03 14.35 F000.33 R359.40 F000.58 R359.97 F000.10 F000.05 R359.97 R000.00 359.97
1910-01-11 298_48 311_28 274_41 301_16 018_26 171_43 356_13 270_16 084_28 062_22 041_00 1.00 14.55 F000.45 R359.37 F000.62 R359.95 F000.10 F000.05 R000.00 R000.00 359.92
1910-01-12 299_48 326_01 275_08 300_38 019_03 171_40 356_19 270_19 084_28 062_22 040_55 1.02 14.60 F000.53 R359.38 F000.57 R359.95 F000.07 F000.05 R359.95 R000.00 359.95
1910-01-13 300_49 340_37 275_40 300_01 019_37 171_37 356_23 270_22 084_25 062_22 040_52 1.00 14.55 F000.63 R359.37 F000.60 R359.95 F000.12 F000.05 R000.00 R359.98 359.95
1910-01-14 301_49 355_10 276_18 299_23 020_13 171_34 356_30 270_25 084_25 062_21 040_49 1.00 14.42 F000.70 R359.42 F000.60 R359.95 F000.07 F000.05 R359.98 R000.00 359.95
1910-01-15 302_49 009_35 277_00 298_48 020_49 171_31 356_34 270_28 084_24 062_21 040_46 1.03 14.22 F000.75 R359.38 F000.60 R359.95 F000.10 F000.05 R359.97 R359.97 359.95
1910-01-16 303_51 023_48 277_45 298_11 021_25 171_28 356_40 270_31 084_22 062_19 040_43 1.02 13.98 F000.82 R359.43 F000.60 R359.95 F000.10 F000.05 R359.97 R000.00 359.95
1910-01-17 304_52 037_47 278_34 297_37 022_01 171_25 356_46 270_34 084_20 062_19 040_40 1.00 13.78 F000.85 R359.43 F000.60 R359.95 F000.10 F000.05 R359.98 R000.00 359.95
1910-01-18 305_52 051_34 279_25 297_03 022_37 171_22 356_52 270_37 084_19 062_19 040_37 1.00 13.55 F000.95 R359.45 F000.60 R359.93 F000.10 F000.05 R000.00 R000.00 359.95
1910-01-19 306_52 065_07 280_22 296_30 023_13 171_18 356_58 270_40 084_19 062_19 040_34 1.00 13.38 F000.95 R359.47 F000.60 R359.92 F000.08 F000.05 R359.97 R359.97 359.95
1910-01-20 307_52 078_30 281_19 295_58 023_49 171_13 357_03 270_43 084_17 062_17 040_31 1.00 13.20 F001.05 R359.50 F000.60 R359.95 F000.08 F000.05 R359.98 R000.00 359.95
1910-01-21 308_52 091_42 282_22 295_28 024_25 171_10 357_08 270_46 084_16 062_17 040_28 1.02 13.02 F001.05 R359.55 F000.63 R359.92 F000.12 F000.05 R000.00 R000.00 359.95
1910-01-22 309_53 104_43 283_25 295_01 025_03 171_05 357_15 270_49 084_16 062_17 040_25 1.00 12.82 F001.10 R359.58 F000.58 R359.93 F000.10 F000.05 R359.98 R359.98 359.95
1910-01-23 310_53 117_32 284_31 294_36 025_38 171_01 357_21 270_52 084_15 062_16 040_22 1.03 12.63 F001.15 R359.62 F000.62 R359.92 F000.08 F000.05 R359.97 R000.00 359.92
1910-01-24 311_55 130_10 285_40 294_13 026_15 170_56 357_26 270_55 084_13 062_16 040_17 1.00 12.45 F001.15 R359.65 F000.60 R359.93 F000.12 F000.05 R000.00 R000.00 359.97
1910-01-25 312_55 142_37 286_49 293_52 026_51 170_52 357_33 270_58 084_13 062_16 040_15 1.00 12.25 F001.20 R359.68 F000.62 R359.93 F000.12 F000.05 R359.98 R000.00 359.95
1910-01-26 313_55 154_52 288_01 293_33 027_28 170_48 357_40 271_01 084_12 062_16 040_12 1.00 12.07 F001.25 R359.72 F000.60 R359.92 F000.10 F000.05 R359.97 R000.00 359.93
1910-01-27 314_55 166_56 289_16 293_16 028_04 170_43 357_46 271_04 084_10 062_16 040_08 1.00 11.93 F001.25 R359.78 F000.60 R359.90 F000.10 F000.05 R000.00 R000.00 359.97
1910-01-28 315_55 178_52 290_31 293_03 028_40 170_37 357_52 271_07 084_10 062_16 040_06 1.00 11.85 F001.30 R359.82 F000.60 R359.93 F000.10 F000.05 R359.98 R000.00 359.92
1910-02-01 316_55 190_43 291_49 292_52 029_16 170_33 357_58 271_10 084_09 062_16 040_01 1.00 11.80 F001.30 R359.85 F000.60 R359.88 F000.10 F000.05 R359.97 R359.98 359.95
1910-02-02 317_55 202_31 293_07 292_43 029_52 170_26 358_04 271_13 084_07 062_15 039_58 1.00 11.82 F001.35 R359.88 F000.63 R359.93 F000.10 F000.03 R000.00 R000.00 359.95
