1956-01-01 287_52 166_24 278_08 324_19 228_30 125_15 218_15 096_35 187_10 124_31 231_13 1.00 13.12 R359.05 F001.20 F000.65 R359.87 F000.07 R359.95 B000.00 R000.00 359.95
1956-01-02 288_52 179_31 277_11 325_31 229_09 125_07 218_19 096_32 187_10 124_31 231_10 1.02 12.73 R359.18 F001.23 F000.67 R359.90 F000.05 R359.98 R000.00 R359.95 359.95
1956-01-03 289_53 192_15 276_22 326_45 229_49 125_01 218_22 096_31 187_10 124_28 231_07 1.03 12.32 R359.32 F001.18 F000.65 R359.85 F000.05 R359.95 R000.00 R000.00 359.95
1956-01-04 290_55 204_34 275_41 327_56 230_28 124_52 218_25 096_28 187_10 124_28 231_04 1.00 12.08 R359.45 F001.23 F000.65 R359.90 F000.05 R359.95 R000.00 R359.95 359.95
1956-01-05 291_55 216_39 275_08 329_10 231_07 124_46 218_28 096_25 187_10 124_25 231_01 1.00 11.87 R359.62 F001.20 F000.65 R359.85 F000.08 R359.95 R000.00 R000.00 359.92
1956-01-06 292_55 228_31 274_45 330_22 231_46 124_37 218_33 096_22 187_10 124_25 230_56 1.02 11.80 R359.75 F001.20 F000.65 R359.88 F000.03 R359.97 R000.00 R359.98 359.97
1956-01-07 293_56 240_19 274_30 331_34 232_25 124_30 218_35 096_20 187_10 124_24 230_54 1.03 11.75 R359.87 F001.20 F000.67 R359.87 F000.08 R359.95 R000.00 R359.97 359.93
1956-01-08 294_58 252_04 274_22 332_46 233_05 124_22 218_40 096_17 187_10 124_22 230_50 1.00 11.85 E000.00 F001.20 F000.67 R359.88 F000.05 R359.98 R000.00 R359.97 359.97
1956-01-09 295_58 263_55 274_22 333_58 233_45 124_15 218_43 096_16 187_10 124_20 230_48 1.03 11.90 F000.10 F001.20 F000.65 R359.87 F000.05 R359.95 R000.00 R359.98 359.95
1956-01-10 297_00 275_49 274_28 335_10 234_24 124_07 218_46 096_13 187_10 124_19 230_45 0.97 12.05 F000.22 F001.20 F000.65 R359.85 F000.03 R359.95 R359.98 R359.95 359.92
1956-01-11 297_58 287_52 274_41 336_22 235_03 123_58 218_48 096_10 187_09 124_16 230_40 1.03 12.25 F000.33 F001.20 F000.63 R359.87 F000.03 R359.95 R359.97 R359.98 359.95
1956-01-12 299_00 300_07 275_01 337_34 235_41 123_50 218_50 096_07 187_07 124_15 230_37 1.02 12.40 F000.45 F001.18 F000.68 R359.88 F000.07 R359.95 R000.00 R359.97 359.95
1956-01-13 300_01 312_31 275_28 338_45 236_22 123_43 218_54 096_04 187_07 124_13 230_34 1.00 12.60 F000.50 F001.18 F000.65 R359.85 F000.03 R359.97 R000.00 R359.98 359.95
1956-01-14 301_01 325_07 275_58 339_56 237_01 123_34 218_56 096_02 187_07 124_12 230_31 1.00 12.80 F000.60 F001.20 F000.65 R359.88 F000.03 R359.98 R000.00 R359.97 359.95
1956-01-15 302_01 337_55 276_34 341_08 237_40 123_27 218_58 096_01 187_07 124_10 230_28 1.03 12.97 F000.68 F001.18 F000.65 R359.87 F000.05 R359.95 R000.00 R359.98 359.95
1956-01-16 303_03 350_53 277_15 342_19 238_19 123_19 219_01 095_58 187_07 124_09 230_25 1.00 13.18 F000.72 F001.20 F000.65 R359.85 F000.05 R359.95 R359.97 R359.97 359.92
1956-01-17 304_03 004_04 277_58 343_31 238_58 123_10 219_04 095_55 187_05 124_07 230_20 1.02 13.40 F000.80 F001.20 F000.65 R359.87 F000.05 R359.98 R000.00 R359.97 359.97
1956-01-18 305_04 017_28 278_46 344_43 239_37 123_02 219_07 095_54 187_05 124_05 230_18 1.00 13.60 F000.87 F001.17 F000.68 R359.88 F000.03 R359.97 R359.98 R359.98 359.95
1956-01-19 306_04 031_04 279_38 345_53 240_18 122_55 219_09 095_52 187_04 124_04 230_15 1.00 13.90 F000.93 F001.18 F000.63 R359.85 F000.02 R359.95 R000.00 R359.97 359.93
1956-01-20 307_04 044_58 280_34 347_04 240_56 122_46 219_10 095_49 187_04 124_02 230_11 1.00 14.10 F000.95 F001.20 F000.68 R359.88 F000.05 R359.97 R000.00 R359.98 359.97
1956-01-21 308_04 059_04 281_31 348_16 241_37 122_39 219_13 095_47 187_04 124_01 230_09 1.03 14.40 F001.00 F001.15 F000.65 R359.87 F000.03 R359.98 R359.98 R359.98 359.93
1956-01-22 309_06 073_28 282_31 349_25 242_16 122_31 219_15 095_46 187_03 124_00 230_05 1.00 14.60 F001.05 F001.20 F000.65 R359.88 F000.02 R359.95 R359.97 R359.97 359.93
1956-01-23 310_06 088_04 283_34 350_37 242_55 122_24 219_16 095_43 187_01 123_58 230_01 1.02 14.70 F001.10 F001.18 F000.65 R359.87 F000.05 R359.98 R000.00 R359.98 359.95
1956-01-24 311_07 102_46 284_40 351_48 243_34 122_16 219_19 095_42 187_01 123_57 229_58 1.00 14.75 F001.15 F001.17 F000.65 R359.85 F000.02 R359.97 R000.00 R359.97 359.95
1956-01-25 312_07 117_31 285_49 352_58 244_13 122_07 219_20 095_40 187_01 123_55 229_55 1.00 14.65 F001.15 F001.15 F000.65 R359.88 F000.03 R359.95 R359.98 R359.98 359.95
1956-01-26 313_07 132_10 286_58 354_07 244_52 122_00 219_22 095_37 187_00 123_54 229_52 1.00 14.38 F001.20 F001.18 F000.68 R359.87 F000.03 R359.97 R359.97 R359.97 359.95
1956-01-27 314_07 146_33 288_10 355_18 245_33 121_52 219_24 095_35 186_58 123_52 229_49 1.00 14.03 F001.22 F001.17 F000.63 R359.88 F000.02 R359.98 R000.00 R359.97 359.95
1956-01-28 315_07 160_35 289_23 356_28 246_11 121_45 219_25 095_34 186_58 123_50 229_46 1.00 13.63 F001.25 F001.15 F000.65 R359.87 F000.00 R359.95 R000.00 R359.98 359.95
1956-01-29 316_07 174_13 290_38 357_37 246_50 121_37 219_25 095_31 186_58 123_49 229_43 1.00 13.20 F001.28 F001.18 F000.68 R359.88 F000.02 R359.98 R359.97 R359.97 359.95
1956-02-01 317_07 187_25 291_55 358_48 247_31 121_30 219_26 095_30 186_56 123_47 229_40 1.00 12.77 F001.33 F001.17 F000.65 R359.87 F000.03 R359.97 R359.98 R359.98 359.95
1956-02-02 318_07 200_11 293_15 359_58 248_10 121_22 219_28 095_28 186_55 123_46 229_37 1.02 12.40 F001.32 F001.15 F000.65 R359.90 F000.03 R359.98 R000.00 R000.00 359.95
1956-02-03 319_08 212_35 294_34 001_07 248_49 121_16 219_30 095_27 186_55 123_46 229_34 1.00 12.13 F001.35 F001.15 F000.65 R359.88 F000.00 R359.97 R359.98 R359.95 359.95
1956-02-04 320_08 224_43 295_55 002_16 249_28 121_09 219_30 095_25 186_54 123_43 229_31 1.00 11.90 F001.40 F001.15 F000.65 R359.87 F000.02 R359.98 R359.97 R000.00 359.92
1956-02-05 321_08 236_37 297_19 003_25 250_07 121_01 219_31 095_24 186_52 123_43 229_26 1.00 11.82 F001.40 F001.15 F000.65 R359.88 F000.00 R359.97 R000.00 R359.95 359.97
1956-02-06 322_08 248_26 298_43 004_34 250_46 120_54 219_31 095_22 186_52 123_40 229_24 1.00 11.78 F001.42 F001.15 F000.67 R359.88 F000.00 R359.97 R359.97 R000.00 359.93
1956-02-07 323_08 260_13 300_08 005_43 251_26 120_47 219_31 095_20 186_50 123_40 229_20 1.00 11.88 F001.47 F001.15 F000.65 R359.88 F000.03 R359.98 R359.98 R359.95 359.97
1956-02-08 324_08 272_06 301_36 006_52 252_05 120_40 219_33 095_19 186_49 123_37 229_18 1.00 12.00 F001.47 F001.15 F000.67 R359.90 F000.00 R359.97 R000.00 R000.00 359.95
1956-02-09 325_08 284_06 303_04 008_01 252_45 120_34 219_33 095_17 186_49 123_37 229_15 1.00 12.20 F001.50 F001.13 F000.67 R359.90 F000.02 R359.98 R359.98 R359.97 359.93
