2032-01-01 287_22 156_10 286_25 256_56 331_16 263_07 051_58 059_16 348_56 288_52 200_11 1.00 12.23 F001.72 F001.25 F000.78 F000.25 R359.98 R359.95 F000.03 F000.02 359.97
2032-01-02 288_22 168_24 288_08 258_11 332_03 263_22 051_57 059_13 348_58 288_53 200_09 1.02 12.42 F001.73 F001.23 F000.77 F000.20 R359.97 R000.00 F000.03 F000.03 359.93
2032-01-03 289_23 180_49 289_52 259_25 332_49 263_34 051_55 059_13 349_00 288_55 200_05 1.03 12.70 F001.75 F001.25 F000.75 F000.23 R359.97 R359.98 F000.02 F000.05 359.97
2032-01-04 290_25 193_31 291_37 260_40 333_34 263_48 051_53 059_12 349_01 288_58 200_03 1.00 13.05 F001.75 F001.22 F000.75 F000.22 R359.98 R359.97 F000.00 F000.03 359.95
2032-01-05 291_25 206_34 293_22 261_53 334_19 264_01 051_52 059_10 349_01 289_00 200_00 1.00 13.45 F001.80 F001.23 F000.75 F000.20 R000.00 R359.97 F000.05 F000.02 359.93
2032-01-06 292_25 220_01 295_10 263_07 335_04 264_13 051_52 059_08 349_04 289_01 199_56 1.02 13.92 F001.75 F001.25 F000.78 F000.22 R359.95 R359.98 F000.00 F000.03 359.93
2032-01-07 293_26 233_56 296_55 264_22 335_51 264_26 051_49 059_07 349_04 289_03 199_52 1.03 14.40 F001.80 F001.25 F000.75 F000.23 R000.00 R000.00 F000.05 F000.02 359.95
2032-01-08 294_28 248_20 298_43 265_37 336_36 264_40 051_49 059_07 349_07 289_04 199_49 1.00 14.83 F001.80 F001.23 F000.77 F000.20 R000.00 R359.98 F000.00 F000.05 359.95
2032-01-09 295_28 263_10 300_31 266_51 337_22 264_52 051_49 059_06 349_07 289_07 199_46 1.03 15.15 F001.80 F001.22 F000.75 F000.23 R359.97 R359.97 F000.05 F000.02 359.95
2032-01-10 296_30 278_19 302_19 268_04 338_07 265_06 051_47 059_04 349_10 289_08 199_43 1.00 15.35 F001.80 F001.25 F000.75 F000.22 R359.98 R000.00 F000.00 F000.03 359.95
2032-01-11 297_30 293_40 304_07 269_19 338_52 265_19 051_46 059_04 349_10 289_10 199_40 1.02 15.30 F001.82 F001.25 F000.75 F000.20 R000.00 R359.97 F000.05 F000.05 359.95
2032-01-12 298_31 308_58 305_56 270_34 339_37 265_31 051_46 059_02 349_13 289_13 199_37 1.00 15.10 F001.83 F001.23 F000.75 F000.23 R000.00 R359.98 F000.00 F000.00 359.95
2032-01-13 299_31 324_04 307_46 271_48 340_22 265_45 051_46 059_01 349_13 289_13 199_34 1.00 14.70 F001.83 F001.22 F000.77 F000.18 R000.00 R000.00 F000.05 F000.05 359.95
2032-01-14 300_31 338_46 309_36 273_01 341_08 265_56 051_46 059_01 349_16 289_16 199_31 1.03 14.25 F001.82 F001.25 F000.75 F000.23 R000.00 R359.98 F000.03 F000.03 359.95
2032-01-15 301_33 353_01 311_25 274_16 341_53 266_10 051_46 059_00 349_18 289_18 199_28 1.02 13.75 F001.83 F001.25 F000.75 F000.20 R000.00 R359.97 F000.02 F000.02 359.95
2032-01-16 302_34 006_46 313_15 275_31 342_38 266_22 051_46 058_58 349_19 289_19 199_25 1.00 13.28 F001.80 F001.23 F000.75 F000.20 E000.00 R000.00 F000.03 F000.05 359.95
2032-01-17 303_34 020_03 315_03 276_45 343_23 266_34 051_46 058_58 349_21 289_22 199_22 1.00 12.82 F001.80 F001.22 F000.75 F000.20 F000.00 R000.00 F000.02 F000.00 359.93
2032-01-18 304_34 032_52 316_51 277_58 344_08 266_46 051_46 058_58 349_22 289_22 199_18 1.03 12.50 F001.77 F001.25 F000.78 F000.23 F000.00 R359.98 F000.02 F000.05 359.95
2032-01-19 305_36 045_22 318_37 279_13 344_55 267_00 051_46 058_57 349_23 289_25 199_15 1.00 12.23 F001.75 F001.25 F000.75 F000.18 F000.00 R000.00 F000.03 F000.02 359.93
2032-01-20 306_36 057_36 320_22 280_28 345_40 267_11 051_46 058_57 349_25 289_26 199_11 1.02 12.02 F001.73 F001.22 F000.75 F000.20 F000.00 R359.97 F000.05 F000.03 359.97
2032-01-21 307_37 069_37 322_06 281_41 346_25 267_23 051_46 058_55 349_28 289_28 199_09 1.00 11.92 F001.67 F001.23 F000.75 F000.22 F000.00 R000.00 F000.03 F000.05 359.93
2032-01-22 308_37 081_32 323_46 282_55 347_10 267_36 051_46 058_55 349_30 289_31 199_05 1.00 11.87 F001.65 F001.25 F000.75 F000.22 F000.02 R000.00 F000.02 F000.00 359.97
2032-01-23 309_37 093_24 325_25 284_10 347_55 267_49 051_47 058_55 349_31 289_31 199_03 1.00 11.87 F001.58 F001.25 F000.72 F000.20 F000.03 R000.00 F000.03 F000.05 359.92
2032-01-24 310_37 105_16 327_00 285_25 348_38 268_01 051_49 058_55 349_33 289_34 198_58 1.00 11.88 F001.52 F001.22 F000.75 F000.20 F000.00 R000.00 F000.02 F000.03 359.95
2032-01-25 311_37 117_09 328_31 286_38 349_23 268_13 051_49 058_55 349_34 289_36 198_55 1.02 11.93 F001.42 F001.23 F000.75 F000.17 F000.03 R359.97 F000.05 F000.02 359.95
2032-01-26 312_38 129_05 329_56 287_52 350_08 268_23 051_51 058_53 349_37 289_37 198_52 1.00 12.03 F001.37 F001.25 F000.75 F000.22 F000.02 R000.00 F000.02 F000.02 359.95
2032-01-27 313_38 141_07 331_18 289_07 350_53 268_36 051_52 058_53 349_38 289_38 198_49 1.00 12.13 F001.27 F001.25 F000.75 F000.20 F000.00 R000.00 F000.03 F000.03 359.95
2032-01-28 314_38 153_15 332_34 290_22 351_38 268_48 051_52 058_53 349_40 289_40 198_46 1.00 12.22 F001.15 F001.23 F000.73 F000.20 F000.05 R000.00 F000.05 F000.05 359.95
2032-01-29 315_38 165_28 333_43 291_36 352_22 269_00 051_55 058_53 349_43 289_43 198_43 1.03 12.40 F001.03 F001.25 F000.75 F000.17 F000.00 R000.00 F000.03 F000.00 359.95
2032-02-01 316_40 177_52 334_45 292_51 353_07 269_10 051_55 058_53 349_45 289_43 198_40 1.00 12.57 F000.88 F001.22 F000.75 F000.20 F000.05 E000.00 F000.02 F000.05 359.95
2032-02-02 317_40 190_26 335_38 294_04 353_52 269_22 051_58 058_53 349_46 289_46 198_37 1.00 12.82 F000.78 F001.25 F000.75 F000.20 F000.03 F000.00 F000.05 F000.03 359.95
2032-02-03 318_40 203_15 336_25 295_19 354_37 269_34 052_00 058_53 349_49 289_48 198_34 1.00 13.07 F000.63 F001.25 F000.75 F000.18 F000.02 F000.00 F000.03 F000.02 359.95
2032-02-04 319_40 216_19 337_03 296_34 355_22 269_45 052_01 058_53 349_51 289_49 198_31 1.00 13.40 F000.50 F001.23 F000.73 F000.18 F000.02 F000.00 F000.02 F000.03 359.95
2032-02-05 320_40 229_43 337_33 297_48 356_06 269_56 052_02 058_53 349_52 289_51 198_28 1.00 13.78 F000.32 F001.22 F000.75 F000.18 F000.03 F000.03 F000.05 F000.02 359.93
2032-02-06 321_40 243_30 337_52 299_01 356_51 270_07 052_04 058_55 349_55 289_52 198_24 1.00 14.13 F000.18 F001.25 F000.72 F000.20 F000.05 F000.00 F000.02 F000.02 359.93
2032-02-07 322_40 257_38 338_03 300_16 357_34 270_19 052_07 058_55 349_56 289_53 198_20 1.00 14.53 B000.02 F001.25 F000.75 F000.18 F000.05 F000.00 F000.03 F000.03 359.97
2032-02-08 323_40 272_10 338_04 301_31 358_19 270_30 052_10 058_55 349_58 289_55 198_18 1.00 14.85 R359.90 F001.23 F000.75 F000.17 F000.03 F000.00 F000.05 F000.02 359.95
2032-02-09 324_40 287_01 337_58 302_45 359_04 270_40 052_12 058_55 350_01 289_56 198_15 1.00 15.00 R359.72 F001.25 F000.73 F000.18 F000.02 F000.00 F000.03 F000.03 359.93
2032-02-10 325_40 302_01 337_41 304_00 359_48 270_51 052_13 058_55 350_03 289_58 198_11 1.00 15.08 R359.58 F001.22 F000.72 F000.17 F000.05 F000.03 F000.02 F000.03 359.97
2032-02-11 326_40 317_06 337_16 305_13 000_31 271_01 052_16 058_57 350_04 290_00 198_09 1.00 14.95 R359.50 F001.25 F000.75 F000.17 F000.05 F000.00 F000.05 F000.02 359.92
2032-02-12 327_40 332_03 336_46 306_28 001_16 271_11 052_19 058_57 350_07 290_01 198_04 1.00 14.67 R359.35 F001.22 F000.75 F000.18 F000.05 F000.02 F000.05 F000.05 359.95
2032-02-13 328_40 346_43 336_07 307_41 002_01 271_22 052_22 058_58 350_10 290_04 198_01 1.00 14.30 R359.25 F001.25 F000.73 F000.18 F000.05 F000.00 F000.02 F000.00 359.95
2032-02-14 329_40 001_01 335_22 308_56 002_45 271_33 052_25 058_58 350_11 290_04 197_58 1.00 13.85 R359.18 F001.23 F000.72 F000.17 F000.05 F000.00 F000.03 F000.03 359.95
2032-02-15 330_40 014_52 334_33 310_10 003_28 271_43 052_28 058_58 350_13 290_06 197_55 1.00 13.38 R359.12 F001.25 F000.75 F000.17 F000.05 F000.03 F000.05 F000.02 359.95
2032-02-16 331_40 028_15 333_40 311_25 004_13 271_53 052_31 059_00 350_16 290_07 197_52 1.00 12.95 R359.08 F001.25 F000.73 F000.18 F000.05 F000.02 F000.03 F000.02 359.95
2032-02-17 332_40 041_12 332_45 312_40 004_57 272_04 052_34 059_01 350_18 290_08 197_49 0.97 12.57 R359.07 F001.22 F000.72 F000.15 F000.05 F000.00 F000.02 F000.03 359.95
2032-02-18 333_38 053_46 331_49 313_53 005_40 272_13 052_37 059_01 350_19 290_10 197_46 1.00 12.30 R359.05 F001.23 F000.75 F000.15 F000.05 F000.02 F000.05 F000.02 359.95
2032-02-19 334_38 066_04 330_52 315_07 006_25 272_22 052_40 059_02 350_22 290_11 197_43 1.00 12.05 R359.10 F001.25 F000.73 F000.18 F000.08 F000.03 F000.05 F000.03 359.95
2032-02-20 335_38 078_07 329_58 316_22 007_09 272_33 052_45 059_04 350_25 290_13 197_40 0.98 11.92 R359.13 F001.25 F000.72 F000.17 F000.03 F000.00 F000.02 F000.03 359.95
2032-02-21 336_37 090_02 329_06 317_37 007_52 272_43 052_47 059_04 350_26 290_15 197_37 1.00 11.88 R359.17 F001.23 F000.72 F000.15 F000.08 F000.03 F000.03 F000.02 359.95
2032-02-22 337_37 101_55 328_16 318_51 008_35 272_52 052_52 059_06 350_28 290_16 197_34 1.00 11.85 R359.25 F001.22 F000.73 F000.15 F000.05 F000.02 F000.05 F000.03 359.93
2032-02-23 338_37 113_46 327_31 320_04 009_19 273_01 052_55 059_07 350_31 290_18 197_30 1.00 11.93 R359.33 F001.25 F000.75 F000.15 F000.08 F000.00 F000.05 F000.02 359.93
2032-02-24 339_37 125_42 326_51 321_19 010_04 273_10 053_00 059_07 350_34 290_19 197_26 0.98 12.02 R359.40 F001.25 F000.70 F000.15 F000.03 F000.02 F000.03 F000.00 359.97
2032-02-25 340_36 137_43 326_15 322_34 010_46 273_19 053_02 059_08 350_36 290_19 197_24 1.00 12.15 R359.52 F001.23 F000.75 F000.15 F000.08 F000.03 F000.02 F000.05 359.93
2032-02-26 341_36 149_52 325_46 323_48 011_31 273_28 053_07 059_10 350_37 290_22 197_20 0.97 12.32 R359.60 F001.22 F000.70 F000.15 F000.08 F000.03 F000.05 F000.00 359.97
2032-02-27 342_34 162_11 325_22 325_01 012_13 273_37 053_12 059_12 350_40 290_22 197_18 1.00 12.50 R359.70 F001.25 F000.75 F000.15 F000.07 F000.02 F000.05 F000.02 359.95
2032-02-28 343_34 174_41 325_04 326_16 012_58 273_46 053_16 059_13 350_43 290_23 197_15 1.00 12.68 R359.78 F001.25 F000.70 F000.15 F000.05 F000.03 F000.03 F000.03 359.92
2032-02-29 344_34 187_22 324_51 327_31 013_40 273_55 053_19 059_15 350_45 290_25 197_10 0.98 12.88 R359.90 F001.23 F000.73 F000.15 F000.10 F000.02 F000.02 F000.02 359.95
2032-02-30 345_33 200_15 324_45 328_45 014_24 274_04 053_25 059_16 350_46 290_26 197_07 0.97 13.07 E000.00 F001.22 F000.72 F000.12 F000.05 F000.02 F000.05 F000.03 359.95
2032-02-31 346_31 213_19 324_45 329_58 015_07 274_11 053_28 059_17 350_49 290_28 197_04 1.00 13.30 F000.07 F001.25 F000.72 F000.13 F000.10 F000.03 F000.05 F000.00 359.95
2032-03-01 347_31 226_37 324_49 331_13 015_50 274_19 053_34 059_19 350_52 290_28 197_01 1.00 13.55 F000.18 F001.22 F000.73 F000.15 F000.05 F000.03 F000.02 F000.03 359.95
2032-03-02 348_31 240_10 325_00 332_26 016_34 274_28 053_37 059_21 350_53 290_30 196_58 0.98 13.80 F000.25 F001.25 F000.70 F000.13 F000.10 F000.02 F000.03 F000.02 359.95
2032-03-03 349_30 253_58 325_15 333_41 017_16 274_36 053_43 059_22 350_55 290_31 196_55 0.97 14.05 F000.35 F001.23 F000.75 F000.12 F000.07 F000.02 F000.05 F000.00 359.95
2032-03-04 350_28 268_01 325_36 334_55 018_01 274_43 053_47 059_23 350_58 290_31 196_52 1.00 14.30 F000.42 F001.25 F000.70 F000.15 F000.08 F000.03 F000.05 F000.03 359.95
2032-03-05 351_28 282_19 326_01 336_10 018_43 274_52 053_52 059_25 351_01 290_33 196_49 0.97 14.45 F000.50 F001.22 F000.72 F000.10 F000.10 F000.05 F000.03 F000.02 359.95
2032-03-06 352_26 296_46 326_31 337_23 019_26 274_58 053_58 059_28 351_03 290_34 196_46 0.98 14.60 F000.55 F001.23 F000.73 F000.15 F000.07 F000.03 F000.02 F000.00 359.95
2032-03-07 353_25 311_22 327_04 338_37 020_10 275_07 054_02 059_30 351_04 290_34 196_43 1.00 14.65 F000.65 F001.25 F000.70 F000.10 F000.08 F000.02 F000.05 F000.03 359.95
2032-03-08 354_25 326_01 327_43 339_52 020_52 275_13 054_07 059_31 351_07 290_36 196_40 0.97 14.53 F000.70 F001.23 F000.73 F000.13 F000.10 F000.05 F000.05 F000.02 359.92
2032-03-09 355_23 340_33 328_25 341_06 021_36 275_21 054_13 059_34 351_10 290_37 196_35 0.98 14.37 F000.75 F001.25 F000.70 F000.12 F000.07 F000.00 F000.02 F000.00 359.97
