2039-01-01 287_34 015_24 292_36 312_58 260_26 123_55 154_24 091_42 004_19 299_03 064_42 1.00 11.82 F001.75 F001.25 F000.75 R359.87 R359.93 R359.97 F000.00 F000.02 359.95
2039-01-02 288_34 027_13 294_21 314_13 261_11 123_47 154_20 091_40 004_19 299_04 064_39 1.00 11.85 F001.77 F001.22 F000.75 R359.88 R359.98 R359.95 F000.02 F000.03 359.92
2039-01-03 289_34 039_04 296_07 315_26 261_56 123_40 154_19 091_37 004_20 299_06 064_34 1.03 11.88 F001.77 F001.25 F000.75 R359.87 R359.95 R359.95 F000.03 F000.02 359.95
2039-01-04 290_36 050_57 297_53 316_41 262_41 123_32 154_16 091_34 004_22 299_07 064_31 1.02 12.05 F001.78 F001.23 F000.78 R359.88 R359.95 R359.97 F000.00 F000.05 359.95
2039-01-05 291_37 063_00 299_40 317_55 263_28 123_25 154_13 091_32 004_22 299_10 064_28 1.00 12.25 F001.80 F001.25 F000.75 R359.87 R359.95 R359.97 F000.03 F000.02 359.95
2039-01-06 292_37 075_15 301_28 319_10 264_13 123_17 154_10 091_30 004_24 299_11 064_25 1.02 12.52 F001.80 F001.25 F000.75 R359.88 R359.95 R359.97 F000.02 F000.03 359.95
2039-01-07 293_38 087_46 303_16 320_25 264_58 123_10 154_07 091_28 004_25 299_13 064_22 1.00 12.85 F001.78 F001.22 F000.75 R359.85 R359.95 R359.95 F000.00 F000.03 359.95
2039-01-08 294_38 100_37 305_03 321_38 265_43 123_01 154_04 091_25 004_25 299_15 064_19 1.03 13.15 F001.77 F001.23 F000.75 R359.90 R359.95 R359.95 F000.03 F000.02 359.95
2039-01-09 295_40 113_46 306_49 322_52 266_28 122_55 154_01 091_22 004_27 299_16 064_16 1.00 13.45 F001.78 F001.25 F000.75 R359.85 R359.95 R359.97 F000.02 F000.05 359.95
2039-01-10 296_40 127_13 308_36 324_07 267_13 122_46 153_58 091_20 004_28 299_19 064_13 1.02 13.72 F001.75 F001.23 F000.75 R359.88 R359.95 R359.98 F000.00 F000.00 359.95
2039-01-11 297_41 140_56 310_21 325_21 267_58 122_39 153_55 091_19 004_28 299_19 064_10 1.00 13.93 F001.75 F001.25 F000.78 R359.87 R359.95 R359.95 F000.03 F000.05 359.95
2039-01-12 298_41 154_52 312_06 326_36 268_45 122_31 153_52 091_16 004_30 299_22 064_07 1.03 14.05 F001.72 F001.22 F000.75 R359.85 R359.93 R359.95 F000.02 F000.02 359.95
2039-01-13 299_43 168_55 313_49 327_49 269_30 122_22 153_48 091_13 004_31 299_23 064_04 1.00 14.10 F001.68 F001.25 F000.75 R359.88 R359.95 R359.98 F000.00 F000.03 359.95
2039-01-14 300_43 183_01 315_30 329_04 270_15 122_15 153_45 091_12 004_31 299_25 064_01 1.00 14.15 F001.63 F001.20 F000.77 R359.87 R359.92 R359.97 F000.05 F000.02 359.93
2039-01-15 301_43 197_10 317_08 330_16 271_01 122_07 153_40 091_10 004_34 299_26 063_57 1.03 14.15 F001.62 F001.25 F000.75 R359.85 R359.95 R359.95 F000.00 F000.03 359.93
2039-01-16 302_45 211_19 318_45 331_31 271_46 121_58 153_37 091_07 004_34 299_28 063_53 1.00 14.10 F001.55 F001.23 F000.75 R359.87 R359.95 R359.97 F000.02 F000.05 359.97
2039-01-17 303_45 225_25 320_18 332_45 272_31 121_50 153_34 091_05 004_35 299_31 063_51 1.02 14.02 F001.47 F001.22 F000.78 R359.88 R359.93 R359.95 F000.03 F000.03 359.93
2039-01-18 304_46 239_26 321_46 333_58 273_18 121_43 153_30 091_02 004_37 299_33 063_47 1.00 13.98 F001.42 F001.25 F000.75 R359.87 R359.92 R359.98 F000.03 F000.02 359.97
2039-01-19 305_46 253_25 323_11 335_13 274_03 121_35 153_25 091_01 004_39 299_34 063_45 1.00 13.90 F001.33 F001.22 F000.77 R359.88 R359.95 R359.95 F000.02 F000.03 359.92
2039-01-20 306_46 267_19 324_31 336_26 274_49 121_28 153_22 090_58 004_40 299_36 063_40 1.03 13.78 F001.23 F001.23 F000.75 R359.85 R359.93 R000.00 F000.03 F000.02 359.95
2039-01-21 307_48 281_06 325_45 337_40 275_34 121_19 153_18 090_58 004_42 299_37 063_37 1.00 13.58 F001.12 F001.22 F000.75 R359.88 R359.92 R359.95 F000.02 F000.05 359.95
2039-01-22 308_48 294_41 326_52 338_53 276_19 121_12 153_13 090_55 004_43 299_40 063_34 1.02 13.43 F001.00 F001.23 F000.78 R359.87 R359.95 R359.98 F000.03 F000.00 359.95
2039-01-23 309_49 308_07 327_52 340_07 277_06 121_04 153_10 090_54 004_45 299_40 063_31 1.00 13.15 F000.85 F001.23 F000.77 R359.85 R359.92 R359.97 F000.02 F000.05 359.95
2039-01-24 310_49 321_16 328_43 341_21 277_52 120_55 153_05 090_52 004_46 299_43 063_28 1.00 12.90 F000.75 F001.22 F000.75 R359.90 R359.93 R359.95 F000.02 F000.03 359.95
2039-01-25 311_49 334_10 329_28 342_34 278_37 120_49 153_01 090_49 004_47 299_45 063_25 1.00 12.63 F000.58 F001.23 F000.75 R359.85 R359.92 R359.97 F000.03 F000.02 359.95
2039-01-26 312_49 346_48 330_03 343_48 279_22 120_40 152_56 090_47 004_49 299_46 063_22 1.00 12.33 F000.42 F001.22 F000.77 R359.90 R359.93 R359.98 F000.02 F000.03 359.95
2039-01-27 313_49 359_08 330_28 345_01 280_08 120_34 152_52 090_46 004_50 299_48 063_19 1.00 12.12 F000.28 F001.20 F000.78 R359.85 R359.95 R359.98 F000.03 F000.02 359.95
2039-01-28 314_49 011_15 330_45 346_13 280_55 120_25 152_49 090_45 004_52 299_49 063_16 1.03 11.93 F000.12 F001.25 F000.75 R359.90 R359.90 R359.97 F000.03 F000.05 359.95
2039-02-01 315_51 023_11 330_52 347_28 281_40 120_19 152_43 090_43 004_54 299_52 063_13 1.00 11.83 B359.95 F001.20 F000.77 R359.85 R359.95 R359.98 F000.02 F000.00 359.95
2039-02-02 316_51 035_01 330_49 348_40 282_26 120_10 152_40 090_42 004_55 299_52 063_10 1.00 11.80 R359.78 F001.22 F000.78 R359.90 R359.90 R359.97 F000.03 F000.05 359.95
2039-02-03 317_51 046_49 330_36 349_53 283_13 120_04 152_34 090_40 004_57 299_55 063_07 1.00 11.88 R359.62 F001.23 F000.75 R359.88 R359.95 R359.98 F000.02 F000.02 359.92
2039-02-04 318_51 058_42 330_13 351_07 283_58 119_57 152_31 090_39 004_58 299_56 063_02 1.02 12.05 R359.50 F001.20 F000.75 R359.87 R359.90 R359.97 F000.03 F000.03 359.97
2039-02-05 319_52 070_45 329_43 352_19 284_43 119_49 152_25 090_37 005_00 299_58 063_00 1.00 12.27 R359.38 F001.23 F000.78 R359.90 R359.95 R359.97 F000.02 F000.03 359.95
2039-02-06 320_52 083_01 329_06 353_33 285_30 119_43 152_22 090_35 005_01 300_00 062_57 1.00 12.63 R359.27 F001.22 F000.77 R359.87 R359.90 R359.98 F000.05 F000.02 359.93
2039-02-07 321_52 095_39 328_22 354_46 286_16 119_35 152_16 090_34 005_04 300_01 062_53 1.00 12.97 R359.15 F001.20 F000.75 R359.88 R359.92 R359.97 F000.02 F000.03 359.97
2039-02-08 322_52 108_37 327_31 355_58 287_01 119_28 152_11 090_32 005_05 300_03 062_51 1.00 13.40 R359.08 F001.20 F000.78 R359.90 R359.93 R359.98 F000.03 F000.02 359.92
2039-02-09 323_52 122_01 326_36 357_10 287_48 119_22 152_07 090_31 005_07 300_04 062_46 1.00 13.80 R359.03 F001.22 F000.77 R359.90 R359.93 R000.00 F000.03 F000.05 359.95
2039-02-10 324_52 135_49 325_38 358_23 288_34 119_16 152_03 090_31 005_09 300_07 062_43 1.00 14.10 R359.00 F001.22 F000.78 R359.88 R359.92 R359.95 F000.02 F000.00 359.95
2039-02-11 325_52 149_55 324_38 359_36 289_21 119_09 151_58 090_28 005_10 300_07 062_40 1.00 14.40 R359.03 F001.22 F000.77 R359.88 R359.93 R000.00 F000.05 F000.05 359.95
2039-02-12 326_52 164_19 323_40 000_49 290_07 119_02 151_54 090_28 005_13 300_10 062_37 0.98 14.50 R359.00 F001.20 F000.75 R359.92 R359.92 R359.98 F000.03 F000.00 359.95
2039-02-13 327_51 178_49 322_40 002_01 290_52 118_57 151_49 090_27 005_15 300_10 062_34 1.00 14.55 R359.08 F001.20 F000.77 R359.88 R359.90 R359.97 F000.02 F000.05 359.95
2039-02-14 328_51 193_22 321_45 003_13 291_38 118_50 151_43 090_25 005_16 300_13 062_31 1.00 14.50 R359.12 F001.20 F000.78 R359.92 R359.93 R000.00 F000.05 F000.03 359.95
2039-02-15 329_51 207_52 320_52 004_25 292_25 118_45 151_39 090_25 005_19 300_15 062_28 1.00 14.32 R359.18 F001.20 F000.75 R359.90 R359.92 R359.98 F000.02 F000.02 359.95
2039-02-16 330_51 222_11 320_03 005_37 293_10 118_39 151_34 090_24 005_20 300_16 062_25 1.00 14.15 R359.27 F001.20 F000.77 R359.88 R359.93 R359.97 F000.03 F000.03 359.95
2039-02-17 331_51 236_20 319_19 006_49 293_56 118_32 151_30 090_22 005_22 300_18 062_22 0.97 13.97 R359.35 F001.20 F000.78 R359.93 R359.92 R000.00 F000.03 F000.02 359.95
2039-02-18 332_49 250_18 318_40 008_01 294_43 118_28 151_25 090_22 005_24 300_19 062_19 1.00 13.75 R359.45 F001.20 F000.78 R359.90 R359.90 R000.00 F000.02 F000.03 359.95
2039-02-19 333_49 264_03 318_07 009_13 295_30 118_22 151_19 090_22 005_25 300_21 062_16 1.00 13.57 R359.57 F001.20 F000.77 R359.90 R359.95 R359.97 F000.05 F000.02 359.93
2039-02-20 334_49 277_37 317_41 010_25 296_16 118_16 151_16 090_20 005_28 300_22 062_12 1.00 13.38 R359.68 F001.20 F000.75 R359.93 R359.90 R000.00 F000.03 F000.02 359.93
2039-02-21 335_49 291_00 317_22 011_37 297_01 118_12 151_10 090_20 005_30 300_23 062_08 1.00 13.18 R359.75 F001.20 F000.78 R359.92 R359.92 R359.98 F000.02 F000.03 359.97
2039-02-22 336_49 304_11 317_07 012_49 297_48 118_07 151_05 090_19 005_31 300_25 062_06 1.00 13.03 R359.88 F001.20 F000.77 R359.92 R359.93 R000.00 F000.05 F000.02 359.93
2039-02-23 337_49 317_13 317_00 014_01 298_34 118_02 151_01 090_19 005_34 300_26 062_02 0.98 12.83 E359.97 F001.20 F000.78 R359.93 R359.92 R000.00 F000.05 F000.03 359.97
2039-02-24 338_48 330_03 316_58 015_13 299_21 117_58 150_56 090_19 005_37 300_28 062_00 1.00 12.62 F000.05 F001.17 F000.77 R359.93 R359.93 R359.97 F000.03 F000.03 359.95
2039-02-25 339_48 342_40 317_01 016_23 300_07 117_54 150_52 090_17 005_39 300_30 061_57 0.97 12.40 F000.17 F001.18 F000.77 R359.92 R359.93 R000.00 F000.02 F000.02 359.92
2039-02-26 340_46 355_04 317_11 017_34 300_53 117_49 150_48 090_17 005_40 300_31 061_52 1.00 12.22 F000.25 F001.20 F000.78 R359.93 R359.92 R000.00 F000.05 F000.00 359.95
2039-02-27 341_46 007_17 317_26 018_46 301_40 117_45 150_43 090_17 005_43 300_31 061_49 1.00 12.03 F000.33 F001.20 F000.75 R359.92 R359.90 R359.98 F000.03 F000.05 359.95
2039-02-28 342_46 019_19 317_46 019_58 302_25 117_40 150_37 090_16 005_45 300_34 061_46 1.00 11.90 F000.42 F001.17 F000.77 R359.95 R359.95 R000.00 F000.02 F000.00 359.95
2039-02-29 343_46 031_13 318_11 021_08 303_11 117_37 150_34 090_16 005_46 300_34 061_43 0.98 11.80 F000.48 F001.18 F000.78 R359.95 R359.90 R000.00 F000.05 F000.05 359.95
2039-02-30 344_45 043_01 318_40 022_19 303_58 117_34 150_28 090_16 005_49 300_37 061_40 0.97 11.77 F000.58 F001.20 F000.78 R359.95 R359.95 R000.00 F000.02 F000.00 359.95
2039-02-31 345_43 054_47 319_15 023_31 304_45 117_31 150_25 090_16 005_50 300_37 061_37 1.00 11.88 F000.62 F001.17 F000.77 R359.95 R359.90 R000.00 F000.07 F000.02 359.95
2039-03-01 346_43 066_40 319_52 024_41 305_31 117_28 150_19 090_16 005_54 300_38 061_34 1.00 12.00 F000.70 F001.18 F000.78 R359.95 R359.95 E000.00 F000.02 F000.03 359.95
2039-03-02 347_43 078_40 320_34 025_52 306_18 117_25 150_16 090_16 005_55 300_40 061_31 0.97 12.25 F000.75 F001.18 F000.77 R359.95 R359.92 F000.00 F000.05 F000.02 359.95
2039-03-03 348_41 090_55 321_19 027_03 307_04 117_22 150_11 090_16 005_58 300_41 061_28 0.98 12.60 F000.82 F001.17 F000.75 R359.95 R359.93 F000.00 F000.03 F000.03 359.95
2039-03-04 349_40 103_31 322_08 028_13 307_49 117_19 150_07 090_16 006_00 300_43 061_25 1.00 13.00 F000.88 F001.17 F000.80 R359.95 R359.93 F000.00 F000.02 F000.00 359.95
2039-03-05 350_40 116_31 323_01 029_23 308_37 117_16 150_03 090_16 006_01 300_43 061_22 0.97 13.45 F000.90 F001.18 F000.75 R359.95 R359.92 F000.00 F000.05 F000.03 359.92
2039-03-06 351_38 129_58 323_55 030_34 309_22 117_13 149_58 090_16 006_04 300_45 061_17 0.98 13.93 F000.97 F001.15 F000.77 R359.98 R359.93 F000.00 F000.05 F000.02 359.97
2039-03-07 352_37 143_54 324_53 031_43 310_08 117_12 149_54 090_16 006_07 300_46 061_15 1.00 14.35 F001.03 F001.17 F000.78 R359.97 R359.92 F000.02 F000.03 F000.03 359.95
2039-03-08 353_37 158_15 325_55 032_53 310_55 117_10 149_49 090_17 006_09 300_48 061_12 0.98 14.67 F001.05 F001.18 F000.77 R359.98 R359.95 F000.00 F000.02 F000.02 359.93
2039-03-09 354_36 172_55 326_58 034_04 311_41 117_09 149_46 090_17 006_10 300_49 061_08 0.97 14.90 F001.10 F001.15 F000.78 R359.97 R359.92 F000.00 F000.05 F000.00 359.97
2039-03-10 355_34 187_49 328_04 035_13 312_28 117_07 149_41 090_17 006_13 300_49 061_06 1.00 14.95 F001.15 F001.15 F000.78 R359.97 R359.93 F000.03 F000.05 F000.03 359.93
2039-03-11 356_34 202_46 329_13 036_22 313_15 117_05 149_37 090_19 006_16 300_51 061_02 0.98 14.88 F001.17 F001.17 F000.77 R359.98 R359.95 F000.00 F000.02 F000.02 359.93
2039-03-12 357_33 217_39 330_23 037_32 314_01 117_04 149_34 090_19 006_17 300_52 060_58 0.97 14.67 F001.23 F001.17 F000.75 R000.00 R359.93 F000.00 F000.03 F000.00 359.95
2039-03-13 358_31 232_19 331_37 038_42 314_46 117_04 149_30 090_19 006_19 300_52 060_55 1.00 14.40 F001.25 F001.15 F000.78 R359.97 R359.93 F000.00 F000.05 F000.05 359.95
2039-03-14 359_31 246_43 332_52 039_51 315_33 117_02 149_26 090_19 006_22 300_55 060_52 0.95 14.08 F001.30 F001.15 F000.77 R000.00 R359.93 F000.02 F000.05 F000.00 359.95
2039-03-15 000_28 260_48 334_10 041_00 316_19 117_02 149_22 090_20 006_25 300_55 060_49 1.00 13.77 F001.30 F001.13 F000.78 R359.98 R359.95 F000.03 F000.03 F000.02 359.95
2039-03-16 001_28 274_34 335_28 042_08 317_06 117_01 149_19 090_22 006_27 300_56 060_46 0.98 13.45 F001.38 F001.15 F000.77 R000.00 R359.95 F000.00 F000.02 F000.03 359.95
2039-03-17 002_27 288_01 336_51 043_17 317_52 117_01 149_16 090_22 006_28 300_58 060_43 0.97 13.17 F001.37 F001.17 F000.77 E000.00 R359.92 F000.00 F000.05 F000.00 359.95
2039-03-18 003_25 301_11 338_13 044_27 318_38 117_01 149_11 090_22 006_31 300_58 060_40 0.98 12.93 F001.42 F001.12 F000.78 F000.00 R359.97 F000.03 F000.05 F000.03 359.95
2039-03-19 004_24 314_07 339_38 045_34 319_25 117_01 149_09 090_24 006_34 301_00 060_37 0.97 12.70 F001.47 F001.15 F000.75 F000.00 R359.92 F000.02 F000.02 F000.00 359.95
2039-03-20 005_22 326_49 341_06 046_43 320_10 117_01 149_04 090_25 006_35 301_00 060_34 1.00 12.53 F001.47 F001.15 F000.80 F000.02 R359.95 F000.00 F000.03 F000.02 359.95
2039-03-21 006_22 339_21 342_34 047_52 320_58 117_02 149_01 090_25 006_37 301_01 060_31 0.95 12.33 F001.53 F001.13 F000.75 F000.03 R359.95 F000.03 F000.05 F000.00 359.95
2039-03-22 007_19 351_41 344_06 049_00 321_43 117_04 148_58 090_27 006_40 301_01 060_28 1.00 12.18 F001.52 F001.12 F000.78 F000.00 R359.95 F000.02 F000.05 F000.03 359.92
2039-03-23 008_19 003_52 345_37 050_07 322_30 117_04 148_55 090_28 006_43 301_03 060_23 0.95 12.03 F001.57 F001.15 F000.77 F000.02 R359.95 F000.03 F000.03 F000.02 359.97
2039-03-24 009_16 015_54 347_11 051_16 323_16 117_05 148_52 090_30 006_45 301_04 060_21 1.00 11.92 F001.62 F001.10 F000.75 F000.03 R359.95 F000.02 F000.02 F000.00 359.93
2039-03-25 010_16 027_49 348_48 052_22 324_01 117_07 148_49 090_31 006_46 301_04 060_17 0.95 11.82 F001.62 F001.15 F000.80 F000.00 R359.95 F000.00 F000.05 F000.03 359.97
2039-03-26 011_13 039_38 350_25 053_31 324_49 117_07 148_46 090_31 006_49 301_06 060_15 1.00 11.78 F001.65 F001.10 F000.75 F000.05 R359.95 F000.02 F000.05 F000.00 359.95
2039-03-27 012_13 051_25 352_04 054_37 325_34 117_10 148_43 090_32 006_52 301_06 060_12 0.95 11.80 F001.70 F001.13 F000.78 F000.03 R359.95 F000.03 F000.03 F000.02 359.93
2039-03-28 013_10 063_13 353_46 055_45 326_21 117_12 148_40 090_34 006_54 301_07 060_08 0.98 11.85 F001.73 F001.12 F000.77 F000.02 R359.98 F000.02 F000.02 F000.00 359.93
2039-03-29 014_09 075_04 355_30 056_52 327_07 117_13 148_39 090_35 006_55 301_07 060_04 0.97 12.00 F001.72 F001.10 F000.75 F000.05 R359.93 F000.03 F000.05 F000.00 359.95
2039-03-30 015_07 087_04 357_13 057_58 327_52 117_16 148_35 090_37 006_58 301_07 060_01 0.98 12.25 F001.80 F001.10 F000.77 F000.02 R359.98 F000.03 F000.05 F000.02 359.95
2039-04-01 016_06 099_19 359_01 059_04 328_38 117_17 148_34 090_39 007_01 301_08 059_58 0.97 12.55 F001.80 F001.13 F000.78 F000.05 R359.95 F000.02 F000.02 F000.03 359.95
2039-04-02 017_04 111_52 000_49 060_12 329_25 117_20 148_31 090_40 007_02 301_10 059_55 0.98 12.95 F001.82 F001.08 F000.75 F000.07 R359.95 F000.03 F000.03 F000.00 359.95
2039-04-03 018_03 124_49 002_38 061_17 330_10 117_24 148_28 090_42 007_04 301_10 059_52 0.97 13.37 F001.88 F001.10 F000.77 F000.05 R359.97 F000.02 F000.05 F000.00 359.95
2039-04-04 019_01 138_11 004_31 062_23 330_56 117_27 148_26 090_43 007_07 301_10 059_49 0.95 13.88 F001.88 F001.08 F000.78 F000.05 R359.98 F000.03 F000.05 F000.02 359.95
2039-04-05 019_58 152_04 006_24 063_28 331_43 117_30 148_25 090_45 007_10 301_11 059_46 0.97 14.33 F001.92 F001.10 F000.75 F000.03 R359.95 F000.02 F000.03 F000.00 359.95
2039-04-06 020_56 166_24 008_19 064_34 332_28 117_32 148_22 090_46 007_12 301_11 059_43 0.98 14.72 F001.95 F001.10 F000.78 F000.05 R359.97 F000.05 F000.02 F000.03 359.95
2039-04-07 021_55 181_07 010_16 065_40 333_15 117_35 148_20 090_49 007_13 301_13 059_40 0.95 15.05 F002.00 F001.08 F000.77 F000.08 R359.98 F000.02 F000.05 F000.00 359.95
2039-04-08 022_52 196_10 012_16 066_45 334_01 117_40 148_19 090_50 007_16 301_13 059_37 0.98 15.17 F002.00 F001.07 F000.75 F000.05 R359.98 F000.03 F000.02 F000.00 359.95
2039-04-09 023_51 211_20 014_16 067_49 334_46 117_43 148_18 090_52 007_17 301_13 059_34 0.97 15.18 F002.03 F001.10 F000.78 F000.07 R359.97 F000.05 F000.05 F000.00 359.93
2039-04-10 024_49 226_31 016_18 068_55 335_33 117_47 148_16 090_55 007_20 301_13 059_30 0.95 14.98 F002.07 F001.05 F000.77 F000.08 R359.98 F000.00 F000.03 F000.00 359.95
2039-04-11 025_46 241_30 018_22 069_58 336_19 117_52 148_15 090_55 007_22 301_13 059_27 0.98 14.67 F002.07 F001.07 F000.75 F000.05 R359.97 F000.05 F000.05 F000.03 359.93
2039-04-12 026_45 256_10 020_26 071_02 337_04 117_55 148_13 090_58 007_25 301_15 059_23 0.97 14.35 F002.13 F001.08 F000.78 F000.08 R359.97 F000.05 F000.03 F000.00 359.97
2039-04-13 027_43 270_31 022_34 072_07 337_51 118_00 148_11 091_01 007_27 301_15 059_21 0.95 13.90 F002.12 F001.05 F000.75 F000.07 R359.98 F000.02 F000.02 F000.02 359.93
2039-04-14 028_40 284_25 024_41 073_10 338_36 118_04 148_10 091_02 007_28 301_16 059_17 0.97 13.52 F002.17 F001.05 F000.77 F000.10 R000.00 F000.03 F000.05 F000.00 359.97
2039-04-15 029_38 297_56 026_51 074_13 339_22 118_10 148_10 091_04 007_31 301_16 059_15 0.98 13.17 F002.17 F001.05 F000.75 F000.05 R359.98 F000.05 F000.05 F000.00 359.92
