1932-00-01 256_28 165_41 237_11 284_46 263_51 118_55 270_51 352_33 134_58 088_25 337_22 1.00 14.12 F000.13 F001.23 F000.77 E359.95 F000.12 F000.02 E359.97 E359.98 359.95
1932-00-02 257_28 179_48 237_19 286_00 264_37 118_52 270_58 352_34 134_56 088_24 337_19 1.03 14.12 F000.25 F001.25 F000.77 R359.90 F000.10 F000.00 R000.00 R359.97 359.95
1932-00-03 258_30 193_55 237_34 287_15 265_23 118_46 271_04 352_34 134_56 088_22 337_16 1.02 14.17 F000.40 F001.22 F000.78 R359.95 F000.12 F000.00 R359.98 R359.97 359.95
1932-00-04 259_31 208_05 237_58 288_28 266_10 118_43 271_11 352_34 134_55 088_20 337_13 1.00 14.17 F000.47 F001.25 F000.77 R359.90 F000.13 F000.00 R000.00 R359.98 359.95
1932-00-05 260_31 222_15 238_26 289_43 266_56 118_37 271_19 352_34 134_55 088_19 337_10 1.03 14.05 F000.63 F001.25 F000.78 R359.92 F000.10 F000.03 R359.98 R000.00 359.95
1932-00-06 261_33 236_18 239_04 290_58 267_43 118_32 271_25 352_36 134_54 088_19 337_07 1.02 13.88 F000.68 F001.22 F000.78 R359.92 F000.15 F000.00 R359.97 R359.95 359.95
1932-00-07 262_34 250_11 239_45 292_11 268_30 118_27 271_34 352_36 134_52 088_16 337_04 1.03 13.68 F000.77 F001.23 F000.77 R359.92 F000.10 F000.02 R000.00 R000.00 359.95
1932-00-08 263_36 263_52 240_31 293_25 269_16 118_22 271_40 352_37 134_52 088_16 337_01 1.02 13.38 F000.85 F001.25 F000.78 R359.90 F000.13 F000.00 R000.00 R359.98 359.95
1932-00-09 264_37 277_15 241_22 294_40 270_03 118_16 271_48 352_37 134_52 088_15 336_58 1.00 13.05 F000.93 F001.22 F000.77 R359.90 F000.12 F000.00 R359.97 R359.97 359.92
1932-00-10 265_37 290_18 242_18 295_53 270_49 118_10 271_55 352_37 134_50 088_13 336_53 1.02 12.72 F000.97 F001.25 F000.80 R359.90 F000.10 F000.02 R359.98 R359.98 359.97
1932-00-11 266_38 303_01 243_16 297_08 271_37 118_04 272_01 352_38 134_49 088_12 336_51 1.03 12.40 F001.03 F001.23 F000.77 R359.90 F000.12 F000.03 R000.00 R359.97 359.95
1932-00-12 267_40 315_25 244_18 298_22 272_23 117_58 272_08 352_40 134_49 088_10 336_48 1.02 12.15 F001.07 F001.25 F000.78 R359.90 F000.13 F000.00 R359.98 R000.00 359.95
1932-00-13 268_41 327_34 245_22 299_37 273_10 117_52 272_16 352_40 134_48 088_10 336_45 1.03 11.95 F001.10 F001.23 F000.77 R359.90 F000.10 F000.02 R359.97 R359.95 359.93
1932-00-14 269_43 339_31 246_28 300_51 273_56 117_46 272_22 352_41 134_46 088_07 336_41 1.00 11.80 F001.18 F001.22 F000.78 R359.90 F000.13 F000.03 R359.98 R000.00 359.95
1932-00-15 270_43 351_19 247_39 302_04 274_43 117_40 272_30 352_43 134_45 088_07 336_38 1.03 11.80 F001.17 F001.25 F000.80 R359.90 F000.12 F000.00 R359.97 R359.97 359.93
1932-00-16 271_45 003_07 248_49 303_19 275_31 117_34 272_37 352_43 134_43 088_05 336_34 1.02 11.88 F001.23 F001.23 F000.78 R359.90 F000.13 F000.03 R000.00 R359.98 359.95
1932-00-17 272_46 015_00 250_03 304_33 276_18 117_28 272_45 352_45 134_43 088_04 336_31 1.00 12.02 F001.25 F001.22 F000.77 R359.87 F000.12 F000.02 R359.97 R359.97 359.95
