1991-01-01 287_52 131_07 268_55 309_45 039_10 104_27 275_36 257_46 261_31 206_31 273_46 1.02 13.88 F001.45 F001.25 F000.30 R359.87 F000.12 F000.08 F000.05 F000.00 359.92
1991-01-02 288_53 145_00 270_22 311_00 039_28 104_19 275_43 257_51 261_34 206_31 273_41 1.00 13.43 F001.48 F001.25 F000.30 R359.85 F000.10 F000.03 F000.03 F000.00 359.95
1991-01-03 289_53 158_26 271_51 312_15 039_46 104_10 275_49 257_53 261_36 206_31 273_38 1.03 13.07 F001.50 F001.25 F000.35 R359.87 F000.12 F000.05 F000.02 F000.03 359.97
1991-01-04 290_55 171_30 273_21 313_30 040_07 104_02 275_56 257_56 261_37 206_33 273_36 1.00 12.67 F001.50 F001.22 F000.30 R359.88 F000.13 F000.07 F000.05 F000.00 359.95
1991-01-05 291_55 184_10 274_51 314_43 040_25 103_55 276_04 258_00 261_40 206_33 273_33 1.02 12.35 F001.52 F001.25 F000.35 R359.87 F000.10 F000.05 F000.02 F000.02 359.95
1991-01-06 292_56 196_31 276_22 315_58 040_46 103_47 276_10 258_03 261_41 206_34 273_30 1.03 12.07 F001.52 F001.25 F000.35 R359.88 F000.10 F000.05 F000.03 F000.00 359.92
1991-01-07 293_58 208_35 277_53 317_13 041_07 103_40 276_16 258_06 261_43 206_34 273_25 1.00 11.93 F001.55 F001.25 F000.35 R359.85 F000.12 F000.03 F000.05 F000.00 359.95
1991-01-08 294_58 220_31 279_26 318_28 041_28 103_31 276_23 258_08 261_46 206_34 273_22 1.00 11.82 F001.57 F001.22 F000.35 R359.88 F000.13 F000.05 F000.03 F000.02 359.95
1991-01-09 295_58 232_20 281_00 319_41 041_49 103_24 276_31 258_11 261_48 206_35 273_19 1.03 11.82 F001.57 F001.25 F000.35 R359.87 F000.10 F000.07 F000.02 F000.00 359.95
1991-01-10 297_00 244_09 282_34 320_56 042_10 103_16 276_37 258_15 261_49 206_35 273_16 1.02 11.87 F001.60 F001.23 F000.37 R359.88 F000.13 F000.05 F000.05 F000.00 359.95
1991-01-11 298_01 256_01 284_10 322_10 042_32 103_09 276_45 258_18 261_52 206_35 273_13 1.00 12.00 F001.60 F001.25 F000.38 R359.87 F000.12 F000.05 F000.02 F000.03 359.95
1991-01-12 299_01 268_01 285_46 323_25 042_55 103_01 276_52 258_21 261_53 206_37 273_10 1.00 12.17 F001.60 F001.25 F000.37 R359.88 F000.10 F000.03 F000.03 F000.00 359.95
1991-01-13 300_01 280_11 287_22 324_40 043_17 102_54 276_58 258_23 261_55 206_37 273_07 1.03 12.38 F001.63 F001.25 F000.38 R359.87 F000.10 F000.05 F000.05 F000.00 359.95
1991-01-14 301_03 292_34 289_00 325_55 043_40 102_46 277_04 258_26 261_58 206_37 273_04 1.02 12.62 F001.62 F001.22 F000.40 R359.90 F000.12 F000.07 F000.03 F000.00 359.95
1991-01-15 302_04 305_11 290_37 327_08 044_04 102_40 277_11 258_30 262_00 206_37 273_01 1.00 12.88 F001.68 F001.23 F000.38 R359.87 F000.13 F000.05 F000.02 F000.00 359.95
1991-01-16 303_04 318_04 292_18 328_22 044_27 102_32 277_19 258_33 262_01 206_37 272_58 1.00 13.10 F001.67 F001.25 F000.40 R359.88 F000.10 F000.05 F000.03 F000.00 359.95
1991-01-17 304_04 331_10 293_58 329_37 044_51 102_25 277_25 258_36 262_03 206_37 272_55 1.00 13.35 F001.67 F001.25 F000.40 R359.90 F000.10 F000.02 F000.02 F000.00 359.95
1991-01-18 305_04 344_31 295_38 330_52 045_15 102_19 277_31 258_37 262_04 206_37 272_52 1.03 13.53 F001.72 F001.23 F000.42 R359.88 F000.12 F000.05 F000.05 F000.00 359.93
1991-01-19 306_06 358_03 297_21 332_06 045_40 102_12 277_38 258_40 262_07 206_37 272_48 1.00 13.72 F001.72 F001.22 F000.40 R359.87 F000.12 F000.05 F000.02 F000.03 359.95
1991-01-20 307_06 011_46 299_04 333_19 046_04 102_04 277_45 258_43 262_08 206_39 272_45 1.02 13.87 F001.70 F001.25 F000.40 R359.90 F000.12 F000.05 F000.03 F000.00 359.93
1991-01-21 308_07 025_38 300_46 334_34 046_28 101_58 277_52 258_46 262_10 206_39 272_41 1.00 14.03 F001.75 F001.23 F000.42 R359.90 F000.10 F000.05 F000.02 F000.00 359.95
1991-01-22 309_07 039_40 302_31 335_48 046_53 101_52 277_58 258_49 262_11 206_39 272_38 1.00 14.15 F001.78 F001.22 F000.43 R359.90 F000.10 F000.05 F000.03 B000.00 359.97
1991-01-23 310_07 053_49 304_18 337_01 047_19 101_46 278_04 258_52 262_13 206_39 272_36 1.00 14.25 F001.77 F001.25 F000.43 R359.90 F000.10 F000.02 F000.03 R000.00 359.92
1991-01-24 311_07 068_04 306_04 338_16 047_45 101_40 278_10 258_53 262_15 206_39 272_31 1.02 14.33 F001.80 F001.23 F000.42 R359.90 F000.10 F000.05 F000.02 R359.97 359.95
1991-01-25 312_08 082_24 307_52 339_30 048_10 101_34 278_16 258_56 262_16 206_37 272_28 1.00 14.32 F001.80 F001.22 F000.45 R359.90 F000.12 F000.03 F000.05 R000.00 359.95
1991-01-26 313_08 096_43 309_40 340_43 048_37 101_28 278_23 258_58 262_19 206_37 272_25 1.00 14.30 F001.83 F001.25 F000.45 R359.90 F000.12 F000.05 F000.00 R000.00 359.95
1991-01-27 314_08 111_01 311_30 341_58 049_04 101_22 278_30 259_01 262_19 206_37 272_22 1.00 14.15 F001.82 F001.20 F000.43 R359.90 F000.10 F000.05 F000.05 R000.00 359.95
1991-01-28 315_08 125_10 313_19 343_10 049_30 101_16 278_36 259_04 262_22 206_37 272_19 1.03 13.98 F001.87 F001.25 F000.45 R359.90 F000.08 F000.03 F000.00 R000.00 359.95
1991-02-01 316_10 139_09 315_11 344_25 049_57 101_10 278_41 259_06 262_22 206_37 272_16 1.00 13.68 F001.88 F001.22 F000.43 R359.92 F000.12 F000.03 F000.05 R000.00 359.95
1991-02-02 317_10 152_50 317_04 345_38 050_23 101_05 278_48 259_08 262_25 206_37 272_13 1.00 13.38 F001.87 F001.23 F000.47 R359.93 F000.12 F000.03 F000.00 R000.00 359.95
1991-02-03 318_10 166_13 318_56 346_52 050_51 101_01 278_55 259_10 262_25 206_37 272_10 1.00 13.05 F001.92 F001.23 F000.47 R359.90 F000.10 F000.05 F000.05 R000.00 359.95
1991-02-04 319_10 179_16 320_51 348_06 051_19 100_55 279_01 259_13 262_28 206_37 272_07 1.00 12.70 F001.92 F001.22 F000.45 R359.92 F000.10 F000.03 F000.00 R359.97 359.95
1991-02-05 320_10 191_58 322_46 349_19 051_46 100_50 279_07 259_15 262_28 206_35 272_04 1.00 12.37 F001.92 F001.23 F000.45 R359.93 F000.07 F000.02 F000.05 R000.00 359.95
1991-02-06 321_10 204_20 324_41 350_33 052_13 100_46 279_11 259_16 262_31 206_35 272_01 1.00 12.13 F001.93 F001.22 F000.48 R359.93 F000.12 F000.05 F000.00 R000.00 359.92
1991-02-07 322_10 216_28 326_37 351_46 052_42 100_42 279_18 259_19 262_31 206_35 271_56 1.00 11.93 F001.95 F001.23 F000.47 R359.92 F000.08 F000.05 F000.03 R359.98 359.95
1991-02-08 323_10 228_24 328_34 353_00 053_10 100_37 279_23 259_22 262_33 206_34 271_53 1.00 11.82 F001.95 F001.22 F000.47 R359.92 F000.12 F000.02 F000.02 R000.00 359.97
1991-02-09 324_10 240_13 330_31 354_13 053_38 100_32 279_30 259_23 262_34 206_34 271_51 1.00 11.85 F001.95 F001.20 F000.48 R359.93 F000.10 F000.03 F000.03 R000.00 359.95
1991-02-10 325_10 252_04 332_28 355_25 054_07 100_28 279_36 259_25 262_36 206_34 271_48 1.00 11.87 F001.95 F001.22 F000.48 R359.95 F000.07 F000.05 F000.02 R000.00 359.95
1991-02-11 326_10 263_56 334_25 356_38 054_36 100_25 279_40 259_28 262_37 206_34 271_45 1.00 12.07 F001.95 F001.23 F000.47 R359.95 F000.10 F000.00 F000.02 R359.98 359.93
1991-02-12 327_10 276_00 336_22 357_52 055_04 100_22 279_46 259_28 262_38 206_33 271_41 1.00 12.27 F001.95 F001.23 F000.50 R359.92 F000.10 F000.05 F000.03 R359.97 359.93
1991-02-13 328_10 288_16 338_19 359_06 055_34 100_17 279_52 259_31 262_40 206_31 271_37 1.00 12.55 F001.90 F001.22 F000.47 R359.97 F000.10 F000.03 F000.00 R000.00 359.95
1991-02-14 329_10 300_49 340_13 000_19 056_02 100_15 279_58 259_33 262_40 206_31 271_34 1.00 12.90 F001.90 F001.20 F000.48 R359.95 F000.08 F000.02 F000.02 R000.00 359.95
1991-02-15 330_10 313_43 342_07 001_31 056_31 100_12 280_03 259_34 262_41 206_31 271_31 1.00 13.20 F001.88 F001.20 F000.50 R359.95 F000.08 F000.03 F000.03 R359.98 359.95
1991-02-16 331_10 326_55 344_00 002_43 057_01 100_09 280_08 259_36 262_43 206_30 271_28 1.00 13.52 F001.85 F001.23 F000.50 R359.97 F000.08 F000.02 F000.00 R359.97 359.95
1991-02-17 332_10 340_26 345_51 003_57 057_31 100_07 280_13 259_37 262_43 206_28 271_25 0.97 13.78 F001.78 F001.22 F000.50 R359.95 F000.10 F000.05 F000.03 R000.00 359.95
1991-02-18 333_08 354_13 347_38 005_10 058_01 100_04 280_19 259_40 262_45 206_28 271_22 1.00 13.97 F001.73 F001.20 F000.50 R359.95 F000.07 F000.00 F000.02 R000.00 359.95
1991-02-19 334_08 008_11 349_22 006_22 058_31 100_01 280_23 259_40 262_46 206_28 271_19 1.00 14.13 F001.70 F001.20 F000.50 R359.98 F000.12 F000.05 F000.00 R359.97 359.95
1991-02-20 335_08 022_19 351_04 007_34 059_01 100_00 280_30 259_43 262_46 206_26 271_16 0.98 14.15 F001.65 F001.23 F000.50 R359.97 F000.07 F000.00 F000.03 R359.98 359.95
1991-02-21 336_07 036_28 352_43 008_48 059_31 099_58 280_34 259_43 262_48 206_25 271_13 1.00 14.20 F001.55 F001.22 F000.50 R359.95 F000.10 F000.05 F000.02 R000.00 359.95
1991-02-22 337_07 050_40 354_16 010_01 060_01 099_55 280_40 259_46 262_49 206_25 271_10 1.00 14.15 F001.45 F001.20 F000.50 R359.98 F000.05 F000.00 F000.00 R359.98 359.95
1991-02-23 338_07 064_49 355_43 011_13 060_31 099_54 280_43 259_46 262_49 206_24 271_07 1.00 14.08 F001.40 F001.20 F000.52 R359.97 F000.10 F000.03 F000.03 R359.97 359.93
1991-02-24 339_07 078_54 357_07 012_25 061_02 099_52 280_49 259_48 262_51 206_22 271_03 1.00 14.02 F001.30 F001.20 F000.53 R000.00 F000.07 F000.02 F000.02 R000.00 359.95
1991-02-25 340_07 092_55 358_25 013_37 061_34 099_52 280_53 259_49 262_52 206_22 271_00 0.98 13.95 F001.20 F001.20 F000.50 R359.97 F000.08 F000.03 F000.00 R359.97 359.93
1991-02-26 341_06 106_52 359_37 014_49 062_04 099_50 280_58 259_51 262_52 206_20 270_56 0.97 13.85 F001.10 F001.20 F000.50 R359.98 F000.08 F000.02 F000.00 R359.98 359.95
1991-02-27 342_04 120_43 000_43 016_01 062_34 099_49 281_03 259_52 262_52 206_19 270_53 1.00 13.70 F000.95 F001.20 F000.53 R000.00 F000.07 F000.00 F000.02 R000.00 359.97
1991-02-28 343_04 134_25 001_40 017_13 063_06 099_49 281_07 259_52 262_53 206_19 270_51 1.00 13.55 F000.87 F001.20 F000.52 R000.00 F000.07 F000.02 F000.03 R359.98 359.95
1991-02-29 344_04 147_58 002_32 018_25 063_37 099_49 281_11 259_53 262_55 206_18 270_48 0.98 13.35 F000.78 F001.20 F000.53 R000.00 F000.08 F000.03 F000.00 R359.97 359.92
1991-02-30 345_03 161_19 003_19 019_37 064_09 099_49 281_16 259_55 262_55 206_16 270_43 1.00 13.12 F000.60 F001.20 F000.52 E000.00 F000.08 F000.00 F000.00 R000.00 359.95
1991-02-31 346_03 174_26 003_55 020_49 064_40 099_49 281_21 259_55 262_55 206_16 270_40 0.97 12.88 F000.53 F001.20 F000.53 F000.00 F000.07 F000.02 F000.02 R359.98 359.95
1991-03-01 347_01 187_19 004_27 022_01 065_12 099_49 281_25 259_56 262_56 206_15 270_37 1.00 12.58 F000.37 F001.20 F000.52 F000.00 F000.08 F000.03 F000.00 R359.97 359.95
1991-03-02 348_01 199_54 004_49 023_13 065_43 099_49 281_30 259_58 262_56 206_13 270_34 0.98 12.32 F000.27 F001.20 F000.53 F000.00 F000.07 F000.00 F000.03 R359.97 359.95
1991-03-03 349_00 212_13 005_05 024_25 066_15 099_49 281_34 259_58 262_58 206_11 270_31 0.97 12.10 F000.17 F001.18 F000.52 F000.02 F000.05 F000.03 F000.00 R359.98 359.95
1991-03-04 349_58 224_19 005_15 025_36 066_46 099_50 281_37 260_00 262_58 206_10 270_28 1.00 11.90 B000.02 F001.17 F000.55 F000.03 F000.07 F000.00 F000.00 R000.00 359.95
1991-03-05 350_58 236_13 005_16 026_46 067_19 099_52 281_41 260_00 262_58 206_10 270_25 1.00 11.85 R359.93 F001.20 F000.52 F000.00 F000.08 F000.02 F000.00 R359.95 359.95
1991-03-06 351_58 248_04 005_12 027_58 067_50 099_52 281_46 260_01 262_58 206_07 270_22 0.97 11.80 R359.80 F001.20 F000.53 F000.03 F000.05 F000.00 F000.03 R000.00 359.95
1991-03-07 352_56 259_52 005_00 029_10 068_22 099_54 281_49 260_01 263_00 206_07 270_19 0.98 11.90 R359.72 F001.18 F000.55 F000.02 F000.05 F000.00 F000.00 R359.97 359.95
1991-03-08 353_55 271_46 004_43 030_21 068_55 099_55 281_52 260_01 263_00 206_05 270_16 1.00 12.05 R359.60 F001.17 F000.53 F000.03 F000.07 F000.03 F000.00 R359.98 359.95
1991-03-09 354_55 283_49 004_19 031_31 069_27 099_57 281_56 260_03 263_00 206_04 270_13 0.97 12.30 R359.50 F001.20 F000.52 F000.02 F000.07 F000.00 F000.02 R359.98 359.92
1991-03-10 355_53 296_07 003_49 032_43 069_58 099_58 282_00 260_03 263_01 206_03 270_08 0.98 12.65 R359.45 F001.17 F000.55 F000.05 F000.07 F000.00 F000.00 R359.97 359.97
1991-03-11 356_52 308_46 003_16 033_53 070_31 100_01 282_04 260_03 263_01 206_01 270_06 0.98 13.00 R359.40 F001.18 F000.55 F000.05 F000.05 F000.02 F000.00 R359.98 359.95
1991-03-12 357_51 321_46 002_40 035_04 071_04 100_04 282_07 260_04 263_01 206_00 270_03 0.97 13.45 R359.33 F001.18 F000.55 F000.02 F000.05 F000.00 F000.00 R359.97 359.95
1991-03-13 358_49 335_13 002_00 036_15 071_37 100_05 282_10 260_04 263_01 205_58 270_00 1.00 13.83 R359.30 F001.17 F000.53 F000.07 F000.05 F000.00 F000.00 R359.97 359.93
1991-03-14 359_49 349_03 001_18 037_25 072_09 100_09 282_13 260_04 263_01 205_56 269_56 0.98 14.17 R359.27 F001.20 F000.55 F000.02 F000.05 F000.00 F000.00 R359.98 359.95
1991-03-15 000_48 003_13 000_34 038_37 072_42 100_10 282_16 260_04 263_01 205_55 269_53 0.97 14.40 R359.25 F001.15 F000.55 F000.05 F000.05 F000.00 F000.00 R359.98 359.93
1991-03-16 001_46 017_37 359_49 039_46 073_15 100_13 282_19 260_04 263_01 205_54 269_49 0.98 14.58 R359.25 F001.18 F000.53 F000.05 F000.05 F000.00 F000.00 R359.97 359.95
1991-03-17 002_45 032_12 359_04 040_57 073_47 100_16 282_22 260_04 263_01 205_52 269_46 0.97 14.57 R359.30 F001.17 F000.55 F000.07 F000.05 F000.00 F000.00 R359.97 359.95
1991-03-18 003_43 046_46 358_22 042_07 074_20 100_20 282_25 260_04 263_01 205_50 269_43 1.00 14.50 R359.30 F001.15 F000.57 F000.07 F000.05 B000.00 F000.00 R359.98 359.95
1991-03-19 004_43 061_16 357_40 043_16 074_54 100_24 282_28 260_04 263_01 205_49 269_40 0.95 14.35 R359.35 F001.18 F000.55 F000.07 F000.05 R000.00 B000.00 R359.98 359.95
1991-03-20 005_40 075_37 357_01 044_27 075_27 100_28 282_31 260_04 263_01 205_48 269_37 1.00 14.17 R359.42 F001.17 F000.55 F000.05 F000.03 R000.00 R000.00 R359.97 359.95
1991-03-21 006_40 089_47 356_26 045_37 076_00 100_31 282_33 260_04 263_01 205_46 269_34 0.98 13.97 R359.48 F001.15 F000.57 F000.07 F000.05 R000.00 R000.00 R359.98 359.95
1991-03-22 007_39 103_45 355_55 046_46 076_34 100_35 282_36 260_04 263_01 205_45 269_31 0.97 13.75 R359.52 F001.18 F000.55 F000.08 F000.02 R000.00 R000.00 R359.97 359.95
1991-03-23 008_37 117_30 355_26 047_57 077_07 100_40 282_37 260_04 263_01 205_43 269_28 0.97 13.52 R359.62 F001.15 F000.55 F000.05 F000.05 R000.00 R000.00 R359.97 359.95
1991-03-24 009_35 131_01 355_03 049_06 077_40 100_43 282_40 260_04 263_01 205_41 269_25 0.98 13.38 R359.67 F001.15 F000.55 F000.10 F000.05 R000.00 R000.00 R359.98 359.95
1991-03-25 010_34 144_24 354_43 050_15 078_13 100_49 282_43 260_04 263_01 205_40 269_22 0.95 13.17 R359.75 F001.17 F000.55 F000.05 F000.03 R359.98 R000.00 R359.98 359.95
1991-03-26 011_31 157_34 354_28 051_25 078_46 100_52 282_45 260_03 263_01 205_39 269_19 1.00 12.98 R359.85 F001.15 F000.57 F000.10 F000.02 R000.00 R000.00 R359.97 359.93
1991-03-27 012_31 170_33 354_19 052_34 079_20 100_58 282_46 260_03 263_01 205_37 269_15 0.95 12.77 R359.93 F001.15 F000.58 F000.07 F000.05 R000.00 R000.00 R359.97 359.93
1991-03-28 013_28 183_19 354_15 053_43 079_55 101_02 282_49 260_03 263_01 205_35 269_11 0.97 12.58 E000.02 F001.13 F000.55 F000.08 F000.00 R359.97 R359.98 R359.98 359.95
1991-03-29 014_26 195_54 354_16 054_51 080_28 101_07 282_49 260_01 263_00 205_34 269_08 0.98 12.37 F000.08 F001.15 F000.55 F000.10 F000.05 R000.00 R000.00 R359.95 359.97
