1942-01-01 288_26 103_58 303_58 291_16 017_23 048_22 028_38 033_17 156_34 101_25 142_09 1.03 12.75 B359.90 R359.40 F000.55 R359.98 F000.03 R000.00 R359.98 R000.00 359.93
1942-01-02 289_28 116_43 303_52 290_40 017_56 048_21 028_40 033_17 156_33 101_25 142_05 1.00 12.95 R359.75 R359.35 F000.53 R000.00 F000.00 R000.00 R359.97 R359.95 359.97
1942-01-03 290_28 129_40 303_37 290_01 018_28 048_21 028_40 033_17 156_31 101_22 142_03 1.03 13.17 R359.52 R359.40 F000.55 R359.97 F000.05 E000.00 R000.00 R000.00 359.95
1942-01-04 291_30 142_50 303_08 289_25 019_01 048_19 028_43 033_17 156_31 101_22 142_00 1.00 13.38 R359.38 R359.38 F000.55 R000.00 F000.00 F000.00 R359.98 R359.97 359.92
1942-01-05 292_30 156_13 302_31 288_48 019_34 048_19 028_43 033_17 156_30 101_20 141_55 1.02 13.55 R359.23 R359.38 F000.57 E000.00 F000.05 F000.00 R359.97 R359.98 359.95
1942-01-06 293_31 169_46 301_45 288_11 020_08 048_19 028_46 033_17 156_28 101_19 141_52 1.00 13.75 R359.07 R359.43 F000.55 F000.00 F000.00 F000.00 R000.00 R359.97 359.95
1942-01-07 294_31 183_31 300_49 287_37 020_41 048_19 028_46 033_17 156_28 101_17 141_49 1.03 13.92 R358.95 R359.43 F000.57 F000.03 F000.05 F000.00 R359.97 R359.98 359.95
1942-01-08 295_33 197_26 299_46 287_03 021_15 048_21 028_49 033_17 156_26 101_16 141_46 1.00 14.12 R358.90 R359.45 F000.57 F000.00 F000.03 F000.03 R359.98 R359.98 359.95
1942-01-09 296_33 211_33 298_40 286_30 021_49 048_21 028_51 033_19 156_25 101_15 141_43 1.02 14.25 R358.85 R359.47 F000.55 F000.02 F000.02 F000.00 R000.00 R359.97 359.95
1942-01-10 297_34 225_48 297_31 285_58 022_22 048_22 028_52 033_19 156_25 101_13 141_40 1.00 14.37 R358.80 R359.50 F000.55 F000.00 F000.05 F000.00 R359.95 R000.00 359.95
1942-01-11 298_34 240_10 296_19 285_28 022_55 048_22 028_55 033_19 156_22 101_13 141_37 1.03 14.40 R358.82 R359.55 F000.55 F000.05 F000.02 F000.00 R000.00 R359.98 359.95
1942-01-12 299_36 254_34 295_08 285_01 023_28 048_25 028_56 033_19 156_22 101_12 141_34 1.00 14.35 R358.88 R359.58 F000.58 F000.00 F000.03 F000.00 R359.97 R359.97 359.95
1942-01-13 300_36 268_55 294_01 284_36 024_03 048_25 028_58 033_19 156_20 101_10 141_31 1.02 14.25 R358.95 R359.62 F000.57 F000.05 F000.05 F000.03 R359.98 R359.98 359.95
1942-01-14 301_37 283_10 292_58 284_13 024_37 048_28 029_01 033_21 156_19 101_09 141_28 1.00 14.08 R359.05 R359.63 F000.55 F000.00 F000.05 F000.00 R359.98 R359.97 359.95
1942-01-15 302_37 297_15 292_01 283_51 025_10 048_28 029_04 033_21 156_18 101_07 141_25 1.00 13.77 R359.12 R359.67 F000.58 F000.05 F000.03 F000.02 R359.97 R000.00 359.92
1942-01-16 303_37 311_01 291_08 283_31 025_45 048_31 029_06 033_22 156_16 101_07 141_20 1.02 13.45 R359.28 R359.75 F000.57 F000.05 F000.03 F000.00 R000.00 R359.95 359.97
1942-01-17 304_38 324_28 290_25 283_16 026_19 048_34 029_08 033_22 156_16 101_04 141_18 1.00 13.15 R359.35 R359.75 F000.57 F000.03 F000.05 F000.00 R359.95 R000.00 359.95
1942-01-18 305_38 337_37 289_46 283_01 026_53 048_36 029_11 033_22 156_13 101_04 141_15 1.03 12.77 R359.53 R359.80 F000.58 F000.03 F000.07 F000.02 R000.00 R359.97 359.93
1942-01-19 306_40 350_23 289_18 282_49 027_28 048_38 029_15 033_23 156_13 101_02 141_11 1.00 12.48 R359.62 R359.85 F000.55 F000.07 F000.05 F000.03 R359.95 R359.98 359.97
