1918-01-01 288_37 162_00 264_40 302_58 160_18 038_47 108_22 300_16 102_50 071_05 246_40 1.00 11.87 F001.25 R359.53 F000.02 F000.03 R359.90 F000.05 R359.98 R359.98 359.95
1918-01-02 289_37 173_52 265_55 302_30 160_19 038_49 108_16 300_19 102_49 071_04 246_37 1.00 11.97 F001.27 R359.47 F000.02 F000.03 R359.93 F000.07 R359.97 R000.00 359.95
1918-01-03 290_37 185_50 267_11 301_58 160_20 038_51 108_12 300_23 102_47 071_04 246_34 1.02 12.13 F001.32 R359.45 B000.00 F000.02 R359.92 F000.05 R359.98 R359.97 359.95
1918-01-04 291_38 197_58 268_30 301_25 160_20 038_52 108_07 300_26 102_46 071_02 246_31 1.03 12.35 F001.32 R359.45 R359.98 F000.02 R359.90 F000.08 R359.95 R359.98 359.95
1918-01-05 292_40 210_19 269_49 300_52 160_19 038_53 108_01 300_31 102_43 071_01 246_28 1.00 12.68 F001.35 R359.43 R000.00 F000.03 R359.95 F000.05 R000.00 R000.00 359.95
1918-01-06 293_40 223_00 271_10 300_18 160_19 038_55 107_58 300_34 102_43 071_01 246_25 1.02 13.07 F001.35 R359.38 R359.95 F000.05 R359.90 F000.05 R359.95 R359.98 359.95
1918-01-07 294_41 236_04 272_31 299_41 160_16 038_58 107_52 300_37 102_40 071_00 246_22 1.00 13.52 F001.37 R359.38 R359.98 F000.05 R359.92 F000.05 R359.98 R359.97 359.95
1918-01-08 295_41 249_35 273_53 299_04 160_15 039_01 107_47 300_40 102_39 070_58 246_19 1.03 13.98 F001.42 R359.40 R359.92 F000.05 R359.93 F000.05 R359.97 R000.00 359.95
1918-01-09 296_43 263_34 275_18 298_28 160_10 039_04 107_43 300_43 102_37 070_58 246_16 1.00 14.45 F001.42 R359.38 R359.95 F000.03 R359.90 F000.08 R359.97 R000.00 359.92
1918-01-10 297_43 278_01 276_43 297_51 160_07 039_06 107_37 300_48 102_35 070_58 246_11 1.03 14.85 F001.42 R359.37 R359.90 F000.03 R359.92 F000.05 R359.98 R359.98 359.97
1918-01-11 298_45 292_52 278_08 297_13 160_01 039_08 107_32 300_51 102_34 070_57 246_09 1.00 15.07 F001.48 R359.40 R359.90 F000.08 R359.93 F000.07 R359.97 R359.97 359.93
1918-01-12 299_45 307_56 279_37 296_37 159_55 039_13 107_28 300_55 102_32 070_55 246_05 1.02 15.18 F001.45 R359.40 R359.90 F000.05 R359.93 F000.05 R359.98 R000.00 359.97
1918-01-13 300_46 323_07 281_04 296_01 159_49 039_16 107_24 300_58 102_31 070_55 246_03 1.00 15.10 F001.50 R359.40 R359.87 F000.05 R359.92 F000.05 R359.98 R000.00 359.95
1918-01-14 301_46 338_13 282_34 295_25 159_41 039_19 107_19 301_01 102_30 070_55 246_00 1.00 14.85 F001.50 R359.43 R359.88 F000.05 R359.93 F000.05 R359.97 R359.98 359.93
1918-01-15 302_46 353_04 284_04 294_51 159_34 039_22 107_15 301_04 102_28 070_54 245_56 1.03 14.50 F001.50 R359.42 R359.85 F000.08 R359.92 F000.07 R359.98 R000.00 359.93
