1913-01-01 288_55 230_49 280_30 335_15 263_25 253_45 034_31 281_19 091_31 065_40 343_26 1.00 12.45 F001.63 F001.07 F000.75 F000.22 F000.02 F000.05 R359.98 R359.98 359.95
1913-01-02 289_55 243_16 282_08 336_19 264_10 253_58 034_32 281_22 091_30 065_39 343_23 1.00 12.25 F001.68 F001.07 F000.75 F000.20 F000.00 F000.07 R359.97 R359.97 359.97
1913-01-03 290_55 255_31 283_49 337_23 264_55 254_10 034_32 281_26 091_28 065_37 343_21 1.02 12.12 F001.65 F001.08 F000.75 F000.20 F000.03 F000.07 R359.98 R000.00 359.95
1913-01-04 291_56 267_38 285_28 338_28 265_40 254_22 034_34 281_30 091_27 065_37 343_18 1.03 12.00 F001.70 F001.05 F000.77 F000.20 F000.00 F000.07 R359.97 R000.00 359.95
1913-01-05 292_58 279_38 287_10 339_31 266_26 254_34 034_34 281_34 091_25 065_37 343_15 1.00 11.93 F001.70 F001.05 F000.75 F000.20 F000.03 F000.05 R359.98 R359.97 359.93
1913-01-06 293_58 291_34 288_52 340_34 267_11 254_46 034_36 281_37 091_24 065_35 343_11 1.03 11.82 F001.70 F001.05 F000.78 F000.20 F000.02 F000.05 R359.97 R359.98 359.93
1913-01-07 295_00 303_23 290_34 341_37 267_58 254_58 034_37 281_40 091_22 065_34 343_07 1.02 11.83 F001.70 F001.05 F000.75 F000.20 F000.00 F000.05 R359.97 R000.00 359.95
1913-01-08 296_01 315_13 292_16 342_40 268_43 255_10 034_37 281_43 091_20 065_34 343_04 1.00 11.80 F001.75 F001.02 F000.75 F000.20 F000.02 F000.08 R359.98 R000.00 359.95
1913-01-09 297_01 327_01 294_01 343_41 269_28 255_22 034_38 281_48 091_19 065_34 343_01 1.00 11.83 F001.75 F001.03 F000.78 F000.20 F000.03 F000.05 R359.97 R359.97 359.95
1913-01-10 298_01 338_51 295_46 344_43 270_15 255_34 034_40 281_51 091_17 065_32 342_58 1.03 11.92 F001.75 F001.03 F000.75 F000.20 F000.03 F000.03 R359.98 R359.98 359.95
1913-01-11 299_03 350_46 297_31 345_45 271_00 255_46 034_42 281_53 091_16 065_31 342_55 1.02 12.10 F001.80 F001.02 F000.77 F000.20 F000.02 F000.08 R359.98 R000.00 359.95
1913-01-12 300_04 002_52 299_19 346_46 271_46 255_58 034_43 281_58 091_15 065_31 342_52 1.00 12.35 F001.78 F001.00 F000.75 F000.20 F000.03 F000.05 R359.97 R000.00 359.95
1913-01-13 301_04 015_13 301_06 347_46 272_31 256_10 034_45 282_01 091_13 065_31 342_49 1.00 12.63 F001.78 F001.00 F000.78 F000.20 F000.02 F000.05 R359.98 R359.98 359.95
1913-01-14 302_04 027_51 302_53 348_46 273_18 256_22 034_46 282_04 091_12 065_30 342_46 1.00 13.02 F001.83 F001.00 F000.75 F000.18 F000.05 F000.05 R359.97 R000.00 359.95
1913-01-15 303_04 040_52 304_43 349_46 274_03 256_33 034_49 282_07 091_10 065_30 342_43 1.03 13.45 F001.83 F001.00 F000.77 F000.20 F000.03 F000.05 R359.98 R359.97 359.95
1913-01-16 304_06 054_19 306_33 350_46 274_49 256_45 034_51 282_10 091_09 065_28 342_40 1.02 13.95 F001.82 F000.95 F000.75 F000.17 F000.02 F000.08 R359.97 R000.00 359.95
1913-01-17 305_07 068_16 308_22 351_43 275_34 256_55 034_52 282_15 091_07 065_28 342_37 1.00 14.40 F001.85 F001.00 F000.78 F000.20 F000.05 F000.05 R000.00 R000.00 359.93
1913-01-18 306_07 082_40 310_13 352_43 276_21 257_07 034_55 282_18 091_07 065_28 342_33 1.00 14.83 F001.88 F000.95 F000.77 F000.18 F000.03 F000.05 R359.95 R000.00 359.95
1913-01-19 307_07 097_30 312_06 353_40 277_07 257_18 034_57 282_21 091_04 065_28 342_30 1.00 15.12 F001.87 F000.95 F000.75 F000.17 F000.05 F000.03 R000.00 R359.98 359.93
1913-01-20 308_07 112_37 313_58 354_37 277_52 257_28 035_00 282_23 091_04 065_27 342_26 1.00 15.30 F001.85 F000.95 F000.77 F000.20 F000.02 F000.08 R359.97 R000.00 359.95
1913-01-21 309_07 127_55 315_49 355_34 278_38 257_40 035_01 282_28 091_02 065_27 342_23 1.02 15.25 F001.90 F000.93 F000.75 F000.18 F000.05 F000.05 R359.98 R359.97 359.97
1913-01-22 310_08 143_10 317_43 356_30 279_23 257_51 035_04 282_31 091_01 065_25 342_21 1.00 15.05 F001.85 F000.92 F000.78 F000.17 F000.05 F000.05 R359.98 R000.00 359.92
1913-01-23 311_08 158_13 319_34 357_25 280_10 258_01 035_07 282_34 091_00 065_25 342_16 1.03 14.72 F001.90 F000.90 F000.75 F000.20 F000.05 F000.05 R359.97 R000.00 359.95
1913-01-24 312_10 172_56 321_28 358_19 280_55 258_13 035_10 282_37 090_58 065_25 342_13 1.00 14.32 F001.85 F000.90 F000.77 F000.17 F000.05 F000.05 R000.00 R000.00 359.95
1913-01-25 313_10 187_15 323_19 359_13 281_41 258_23 035_13 282_40 090_58 065_25 342_10 1.00 13.87 F001.87 F000.90 F000.78 F000.18 F000.05 F000.05 R359.98 R000.00 359.95
1913-01-26 314_10 201_07 325_11 000_07 282_28 258_34 035_16 282_43 090_57 065_25 342_07 1.00 13.40 F001.87 F000.88 F000.78 F000.15 F000.05 F000.05 R359.97 R000.00 359.95
1913-01-27 315_10 214_31 327_03 001_00 283_15 258_43 035_19 282_46 090_55 065_25 342_04 1.00 13.00 F001.82 F000.87 F000.77 F000.20 F000.05 F000.05 R000.00 R359.98 359.95
1913-01-28 316_10 227_31 328_52 001_52 284_01 258_55 035_22 282_49 090_55 065_24 342_01 1.00 12.65 F001.80 F000.85 F000.75 F000.15 F000.05 F000.05 R359.95 R000.00 359.95
1913-02-01 317_10 240_10 330_40 002_43 284_46 259_04 035_25 282_52 090_52 065_24 341_58 1.00 12.38 F001.77 F000.85 F000.78 F000.18 F000.08 F000.05 R000.00 R000.00 359.95
1913-02-02 318_10 252_33 332_26 003_34 285_33 259_15 035_30 282_55 090_52 065_24 341_55 1.00 12.13 F001.73 F000.83 F000.77 F000.17 F000.03 F000.05 R359.97 R359.97 359.95
1913-02-03 319_10 264_41 334_10 004_24 286_19 259_25 035_32 282_58 090_50 065_22 341_52 1.00 11.98 F001.68 F000.82 F000.75 F000.15 F000.08 F000.05 R359.98 R000.00 359.95
1913-02-04 320_10 276_40 335_51 005_13 287_04 259_34 035_37 283_01 090_49 065_22 341_49 1.02 11.90 F001.62 F000.80 F000.78 F000.18 F000.05 F000.05 R000.00 R000.00 359.95
1913-02-05 321_11 288_34 337_28 006_01 287_51 259_45 035_40 283_04 090_49 065_22 341_46 1.00 11.82 F001.53 F000.80 F000.77 F000.17 F000.05 F000.05 R000.00 R000.00 359.95
1913-02-06 322_11 300_23 339_00 006_49 288_37 259_55 035_43 283_07 090_49 065_22 341_43 0.98 11.78 F001.47 F000.75 F000.75 F000.13 F000.05 F000.05 R359.95 R000.00 359.90
1913-02-07 323_10 312_10 340_28 007_34 289_22 260_03 035_46 283_10 090_46 065_22 341_37 1.00 11.85 F001.38 F000.75 F000.77 F000.17 F000.08 F000.05 R000.00 R000.00 359.95
1913-02-08 324_10 324_01 341_51 008_19 290_08 260_13 035_51 283_13 090_46 065_22 341_34 1.00 11.85 F001.27 F000.75 F000.78 F000.15 F000.07 F000.03 R359.98 R000.00 359.95
1913-02-09 325_10 335_52 343_07 009_04 290_55 260_22 035_55 283_15 090_45 065_22 341_31 1.00 11.98 F001.20 F000.70 F000.77 F000.15 F000.08 F000.05 R359.97 R359.97 359.95
1913-02-10 326_10 347_51 344_19 009_46 291_41 260_31 036_00 283_18 090_43 065_20 341_28 1.00 12.07 F001.07 F000.73 F000.78 F000.15 F000.07 F000.05 R000.00 R000.00 359.95
1913-02-11 327_10 359_55 345_23 010_30 292_28 260_40 036_04 283_21 090_43 065_20 341_25 1.00 12.25 F000.97 F000.67 F000.75 F000.15 F000.05 F000.03 R359.98 R000.00 359.95
1913-02-12 328_10 012_10 346_21 011_10 293_13 260_49 036_07 283_23 090_42 065_20 341_22 1.00 12.45 F000.82 F000.67 F000.80 F000.15 F000.10 F000.05 R000.00 E000.00 359.95
1913-02-13 329_10 024_37 347_10 011_50 294_01 260_58 036_13 283_26 090_42 065_20 341_19 1.00 12.73 F000.70 F000.67 F000.75 F000.15 F000.05 F000.03 R359.97 F000.00 359.95
1913-02-14 330_10 037_21 347_52 012_30 294_46 261_07 036_16 283_28 090_40 065_20 341_16 1.00 13.02 F000.55 F000.62 F000.78 F000.13 F000.10 F000.05 R000.00 F000.00 359.95
1913-02-15 331_10 050_22 348_25 013_07 295_33 261_15 036_22 283_31 090_40 065_20 341_13 1.00 13.38 F000.45 F000.60 F000.77 F000.13 F000.08 F000.05 R000.00 F000.00 359.95
1913-02-16 332_10 063_45 348_52 013_43 296_19 261_23 036_27 283_34 090_40 065_20 341_10 0.97 13.77 F000.27 F000.60 F000.78 F000.13 F000.07 F000.05 R359.98 F000.03 359.95
