1917-00-01 257_19 353_30 276_28 229_19 270_37 002_55 095_46 294_51 101_25 070_32 267_40 1.03 13.22 F001.15 F001.23 F000.77 F000.05 E359.95 F000.03 E359.98 E359.98 359.95
1917-00-02 258_21 006_43 277_37 230_33 271_23 002_58 095_43 294_53 101_24 070_31 267_37 1.02 12.90 F001.10 F001.25 F000.78 F000.05 R359.90 F000.05 R359.97 R359.98 359.95
1917-00-03 259_22 019_37 278_43 231_48 272_10 003_01 095_37 294_56 101_22 070_30 267_34 1.00 12.65 F000.97 F001.25 F000.80 F000.05 R359.95 F000.07 R359.97 R359.97 359.95
1917-00-04 260_22 032_16 279_41 233_03 272_58 003_04 095_34 295_00 101_20 070_28 267_31 1.02 12.43 F000.92 F001.22 F000.78 F000.05 R359.90 F000.05 R359.98 R000.00 359.95
1917-00-05 261_23 044_42 280_36 234_16 273_45 003_07 095_28 295_03 101_19 070_28 267_28 1.03 12.22 F000.77 F001.25 F000.77 F000.05 R359.93 F000.05 R359.97 R359.98 359.92
1917-00-06 262_25 056_55 281_22 235_31 274_31 003_10 095_24 295_06 101_17 070_27 267_23 1.00 12.10 F000.63 F001.25 F000.80 F000.05 R359.92 F000.03 R359.98 R359.97 359.97
1917-00-07 263_25 069_01 282_00 236_46 275_19 003_13 095_19 295_08 101_16 070_25 267_21 1.02 11.95 F000.47 F001.25 F000.78 F000.05 R359.93 F000.05 R359.98 R359.98 359.95
1917-00-08 264_26 080_58 282_28 238_01 276_06 003_16 095_15 295_11 101_15 070_24 267_18 1.03 11.85 F000.35 F001.25 F000.77 F000.08 R359.92 F000.08 R359.97 R359.97 359.95
1917-00-09 265_28 092_49 282_49 239_16 276_52 003_21 095_10 295_16 101_13 070_22 267_15 1.03 11.83 F000.15 F001.25 F000.80 F000.07 R359.90 F000.05 R359.98 R000.00 359.93
1917-00-10 266_30 104_39 282_58 240_31 277_40 003_25 095_04 295_19 101_12 070_22 267_11 1.02 11.80 B359.95 F001.23 F000.77 F000.05 R359.93 F000.05 R359.97 R359.97 359.93
1917-00-11 267_31 116_27 282_55 241_45 278_26 003_28 095_00 295_22 101_10 070_20 267_07 1.00 11.82 R359.75 F001.25 F000.78 F000.07 R359.92 F000.05 R359.95 R359.98 359.95
1917-00-12 268_31 128_16 282_40 243_00 279_13 003_32 094_55 295_25 101_07 070_19 267_04 1.03 11.90 R359.58 F001.25 F000.80 F000.08 R359.90 F000.05 R000.00 R000.00 359.95
1917-00-13 269_33 140_10 282_15 244_15 280_01 003_37 094_49 295_28 101_07 070_19 267_01 1.02 12.02 R359.37 F001.25 F000.78 F000.10 R359.93 F000.05 R359.95 R359.97 359.95
1917-00-14 270_34 152_11 281_37 245_30 280_48 003_43 094_45 295_31 101_04 070_17 266_58 1.00 12.23 R359.20 F001.22 F000.77 F000.05 R359.92 F000.05 R359.97 R359.98 359.95
1917-00-15 271_34 164_25 280_49 246_43 281_34 003_46 094_40 295_34 101_02 070_16 266_55 1.03 12.48 R359.03 F001.25 F000.80 F000.10 R359.92 F000.05 R359.98 R359.98 359.95
1917-00-16 272_36 176_54 279_51 247_58 282_22 003_52 094_35 295_37 101_01 070_15 266_52 1.02 12.82 R358.87 F001.25 F000.80 F000.10 R359.93 F000.05 R359.98 R359.97 359.95
1917-00-17 273_37 189_43 278_43 249_13 283_10 003_58 094_31 295_40 101_00 070_13 266_49 1.02 13.20 R358.80 F001.25 F000.77 F000.07 R359.90 F000.08 R359.97 R000.00 359.95
1917-00-18 274_38 202_55 277_31 250_28 283_56 004_02 094_25 295_45 100_58 070_13 266_46 1.03 13.63 R358.75 F001.25 F000.78 F000.12 R359.92 F000.05 R359.98 R359.98 359.95
1917-00-19 275_40 216_33 276_16 251_43 284_43 004_09 094_20 295_48 100_57 070_12 266_43 1.00 14.10 R358.70 F001.25 F000.80 F000.10 R359.93 F000.05 R359.97 R359.97 359.95
1917-00-20 276_40 230_39 274_58 252_58 285_31 004_15 094_16 295_51 100_55 070_10 266_40 1.02 14.52 R358.70 F001.25 F000.80 F000.08 R359.90 F000.07 R359.95 R000.00 359.95
1917-00-21 277_41 245_10 273_40 254_13 286_19 004_20 094_10 295_55 100_52 070_10 266_37 1.03 14.88 R358.77 F001.25 F000.78 F000.12 R359.92 F000.05 R000.00 R359.98 359.95
1917-00-22 278_43 260_03 272_26 255_28 287_06 004_27 094_05 295_58 100_52 070_09 266_34 1.00 15.13 R358.88 F001.25 F000.77 F000.08 R359.93 F000.05 R359.95 R359.97 359.93
