2051-00-01 255_56 120_15 233_34 209_10 340_55 131_07 283_13 151_00 031_21 314_15 194_05 1.03 12.12 F001.08 F001.05 F000.63 E359.97 F000.13 E000.00 E359.97 F000.02 359.97
2051-00-02 256_58 132_22 234_39 210_13 341_33 131_05 283_21 151_00 031_19 314_16 194_03 1.00 11.95 F001.12 F001.05 F000.63 R359.98 F000.12 R359.97 R000.00 F000.00 359.95
2051-00-03 257_58 144_19 235_46 211_16 342_11 131_04 283_28 150_58 031_19 314_16 194_00 1.03 11.85 F001.17 F001.05 F000.63 R359.95 F000.10 R000.00 R359.98 F000.03 359.92
2051-00-04 259_00 156_10 236_56 212_19 342_49 131_01 283_34 150_58 031_18 314_18 193_55 1.02 11.83 F001.22 F001.08 F000.65 R359.95 F000.10 R000.00 R359.97 F000.02 359.95
2051-00-05 260_01 168_00 238_09 213_24 343_28 130_58 283_40 150_58 031_16 314_19 193_52 1.03 11.87 F001.22 F001.07 F000.65 R359.95 F000.13 R000.00 R000.00 F000.00 359.95
2051-00-06 261_03 179_52 239_22 214_28 344_07 130_55 283_48 150_58 031_16 314_19 193_49 1.02 12.00 F001.28 F001.08 F000.65 R359.95 F000.12 R000.00 R359.98 F000.03 359.95
2051-00-07 262_04 191_52 240_39 215_33 344_46 130_52 283_55 150_58 031_15 314_21 193_46 1.00 12.28 F001.27 F001.07 F000.65 R359.95 F000.10 R000.00 R359.97 F000.02 359.95
2051-00-08 263_04 204_09 241_55 216_37 345_25 130_49 284_01 150_58 031_13 314_22 193_43 1.00 12.57 F001.30 F001.07 F000.60 R359.93 F000.10 R359.95 R359.97 F000.00 359.95
2051-00-09 264_04 216_43 243_13 217_41 346_01 130_45 284_07 150_55 031_11 314_22 193_40 1.03 12.95 F001.35 F001.08 F000.65 R359.92 F000.10 R000.00 R359.98 F000.02 359.92
2051-00-10 265_06 229_40 244_34 218_46 346_40 130_40 284_13 150_55 031_10 314_23 193_35 1.02 13.35 F001.35 F001.10 F000.65 R359.95 F000.13 R000.00 R000.00 F000.03 359.97
2051-00-11 266_07 243_01 245_55 219_52 347_19 130_37 284_21 150_55 031_10 314_25 193_33 1.00 13.78 F001.38 F001.10 F000.65 R359.95 F000.12 R000.00 R000.00 F000.00 359.95
2051-00-12 267_07 256_48 247_18 220_58 347_58 130_34 284_28 150_55 031_10 314_25 193_30 1.05 14.12 F001.37 F001.10 F000.65 R359.93 F000.10 R359.98 R359.97 F000.02 359.93
2051-00-13 268_10 270_55 248_40 222_04 348_37 130_30 284_34 150_54 031_08 314_26 193_26 1.00 14.38 F001.42 F001.10 F000.65 R359.92 F000.12 R359.97 R359.98 F000.03 359.97
2051-00-14 269_10 285_18 250_05 223_10 349_16 130_25 284_41 150_52 031_07 314_28 193_24 1.02 14.52 F001.43 F001.13 F000.65 R359.92 F000.13 R000.00 R000.00 F000.03 359.93
2051-00-15 270_11 299_49 251_31 224_18 349_55 130_20 284_49 150_52 031_07 314_30 193_20 1.03 14.60 F001.42 F001.12 F000.65 R359.93 F000.10 R359.97 R000.00 F000.02 359.93
