2061-01-01 287_55 060_37 285_10 277_55 174_41 061_43 045_52 198_07 053_31 326_52 358_52 1.02 14.20 R358.80 F001.25 F000.23 R359.92 R359.98 F000.00 R359.98 F000.02 359.95
2061-01-02 288_56 074_49 283_58 279_10 174_55 061_38 045_51 198_07 053_30 326_53 358_49 1.03 14.10 R358.83 F001.25 F000.20 R359.97 R000.00 F000.00 R359.97 F000.03 359.93
2061-01-03 289_58 088_55 282_48 280_25 175_07 061_36 045_51 198_07 053_28 326_55 358_45 1.00 13.90 R358.92 F001.25 F000.22 R359.93 R359.97 F000.03 R000.00 F000.02 359.93
2061-01-04 290_58 102_49 281_43 281_40 175_20 061_32 045_49 198_09 053_28 326_56 358_41 1.03 13.65 R359.03 F001.27 F000.22 R359.97 R000.00 F000.00 R000.00 F000.03 359.95
2061-01-05 292_00 116_28 280_45 282_56 175_33 061_30 045_49 198_09 053_28 326_58 358_38 1.00 13.35 R359.13 F001.25 F000.17 R359.95 R000.00 F000.02 R359.98 F000.00 359.97
2061-01-06 293_00 129_49 279_53 284_11 175_43 061_27 045_49 198_10 053_27 326_58 358_36 1.02 13.02 R359.28 F001.25 F000.20 R359.97 R359.97 F000.00 R000.00 F000.05 359.95
2061-01-07 294_01 142_50 279_10 285_26 175_55 061_25 045_47 198_10 053_27 327_01 358_33 1.00 12.68 R359.45 F001.25 F000.15 R359.95 R000.00 F000.00 R359.97 F000.00 359.95
2061-01-08 295_01 155_31 278_37 286_41 176_04 061_22 045_47 198_10 053_25 327_01 358_30 1.03 12.35 R359.55 F001.25 F000.18 R359.95 R000.00 F000.00 R000.00 F000.03 359.92
2061-01-09 296_03 167_52 278_10 287_56 176_15 061_19 045_47 198_10 053_25 327_03 358_25 1.00 12.10 R359.70 F001.28 F000.15 R359.97 E000.00 F000.02 R000.00 F000.02 359.95
2061-01-10 297_03 179_58 277_52 289_13 176_24 061_17 045_47 198_11 053_25 327_04 358_22 1.02 11.93 R359.82 F001.25 F000.12 R359.98 F000.00 F000.00 R359.97 F000.03 359.95
2061-01-11 298_04 191_54 277_41 290_28 176_31 061_16 045_47 198_11 053_23 327_06 358_19 1.00 11.82 E359.98 F001.25 F000.15 R359.98 F000.00 F000.00 R000.00 F000.02 359.95
2061-01-12 299_04 203_43 277_40 291_43 176_40 061_15 045_47 198_11 053_23 327_07 358_16 1.00 11.83 F000.05 F001.25 F000.10 R359.97 F000.00 F000.00 R359.98 F000.02 359.95
2061-01-13 300_04 215_33 277_43 292_58 176_46 061_13 045_47 198_11 053_22 327_08 358_13 1.03 11.88 F000.20 F001.25 F000.13 R000.00 F000.03 F000.00 R000.00 F000.03 359.95
