1931-01-01 288_16 080_10 263_34 241_28 102_19 079_25 264_25 349_16 132_07 086_28 355_04 1.00 14.80 F001.15 F001.00 R359.63 R359.90 F000.10 F000.03 R359.97 R359.95 359.95
1931-01-02 289_16 094_58 264_43 242_28 101_57 079_19 264_31 349_18 132_05 086_25 355_01 1.03 15.05 F001.20 F001.00 R359.58 R359.90 F000.12 F000.02 R359.98 R000.00 359.95
1931-01-03 290_18 110_01 265_55 243_28 101_32 079_13 264_38 349_19 132_04 086_25 354_58 1.02 15.20 F001.22 F001.03 R359.63 R359.90 F000.12 F000.05 R359.98 R359.98 359.95
1931-01-04 291_19 125_13 267_08 244_30 101_10 079_07 264_45 349_22 132_03 086_24 354_55 1.00 15.15 F001.25 F001.02 R359.62 R359.90 F000.12 F000.05 R359.97 R359.97 359.93
1931-01-05 292_19 140_22 268_23 245_31 100_47 079_01 264_52 349_25 132_01 086_22 354_51 1.00 14.93 F001.28 F001.05 R359.63 R359.90 F000.10 F000.02 R359.98 R000.00 359.95
1931-01-06 293_19 155_18 269_40 246_34 100_25 078_55 264_58 349_26 132_00 086_22 354_48 1.03 14.62 F001.30 F001.02 R359.65 R359.92 F000.10 F000.03 R359.97 R359.97 359.95
1931-01-07 294_21 169_55 270_58 247_35 100_04 078_50 265_04 349_28 131_58 086_20 354_45 1.02 14.23 F001.30 F001.07 R359.65 R359.93 F000.10 F000.05 R359.97 R359.98 359.93
1931-01-08 295_22 184_09 272_16 248_39 099_43 078_46 265_10 349_31 131_56 086_19 354_41 1.00 13.82 F001.35 F001.03 R359.65 R359.90 F000.13 F000.05 R359.98 R000.00 359.95
1931-01-09 296_22 197_58 273_37 249_41 099_22 078_40 265_18 349_34 131_55 086_19 354_38 1.00 13.43 F001.38 F001.07 R359.67 R359.92 F000.08 F000.03 R359.98 R359.95 359.97
1931-01-10 297_22 211_24 275_00 250_45 099_02 078_35 265_23 349_36 131_54 086_16 354_36 1.02 13.10 F001.37 F001.07 R359.68 R359.93 F000.13 F000.02 R359.97 R000.00 359.92
1931-01-11 298_23 224_30 276_22 251_49 098_43 078_31 265_31 349_37 131_52 086_16 354_31 1.03 12.82 F001.40 F001.05 R359.70 R359.90 F000.10 F000.05 R359.97 R359.98 359.95
