2006-01-01 288_03 322_01 291_40 262_11 028_07 203_24 103_35 315_11 293_08 241_58 343_25 1.02 14.78 F001.77 R359.93 F000.45 F000.07 R359.93 F000.07 F000.05 F000.03 359.95
2006-01-02 289_04 336_48 293_26 262_07 028_34 203_28 103_31 315_15 293_11 242_00 343_22 1.00 14.38 F001.78 R359.95 F000.43 F000.10 R359.90 F000.05 F000.03 F000.02 359.95
2006-01-03 290_04 351_11 295_13 262_04 029_00 203_34 103_25 315_18 293_13 242_01 343_19 1.00 13.98 F001.78 E000.03 F000.43 F000.10 R359.92 F000.05 F000.05 F000.05 359.95
2006-01-04 291_04 005_10 297_00 262_06 029_26 203_40 103_20 315_21 293_16 242_04 343_16 1.03 13.60 F001.77 F000.02 F000.45 F000.08 R359.93 F000.07 F000.05 F000.00 359.92
2006-01-05 292_06 018_46 298_46 262_07 029_53 203_45 103_16 315_25 293_19 242_04 343_11 1.02 13.20 F001.80 F000.10 F000.48 F000.07 R359.93 F000.05 F000.03 F000.05 359.95
2006-01-06 293_07 031_58 300_34 262_13 030_22 203_49 103_12 315_28 293_21 242_07 343_08 1.00 12.90 F001.80 F000.13 F000.45 F000.08 R359.92 F000.05 F000.02 F000.00 359.97
2006-01-07 294_07 044_52 302_22 262_21 030_49 203_54 103_07 315_31 293_22 242_07 343_06 1.02 12.60 F001.80 F000.15 F000.45 F000.07 R359.90 F000.05 F000.05 F000.05 359.95
2006-01-08 295_08 057_28 304_10 262_30 031_16 203_58 103_01 315_34 293_25 242_10 343_03 1.00 12.40 F001.80 F000.18 F000.48 F000.08 R359.93 F000.05 F000.05 F000.00 359.95
2006-01-09 296_08 069_52 305_58 262_41 031_45 204_03 102_57 315_37 293_28 242_10 343_00 1.03 12.22 F001.78 F000.23 F000.47 F000.07 R359.92 F000.05 F000.03 F000.05 359.93
2006-01-10 297_10 082_05 307_45 262_55 032_13 204_07 102_52 315_40 293_30 242_13 342_56 1.00 12.08 F001.80 F000.27 F000.48 F000.07 R359.92 F000.05 F000.02 F000.00 359.93
2006-01-11 298_10 094_10 309_33 263_11 032_42 204_11 102_47 315_43 293_31 242_13 342_52 1.00 12.00 F001.77 F000.32 F000.47 F000.08 R359.93 F000.08 F000.05 F000.05 359.95
2006-01-12 299_10 106_10 311_19 263_30 033_10 204_16 102_43 315_48 293_34 242_16 342_49 1.02 11.87 F001.75 F000.32 F000.47 F000.05 R359.93 F000.05 F000.05 F000.00 359.95
2006-01-13 300_11 118_02 313_04 263_49 033_38 204_19 102_39 315_51 293_37 242_16 342_46 1.03 11.83 F001.75 F000.37 F000.48 F000.05 R359.92 F000.03 F000.02 F000.05 359.95
2006-01-14 301_13 129_52 314_49 264_11 034_07 204_22 102_34 315_53 293_38 242_19 342_43 1.00 11.82 F001.70 F000.38 F000.50 F000.05 R359.93 F000.08 F000.03 F000.00 359.95
2006-01-15 302_13 141_41 316_31 264_34 034_37 204_25 102_30 315_58 293_40 242_19 342_40 1.00 11.83 F001.70 F000.45 F000.48 F000.05 R359.92 F000.05 F000.05 F000.02 359.95
2006-01-16 303_13 153_31 318_13 265_01 035_06 204_28 102_25 316_01 293_43 242_20 342_37 1.00 11.85 F001.65 F000.45 F000.50 F000.05 R359.92 F000.05 F000.05 F000.03 359.95
2006-01-17 304_13 165_22 319_52 265_28 035_36 204_31 102_20 316_04 293_46 242_22 342_34 1.03 12.00 F001.57 F000.47 F000.50 F000.05 R359.93 F000.05 F000.03 F000.03 359.95
2006-01-18 305_15 177_22 321_26 265_56 036_06 204_34 102_16 316_07 293_48 242_24 342_31 1.00 12.15 F001.53 F000.50 F000.47 F000.05 R359.93 F000.05 F000.02 F000.02 359.95
2006-01-19 306_15 189_31 322_58 266_26 036_34 204_37 102_12 316_10 293_49 242_25 342_28 1.02 12.40 F001.45 F000.53 F000.50 F000.05 R359.92 F000.08 F000.05 F000.00 359.95
