1947-01-01 288_10 044_04 294_19 241_22 281_58 211_52 101_50 054_52 167_34 109_05 045_22 1.00 14.45 F001.78 F001.05 F000.78 F000.13 R359.93 R000.00 R000.00 R359.98 359.95
1947-01-02 289_10 058_31 296_06 242_25 282_45 212_00 101_46 054_52 167_34 109_04 045_19 1.02 14.75 F001.77 F001.05 F000.77 F000.12 R359.90 R359.95 R000.00 R359.97 359.95
1947-01-03 290_11 073_16 297_52 243_28 283_31 212_07 101_40 054_49 167_34 109_02 045_16 1.03 14.88 F001.77 F001.05 F000.80 F000.10 R359.95 R000.00 R359.98 R359.98 359.95
1947-01-04 291_13 088_09 299_38 244_31 284_19 212_13 101_37 054_49 167_33 109_01 045_13 1.00 14.92 F001.78 F001.05 F000.78 F000.10 R359.90 R359.97 R359.97 R359.98 359.95
1947-01-05 292_13 103_04 301_25 245_34 285_06 212_19 101_31 054_47 167_31 109_00 045_10 1.00 14.85 F001.80 F001.05 F000.77 F000.12 R359.93 R359.98 R000.00 R359.97 359.95
1947-01-06 293_13 117_55 303_13 246_37 285_52 212_26 101_27 054_46 167_31 108_58 045_07 1.03 14.58 F001.78 F001.07 F000.80 F000.12 R359.92 R000.00 R000.00 R359.98 359.95
1947-01-07 294_15 132_30 305_00 247_41 286_40 212_33 101_22 054_46 167_31 108_57 045_04 1.02 14.18 F001.77 F001.08 F000.77 F000.10 R359.92 R359.98 R359.98 R359.97 359.95
1947-01-08 295_16 146_41 306_46 248_46 287_26 212_39 101_17 054_45 167_30 108_55 045_01 1.00 13.78 F001.75 F001.05 F000.78 F000.10 R359.93 R359.97 R359.97 R000.00 359.95
1947-01-09 296_16 160_28 308_31 249_49 288_13 212_45 101_13 054_43 167_28 108_55 044_58 1.00 13.30 F001.75 F001.10 F000.80 F000.08 R359.90 R000.00 R000.00 R359.95 359.95
1947-01-10 297_16 173_46 310_16 250_55 289_01 212_50 101_07 054_43 167_28 108_52 044_55 1.03 12.85 F001.75 F001.08 F000.78 F000.10 R359.95 R000.00 R359.97 R000.00 359.95
1947-01-11 298_18 186_37 312_01 252_00 289_48 212_56 101_04 054_43 167_26 108_52 044_52 1.02 12.47 F001.70 F001.07 F000.77 F000.08 R359.90 R359.98 R359.98 R359.95 359.92
1947-01-12 299_19 199_05 313_43 253_04 290_34 213_01 100_58 054_42 167_25 108_49 044_47 1.00 12.17 F001.65 F001.10 F000.80 F000.10 R359.95 R000.00 R000.00 R000.00 359.97
1947-01-13 300_19 211_15 315_22 254_10 291_22 213_07 100_55 054_42 167_25 108_49 044_45 1.00 11.93 F001.65 F001.10 F000.80 F000.10 R359.90 R359.97 R359.98 R359.97 359.95
1947-01-14 301_19 223_11 317_01 255_16 292_10 213_13 100_49 054_40 167_24 108_47 044_42 1.03 11.82 F001.58 F001.10 F000.77 F000.08 R359.95 R000.00 R359.97 R359.98 359.93
1947-01-15 302_21 235_00 318_36 256_22 292_56 213_18 100_46 054_40 167_22 108_46 044_38 1.00 11.77 F001.52 F001.10 F000.78 F000.07 R359.90 R000.00 R000.00 R359.98 359.97
1947-01-16 303_21 246_46 320_07 257_28 293_43 213_22 100_40 054_40 167_22 108_45 044_36 1.02 11.83 F001.45 F001.10 F000.80 F000.07 R359.95 R359.97 R359.97 R359.97 359.92
1947-01-17 304_22 258_36 321_34 258_34 294_31 213_26 100_37 054_38 167_20 108_43 044_31 1.00 11.92 F001.37 F001.10 F000.78 F000.08 R359.92 R000.00 R359.98 R359.98 359.95
1947-01-18 305_22 270_31 322_56 259_40 295_18 213_31 100_32 054_38 167_19 108_42 044_28 1.00 12.10 F001.28 F001.13 F000.80 F000.07 R359.93 R000.00 R000.00 R359.97 359.95
1947-01-19 306_22 282_37 324_13 260_48 296_06 213_35 100_28 054_38 167_19 108_40 044_25 1.02 12.30 F001.20 F001.12 F000.77 F000.08 R359.93 R359.98 R359.98 R359.98 359.95
1947-01-20 307_23 294_55 325_25 261_55 296_52 213_40 100_24 054_37 167_18 108_39 044_22 1.00 12.50 F001.05 F001.10 F000.80 F000.05 R359.92 R000.00 R359.97 R359.97 359.95
1947-01-21 308_23 307_25 326_28 263_01 297_40 213_43 100_19 054_37 167_16 108_37 044_19 1.03 12.72 F000.95 F001.12 F000.77 F000.08 R359.95 R000.00 R359.98 R000.00 359.95
1947-01-22 309_25 320_08 327_25 264_08 298_26 213_48 100_16 054_37 167_15 108_37 044_16 1.00 12.97 F000.80 F001.13 F000.82 F000.07 R359.93 R000.00 R359.97 R359.97 359.95
1947-01-23 310_25 333_06 328_13 265_16 299_15 213_52 100_12 054_37 167_13 108_35 044_13 1.00 13.12 F000.70 F001.12 F000.77 F000.05 R359.95 R000.00 R000.00 R359.98 359.95
1947-01-24 311_25 346_13 328_55 266_23 300_01 213_55 100_09 054_37 167_13 108_34 044_10 1.00 13.30 F000.50 F001.13 F000.80 F000.05 R359.92 R000.00 R359.97 R359.97 359.95
1947-01-25 312_25 359_31 329_25 267_31 300_49 213_58 100_04 054_37 167_11 108_32 044_07 1.00 13.48 F000.35 F001.15 F000.78 F000.05 R359.95 E000.00 R359.98 R359.98 359.95
