2025-01-01 288_10 320_45 282_10 333_15 086_16 047_06 323_13 029_04 333_46 277_51 335_38 1.00 14.35 F001.68 F000.77 R359.70 R359.97 F000.10 F000.00 F000.03 F000.02 359.97
2025-01-02 289_10 335_06 283_51 334_01 085_58 047_04 323_19 029_04 333_48 277_52 335_36 1.02 14.32 F001.67 F000.78 R359.73 R000.00 F000.12 F000.00 F000.02 F000.05 359.95
2025-01-03 290_11 349_25 285_31 334_48 085_42 047_04 323_26 029_04 333_49 277_55 335_33 1.03 14.25 F001.70 F000.75 R359.72 R000.00 F000.12 F000.00 F000.05 F000.02 359.95
2025-01-04 291_13 003_40 287_13 335_33 085_25 047_04 323_33 029_04 333_52 277_56 335_30 1.00 14.18 F001.70 F000.72 R359.75 E000.00 F000.12 F000.00 F000.00 F000.03 359.93
2025-01-05 292_13 017_51 288_55 336_16 085_10 047_04 323_40 029_04 333_52 277_58 335_26 1.03 14.02 F001.75 F000.73 R359.75 F000.00 F000.10 F000.00 F000.05 F000.05 359.93
2025-01-06 293_15 031_52 290_40 337_00 084_55 047_04 323_46 029_04 333_55 278_01 335_22 1.00 13.90 F001.72 F000.68 R359.78 F000.00 F000.10 F000.00 F000.02 F000.00 359.95
2025-01-07 294_15 045_46 292_23 337_41 084_42 047_04 323_52 029_04 333_56 278_01 335_19 1.02 13.75 F001.73 F000.68 R359.77 F000.03 F000.13 F000.00 F000.03 F000.05 359.95
2025-01-08 295_16 059_31 294_07 338_22 084_28 047_06 324_00 029_04 333_58 278_04 335_16 1.00 13.55 F001.77 F000.68 R359.80 F000.02 F000.12 F000.03 F000.05 F000.03 359.95
2025-01-09 296_16 073_04 295_53 339_03 084_16 047_07 324_07 029_06 334_01 278_06 335_13 1.03 13.38 F001.78 F000.62 R359.82 F000.00 F000.10 F000.00 F000.03 F000.02 359.95
2025-01-10 297_18 086_27 297_40 339_40 084_05 047_07 324_13 029_06 334_03 278_07 335_10 1.00 13.13 F001.77 F000.63 R359.83 F000.02 F000.13 F000.02 F000.02 F000.05 359.95
2025-01-11 298_18 099_35 299_26 340_18 083_55 047_08 324_21 029_07 334_04 278_10 335_07 1.02 12.93 F001.82 F000.58 R359.83 F000.03 F000.12 F000.00 F000.05 F000.02 359.95
2025-01-12 299_19 112_31 301_15 340_53 083_45 047_10 324_28 029_07 334_07 278_11 335_04 1.00 12.68 F001.80 F000.58 R359.83 F000.03 F000.10 F000.00 F000.00 F000.03 359.95
2025-01-13 300_19 125_12 303_03 341_28 083_35 047_12 324_34 029_07 334_07 278_13 335_01 1.00 12.45 F001.82 F000.55 R359.88 F000.02 F000.10 F000.02 F000.05 F000.03 359.95
2025-01-14 301_19 137_39 304_52 342_01 083_28 047_13 324_40 029_08 334_10 278_15 334_58 1.03 12.22 F001.82 F000.50 R359.87 F000.05 F000.13 F000.03 F000.02 F000.02 359.95
2025-01-15 302_21 149_52 306_41 342_31 083_20 047_16 324_48 029_10 334_11 278_16 334_55 1.00 12.05 F001.87 F000.50 R359.88 F000.02 F000.12 F000.00 F000.03 F000.05 359.95
2025-01-16 303_21 161_55 308_33 343_01 083_13 047_17 324_55 029_10 334_13 278_19 334_52 1.02 11.90 F001.83 F000.48 R359.90 F000.07 F000.13 F000.02 F000.05 F000.03 359.93
2025-01-17 304_22 173_49 310_23 343_30 083_07 047_21 325_03 029_11 334_16 278_21 334_48 1.00 11.80 F001.87 F000.42 R359.92 F000.02 F000.12 F000.00 F000.05 F000.02 359.95
2025-01-18 305_22 185_37 312_15 343_55 083_02 047_22 325_10 029_11 334_19 278_22 334_45 1.00 11.82 F001.85 F000.43 R359.93 F000.05 F000.10 F000.03 F000.03 F000.02 359.93
2025-01-19 306_22 197_26 314_06 344_21 082_58 047_25 325_16 029_13 334_21 278_23 334_41 1.00 11.88 F001.87 F000.37 R359.95 F000.05 F000.12 F000.00 F000.02 F000.03 359.95
2025-01-20 307_22 209_19 315_58 344_43 082_55 047_28 325_23 029_13 334_22 278_25 334_38 1.02 12.05 F001.85 F000.35 R359.95 F000.05 F000.13 F000.05 F000.05 F000.05 359.97
2025-01-21 308_23 221_22 317_49 345_04 082_52 047_31 325_31 029_16 334_25 278_28 334_36 1.00 12.28 F001.85 F000.32 R359.97 F000.08 F000.10 F000.00 F000.02 F000.00 359.95
2025-01-22 309_23 233_39 319_40 345_23 082_50 047_36 325_37 029_16 334_26 278_28 334_33 1.03 12.60 F001.85 F000.28 R359.98 F000.03 F000.15 F000.03 F000.03 F000.05 359.92
2025-01-23 310_25 246_15 321_31 345_40 082_49 047_38 325_46 029_18 334_28 278_31 334_28 1.00 12.93 F001.83 F000.25 R000.00 F000.08 F000.10 F000.02 F000.05 F000.03 359.95
2025-01-24 311_25 259_11 323_21 345_55 082_49 047_43 325_52 029_19 334_31 278_33 334_25 1.00 13.38 F001.82 F000.20 E000.00 F000.05 F000.13 F000.00 F000.03 F000.02 359.95
2025-01-25 312_25 272_34 325_10 346_07 082_49 047_46 326_00 029_19 334_33 278_34 334_22 1.00 13.78 F001.77 F000.20 F000.00 F000.08 F000.12 F000.05 F000.02 F000.03 359.95
2025-01-26 313_25 286_21 326_56 346_19 082_49 047_51 326_07 029_22 334_34 278_36 334_19 1.00 14.17 F001.75 F000.12 F000.05 F000.07 F000.13 F000.00 F000.05 F000.02 359.95
2025-01-27 314_25 300_31 328_41 346_26 082_52 047_55 326_15 029_22 334_37 278_37 334_16 1.02 14.48 F001.73 F000.12 F000.05 F000.08 F000.12 F000.05 F000.05 F000.02 359.95
2025-01-28 315_26 315_00 330_25 346_33 082_55 048_00 326_22 029_25 334_40 278_38 334_13 1.00 14.72 F001.65 F000.07 F000.05 F000.07 F000.10 F000.00 F000.02 F000.03 359.95
2025-02-01 316_26 329_43 332_04 346_37 082_58 048_04 326_28 029_25 334_41 278_40 334_10 1.00 14.80 F001.62 F000.00 F000.05 F000.07 F000.15 F000.05 F000.03 F000.05 359.95
2025-02-02 317_26 344_31 333_41 346_37 083_01 048_08 326_37 029_28 334_43 278_43 334_07 1.00 14.75 F001.53 B000.00 F000.07 F000.08 F000.10 F000.00 F000.05 F000.00 359.95
2025-02-03 318_26 359_16 335_13 346_37 083_05 048_13 326_43 029_28 334_46 278_43 334_04 1.00 14.65 F001.47 R359.93 F000.12 F000.10 F000.13 F000.05 F000.03 F000.05 359.95
2025-02-04 319_26 013_55 336_41 346_33 083_12 048_19 326_51 029_31 334_48 278_46 334_01 1.03 14.45 F001.38 R359.88 F000.07 F000.10 F000.12 F000.00 F000.05 F000.00 359.95
2025-02-05 320_28 028_22 338_04 346_26 083_16 048_25 326_58 029_31 334_51 278_46 333_58 1.00 14.17 F001.30 R359.87 F000.13 F000.08 F000.13 F000.05 F000.02 F000.05 359.92
2025-02-06 321_28 042_32 339_22 346_18 083_24 048_30 327_06 029_34 334_52 278_49 333_53 1.00 13.88 F001.18 R359.82 F000.12 F000.10 F000.12 F000.03 F000.05 F000.00 359.97
2025-02-07 322_28 056_25 340_33 346_07 083_31 048_36 327_13 029_36 334_55 278_49 333_51 1.00 13.60 F001.07 R359.77 F000.13 F000.10 F000.13 F000.02 F000.02 F000.05 359.95
2025-02-08 323_28 070_01 341_37 345_53 083_39 048_42 327_21 029_37 334_56 278_52 333_48 1.00 13.30 F000.95 R359.73 F000.13 F000.08 F000.12 F000.05 F000.07 F000.00 359.95
2025-02-09 324_28 083_19 342_34 345_37 083_47 048_47 327_28 029_40 335_00 278_52 333_45 1.00 13.00 F000.80 R359.70 F000.17 F000.10 F000.13 F000.02 F000.02 F000.05 359.93
2025-02-10 325_28 096_19 343_22 345_19 083_57 048_53 327_36 029_41 335_01 278_55 333_41 1.00 12.80 F000.70 R359.65 F000.13 F000.12 F000.12 F000.03 F000.05 F000.00 359.95
2025-02-11 326_28 109_07 344_04 344_58 084_05 049_00 327_43 029_43 335_04 278_55 333_38 1.00 12.55 F000.55 R359.60 F000.18 F000.12 F000.13 F000.03 F000.03 F000.05 359.93
2025-02-12 327_28 121_40 344_37 344_34 084_16 049_07 327_51 029_45 335_06 278_58 333_34 0.97 12.38 F000.40 R359.57 F000.18 F000.10 F000.12 F000.02 F000.03 F000.00 359.95
2025-02-13 328_26 134_03 345_01 344_08 084_27 049_13 327_58 029_46 335_08 278_58 333_31 1.00 12.20 F000.25 R359.53 F000.20 F000.10 F000.10 F000.05 F000.03 F000.03 359.95
2025-02-14 329_26 146_15 345_16 343_40 084_39 049_19 328_04 029_49 335_10 279_00 333_28 1.00 12.05 F000.10 R359.52 F000.17 F000.13 F000.15 F000.05 F000.05 F000.02 359.95
2025-02-15 330_26 158_18 345_22 343_11 084_49 049_27 328_13 029_52 335_13 279_01 333_25 1.00 11.92 B359.98 R359.48 F000.22 F000.12 F000.10 F000.02 F000.03 F000.03 359.95
2025-02-16 331_26 170_13 345_21 342_40 085_02 049_34 328_19 029_53 335_15 279_03 333_22 1.00 11.87 R359.82 R359.45 F000.23 F000.13 F000.15 F000.03 F000.05 F000.02 359.95
2025-02-17 332_26 182_05 345_10 342_07 085_16 049_42 328_28 029_55 335_18 279_04 333_19 0.98 11.83 R359.70 R359.43 F000.20 F000.12 F000.10 F000.05 F000.02 F000.03 359.95
2025-02-18 333_25 193_55 344_52 341_33 085_28 049_49 328_34 029_58 335_19 279_06 333_16 1.00 11.80 R359.57 R359.42 F000.25 F000.10 F000.12 F000.03 F000.05 F000.02 359.95
2025-02-19 334_25 205_43 344_26 340_58 085_43 049_55 328_41 030_00 335_22 279_07 333_13 1.00 11.90 R359.48 R359.38 F000.23 F000.15 F000.13 F000.05 F000.02 F000.00 359.95
2025-02-20 335_25 217_37 343_55 340_21 085_57 050_04 328_49 030_03 335_23 279_07 333_10 1.00 12.05 R359.35 R359.37 F000.25 F000.13 F000.12 F000.02 F000.05 F000.02 359.95
2025-02-21 336_25 229_40 343_16 339_43 086_12 050_12 328_56 030_04 335_26 279_08 333_07 1.00 12.25 R359.30 R359.40 F000.27 F000.12 F000.13 F000.05 F000.03 F000.03 359.95
2025-02-22 337_25 241_55 342_34 339_07 086_28 050_19 329_04 030_07 335_28 279_10 333_04 0.97 12.52 R359.20 R359.35 F000.25 F000.15 F000.12 F000.05 F000.05 F000.02 359.93
2025-02-23 338_23 254_26 341_46 338_28 086_43 050_28 329_11 030_10 335_31 279_11 333_00 1.00 12.88 R359.15 R359.38 F000.28 F000.13 F000.13 F000.02 F000.05 F000.03 359.93
2025-02-24 339_23 267_19 340_55 337_51 087_00 050_36 329_19 030_11 335_34 279_13 332_56 0.98 13.25 R359.15 R359.37 F000.27 F000.15 F000.12 F000.07 F000.03 F000.00 359.95
2025-02-25 340_22 280_34 340_04 337_13 087_16 050_45 329_26 030_15 335_36 279_13 332_53 1.00 13.73 R359.10 R359.40 F000.27 F000.12 F000.13 F000.02 F000.02 F000.03 359.97
2025-02-26 341_22 294_18 339_10 336_37 087_32 050_52 329_34 030_16 335_37 279_15 332_51 1.00 14.17 R359.13 R359.40 F000.30 F000.15 F000.10 F000.05 F000.05 F000.02 359.95
2025-02-27 342_22 308_28 338_18 336_01 087_50 051_01 329_40 030_19 335_40 279_16 332_48 1.00 14.55 R359.13 R359.40 F000.32 F000.15 F000.13 F000.05 F000.05 F000.00 359.95
2025-02-28 343_22 323_01 337_26 335_25 088_09 051_10 329_48 030_22 335_43 279_16 332_45 0.98 14.90 R359.18 R359.45 F000.30 F000.15 F000.12 F000.05 F000.03 F000.03 359.92
2025-02-29 344_21 337_55 336_37 334_52 088_27 051_19 329_55 030_25 335_45 279_18 332_40 0.97 15.08 R359.25 R359.45 F000.32 F000.15 F000.13 F000.05 F000.02 F000.02 359.95
2025-02-30 345_19 353_00 335_52 334_19 088_46 051_28 330_03 030_28 335_46 279_19 332_37 1.00 15.15 R359.30 R359.50 F000.30 F000.15 F000.12 F000.05 F000.05 F000.00 359.95
2025-02-31 346_19 008_09 335_10 333_49 089_04 051_37 330_10 030_31 335_49 279_19 332_34 1.00 15.02 R359.38 R359.50 F000.33 F000.15 F000.10 F000.03 F000.05 F000.03 359.95
2025-03-01 347_19 023_10 334_33 333_19 089_24 051_46 330_16 030_33 335_52 279_21 332_31 0.98 14.80 R359.45 R359.55 F000.32 F000.15 F000.15 F000.05 F000.02 F000.02 359.95
2025-03-02 348_18 037_58 334_00 332_52 089_43 051_55 330_25 030_36 335_53 279_22 332_28 0.97 14.45 R359.55 R359.60 F000.35 F000.15 F000.10 F000.03 F000.03 F000.00 359.95
2025-03-03 349_16 052_25 333_33 332_28 090_04 052_04 330_31 030_38 335_55 279_22 332_25 1.00 14.05 R359.62 R359.60 F000.33 F000.18 F000.12 F000.05 F000.05 F000.02 359.95
2025-03-04 350_16 066_28 333_10 332_04 090_24 052_15 330_38 030_41 335_58 279_23 332_22 0.98 13.60 R359.72 R359.65 F000.35 F000.17 F000.13 F000.07 F000.05 F000.03 359.95
2025-03-05 351_15 080_04 332_53 331_43 090_45 052_25 330_46 030_45 336_01 279_25 332_19 1.00 13.25 R359.83 R359.70 F000.33 F000.15 F000.10 F000.02 F000.03 F000.00 359.95
2025-03-06 352_15 093_19 332_43 331_25 091_05 052_34 330_52 030_46 336_03 279_25 332_16 0.97 12.85 R359.90 R359.75 F000.38 F000.15 F000.13 F000.05 F000.02 F000.00 359.95
2025-03-07 353_13 106_10 332_37 331_10 091_28 052_43 331_00 030_49 336_04 279_25 332_13 1.00 12.58 E000.00 R359.75 F000.35 F000.17 F000.12 F000.05 F000.05 F000.02 359.95
2025-03-08 354_13 118_45 332_37 330_55 091_49 052_53 331_07 030_52 336_07 279_26 332_10 0.97 12.32 F000.10 R359.83 F000.38 F000.18 F000.10 F000.05 F000.02 F000.03 359.93
2025-03-09 355_11 131_04 332_43 330_45 092_12 053_04 331_13 030_55 336_08 279_28 332_06 0.98 12.12 F000.20 R359.87 F000.37 F000.18 F000.13 F000.05 F000.05 F000.00 359.95
2025-03-10 356_10 143_11 332_55 330_37 092_34 053_15 331_21 030_58 336_11 279_28 332_03 0.97 12.00 F000.25 R359.88 F000.38 F000.17 F000.12 F000.05 F000.03 F000.00 359.95
2025-03-11 357_08 155_11 333_10 330_30 092_57 053_25 331_28 031_01 336_13 279_28 332_00 0.98 11.90 F000.35 R359.93 F000.37 F000.18 F000.10 F000.05 F000.05 F000.03 359.93
2025-03-12 358_07 167_05 333_31 330_26 093_19 053_36 331_34 031_04 336_16 279_30 331_56 1.00 11.83 F000.40 R359.98 F000.40 F000.17 F000.12 F000.05 F000.03 F000.00 359.95
2025-03-13 359_07 178_55 333_55 330_25 093_43 053_46 331_41 031_07 336_18 279_30 331_53 0.98 11.85 F000.50 E000.02 F000.40 F000.18 F000.13 F000.05 F000.02 F000.02 359.93
2025-03-14 000_06 190_46 334_25 330_26 094_07 053_57 331_49 031_10 336_19 279_31 331_49 0.97 11.82 F000.55 F000.07 F000.40 F000.17 F000.10 F000.08 F000.05 F000.00 359.95
2025-03-15 001_04 202_35 334_58 330_30 094_31 054_07 331_55 031_15 336_22 279_31 331_46 0.97 11.88 F000.65 F000.10 F000.40 F000.17 F000.10 F000.05 F000.02 F000.00 359.95
2025-03-16 002_02 214_28 335_37 330_36 094_55 054_17 332_01 031_18 336_23 279_31 331_43 0.98 11.97 F000.70 F000.12 F000.40 F000.18 F000.12 F000.05 F000.03 F000.03 359.95
2025-03-17 003_01 226_26 336_19 330_43 095_19 054_28 332_08 031_21 336_25 279_33 331_40 1.00 12.12 F000.75 F000.17 F000.40 F000.20 F000.13 F000.03 F000.05 F000.00 359.95
