2083-01-01 287_18 085_50 267_37 244_56 005_22 003_01 313_26 288_49 103_24 350_31 293_04 1.00 13.07 F001.45 F001.18 F000.65 F000.12 F000.12 F000.05 R359.97 F000.00 359.95
2083-01-02 288_18 098_54 269_04 246_07 006_01 003_08 313_33 288_52 103_22 350_31 293_01 1.02 13.32 F001.45 F001.20 F000.63 F000.13 F000.12 F000.07 R359.95 F000.03 359.95
2083-01-03 289_19 112_13 270_31 247_19 006_39 003_16 313_40 288_56 103_19 350_33 292_58 1.00 13.60 F001.48 F001.18 F000.62 F000.15 F000.10 F000.07 R000.00 F000.02 359.95
2083-01-04 290_19 125_49 272_00 248_30 007_16 003_25 313_46 289_00 103_19 350_34 292_55 1.03 13.85 F001.47 F001.17 F000.63 F000.15 F000.12 F000.07 R359.95 F000.00 359.95
2083-01-05 291_21 139_40 273_28 249_40 007_54 003_34 313_53 289_04 103_16 350_34 292_52 1.02 14.00 F001.50 F001.20 F000.62 F000.15 F000.13 F000.05 R359.98 F000.03 359.95
2083-01-06 292_22 153_40 274_58 250_52 008_31 003_43 314_01 289_07 103_15 350_36 292_49 1.00 14.13 F001.53 F001.18 F000.65 F000.13 F000.10 F000.05 R359.97 F000.00 359.95
2083-01-07 293_22 167_48 276_30 252_03 009_10 003_51 314_07 289_10 103_13 350_36 292_46 1.00 14.20 F001.52 F001.17 F000.63 F000.15 F000.13 F000.05 R359.98 F000.02 359.95
2083-01-08 294_22 182_00 278_01 253_13 009_48 004_00 314_15 289_13 103_12 350_37 292_43 1.02 14.22 F001.55 F001.20 F000.62 F000.15 F000.12 F000.08 R359.97 F000.00 359.95
2083-01-09 295_23 196_13 279_34 254_25 010_25 004_09 314_22 289_18 103_10 350_37 292_40 1.03 14.20 F001.55 F001.20 F000.65 F000.17 F000.10 F000.05 R359.98 F000.02 359.95
2083-01-10 296_25 210_25 281_07 255_37 011_04 004_19 314_28 289_21 103_09 350_38 292_37 1.00 14.15 F001.55 F001.18 F000.62 F000.15 F000.13 F000.07 R359.97 F000.03 359.93
2083-01-11 297_25 224_34 282_40 256_48 011_41 004_28 314_36 289_25 103_07 350_40 292_33 1.00 14.05 F001.60 F001.20 F000.63 F000.15 F000.12 F000.05 R359.95 F000.00 359.95
2083-01-12 298_25 238_37 284_16 258_00 012_19 004_37 314_43 289_28 103_04 350_40 292_30 1.02 13.90 F001.58 F001.17 F000.65 F000.15 F000.13 F000.05 R000.00 F000.02 359.93
2083-01-13 299_26 252_31 285_51 259_10 012_58 004_46 314_51 289_31 103_04 350_41 292_26 1.03 13.78 F001.62 F001.20 F000.62 F000.18 F000.12 F000.05 R359.95 F000.03 359.95
2083-01-14 300_28 266_18 287_28 260_22 013_35 004_57 314_58 289_34 103_01 350_43 292_23 1.00 13.57 F001.60 F001.20 F000.63 F000.17 F000.10 F000.07 R000.00 F000.00 359.97
2083-01-15 301_28 279_52 289_04 261_34 014_13 005_07 315_04 289_38 103_01 350_43 292_21 1.00 13.35 F001.65 F001.20 F000.65 F000.15 F000.12 F000.05 R359.95 F000.03 359.92
2083-01-16 302_28 293_13 290_43 262_46 014_52 005_16 315_11 289_41 102_58 350_45 292_16 1.03 13.13 F001.65 F001.20 F000.63 F000.18 F000.13 F000.08 R359.98 F000.02 359.95
2083-01-17 303_30 306_21 292_22 263_58 015_30 005_27 315_19 289_46 102_57 350_46 292_13 1.00 12.87 F001.65 F001.20 F000.62 F000.17 F000.12 F000.05 R359.97 F000.00 359.95
2083-01-18 304_30 319_13 294_01 265_10 016_07 005_37 315_26 289_49 102_55 350_46 292_10 1.02 12.60 F001.70 F001.20 F000.65 F000.15 F000.13 F000.05 R359.98 F000.03 359.95
2083-01-19 305_31 331_49 295_43 266_22 016_46 005_46 315_34 289_52 102_54 350_48 292_07 1.00 12.40 F001.70 F001.20 F000.62 F000.20 F000.10 F000.05 R359.97 F000.02 359.95
2083-01-20 306_31 344_13 297_25 267_34 017_23 005_58 315_40 289_55 102_52 350_49 292_04 1.00 12.17 F001.70 F001.20 F000.63 F000.15 F000.15 F000.05 R359.97 F000.00 359.95
2083-01-21 307_31 356_23 299_07 268_46 018_01 006_07 315_49 289_58 102_50 350_49 292_01 1.03 12.03 F001.73 F001.20 F000.65 F000.20 F000.10 F000.08 R359.98 F000.03 359.95
2083-01-22 308_33 008_25 300_51 269_58 018_40 006_19 315_55 290_03 102_49 350_51 291_58 1.00 11.90 F001.72 F001.20 F000.65 F000.15 F000.13 F000.05 R359.97 F000.02 359.95
