1978-01-01 288_13 198_16 270_52 290_33 094_13 063_07 124_46 202_41 234_09 173_05 165_22 1.00 13.90 F001.50 F001.27 R359.65 R359.95 R359.95 F000.03 F000.02 R359.98 359.95
1978-01-02 289_13 212_10 272_22 291_49 093_52 063_04 124_43 202_43 234_10 173_04 165_19 1.03 14.25 F001.52 F001.25 R359.65 R359.95 R359.90 F000.00 F000.02 R000.00 359.93
1978-01-03 290_15 226_25 273_53 293_04 093_31 063_01 124_37 202_43 234_11 173_04 165_15 1.02 14.60 F001.53 F001.25 R359.68 R359.93 R359.92 F000.03 F000.03 R000.00 359.93
1978-01-04 291_16 241_01 275_25 294_19 093_12 062_57 124_32 202_45 234_13 173_04 165_11 1.00 14.80 F001.55 F001.25 R359.67 R359.93 R359.93 F000.00 F000.03 R000.00 359.97
1978-01-05 292_16 255_49 276_58 295_34 092_52 062_53 124_28 202_45 234_15 173_04 165_09 1.00 14.95 F001.55 F001.25 R359.70 R359.97 R359.93 F000.02 F000.02 R359.98 359.93
1978-01-06 293_16 270_46 278_31 296_49 092_34 062_51 124_24 202_46 234_16 173_03 165_05 1.03 14.95 F001.55 F001.25 R359.70 R359.97 R359.92 F000.00 F000.03 R359.97 359.97
1978-01-07 294_18 285_43 280_04 298_04 092_16 062_49 124_19 202_46 234_18 173_01 165_03 1.02 14.78 F001.60 F001.25 R359.70 R359.95 R359.90 F000.03 F000.02 R000.00 359.95
1978-01-08 295_19 300_30 281_40 299_19 091_58 062_46 124_13 202_48 234_19 173_01 165_00 1.00 14.47 F001.60 F001.28 R359.70 R359.95 R359.95 F000.00 F000.00 R000.00 359.92
1978-01-09 296_19 314_58 283_16 300_36 091_40 062_43 124_10 202_48 234_19 173_01 164_55 1.03 14.05 F001.60 F001.25 R359.75 R359.98 R359.90 F000.02 F000.02 R359.98 359.95
1978-01-10 297_21 329_01 284_52 301_51 091_25 062_42 124_04 202_49 234_20 173_00 164_52 1.00 13.65 F001.60 F001.25 R359.73 R359.97 R359.93 F000.00 F000.03 R000.00 359.95
1978-01-11 298_21 342_40 286_28 303_06 091_09 062_40 124_00 202_49 234_22 173_00 164_49 1.02 13.18 F001.65 F001.25 R359.77 R359.95 R359.92 F000.00 F000.03 R359.97 359.95
1978-01-12 299_22 355_51 288_07 304_21 090_55 062_37 123_55 202_49 234_24 172_58 164_46 1.00 12.77 F001.65 F001.25 R359.75 R359.98 R359.90 F000.00 F000.02 R000.00 359.95
1978-01-13 300_22 008_37 289_46 305_36 090_40 062_36 123_49 202_49 234_25 172_58 164_43 1.00 12.45 F001.65 F001.27 R359.80 R359.97 R359.95 F000.02 F000.00 R359.97 359.95
1978-01-14 301_22 021_04 291_25 306_52 090_28 062_34 123_46 202_50 234_25 172_56 164_40 1.02 12.15 F001.68 F001.25 R359.78 R000.00 R359.90 F000.00 F000.02 R359.98 359.95
1978-01-15 302_23 033_13 293_06 308_07 090_15 062_34 123_40 202_50 234_26 172_55 164_37 1.00 12.00 F001.67 F001.25 R359.78 R359.97 R359.92 F000.00 F000.03 R000.00 359.95
1978-01-16 303_23 045_13 294_46 309_22 090_02 062_32 123_35 202_50 234_28 172_55 164_34 1.03 11.88 F001.73 F001.25 R359.83 R359.98 R359.93 F000.00 F000.03 R359.98 359.95
1978-01-17 304_25 057_06 296_30 310_37 089_52 062_31 123_31 202_50 234_30 172_54 164_31 1.00 11.85 F001.72 F001.25 R359.85 R000.00 R359.90 F000.00 F000.02 R359.97 359.95
1978-01-18 305_25 068_57 298_13 311_52 089_43 062_31 123_25 202_50 234_31 172_52 164_28 1.00 11.88 F001.72 F001.25 R359.82 R000.00 R359.92 F000.00 F000.00 R000.00 359.95
1978-01-19 306_25 080_50 299_56 313_07 089_32 062_31 123_20 202_50 234_31 172_52 164_25 1.02 11.98 F001.75 F001.25 R359.88 R000.00 R359.93 B000.00 F000.03 R359.97 359.92
1978-01-20 307_26 092_49 301_41 314_22 089_25 062_31 123_16 202_50 234_33 172_50 164_20 1.00 12.15 F001.78 F001.25 R359.85 E000.00 R359.93 R000.00 F000.00 R359.98 359.97
1978-01-21 308_26 104_58 303_28 315_37 089_16 062_31 123_12 202_50 234_33 172_49 164_18 1.00 12.30 F001.75 F001.25 R359.90 F000.00 R359.92 R000.00 F000.02 R000.00 359.95
1978-01-22 309_26 117_16 305_13 316_52 089_10 062_31 123_07 202_50 234_34 172_49 164_15 1.03 12.50 F001.80 F001.25 R359.90 F000.00 R359.90 R000.00 F000.00 R359.98 359.93
1978-01-23 310_28 129_46 307_01 318_07 089_04 062_31 123_01 202_50 234_34 172_48 164_11 1.00 12.67 F001.83 F001.25 R359.90 F000.02 R359.93 R000.00 F000.02 R359.97 359.97
1978-01-24 311_28 142_26 308_51 319_22 088_58 062_32 122_57 202_50 234_35 172_46 164_09 1.00 12.88 F001.82 F001.25 R359.95 F000.03 R359.92 R000.00 F000.03 R000.00 359.93
1978-01-25 312_28 155_19 310_40 320_37 088_55 062_34 122_52 202_50 234_37 172_46 164_05 1.00 13.10 F001.85 F001.25 R359.92 F000.00 R359.92 R359.98 F000.00 R359.98 359.93
1978-01-26 313_28 168_25 312_31 321_52 088_50 062_34 122_47 202_49 234_37 172_45 164_01 1.00 13.27 F001.85 F001.25 R359.95 F000.03 R359.93 R000.00 F000.00 R359.97 359.95
1978-01-27 314_28 181_41 314_22 323_07 088_47 062_36 122_43 202_49 234_37 172_43 163_58 1.00 13.50 F001.88 F001.25 R359.98 F000.02 R359.90 R000.00 F000.03 R359.97 359.95
1978-01-28 315_28 195_11 316_15 324_22 088_46 062_37 122_37 202_49 234_39 172_41 163_55 1.03 13.73 F001.87 F001.25 R359.95 F000.02 R359.95 R000.00 F000.02 R359.98 359.95
1978-02-01 316_30 208_55 318_07 325_37 088_43 062_38 122_34 202_49 234_40 172_40 163_52 1.00 13.90 F001.90 F001.25 R000.00 F000.03 R359.90 R359.98 F000.00 R000.00 359.95
1978-02-02 317_30 222_49 320_01 326_52 088_43 062_40 122_28 202_48 234_40 172_40 163_49 1.00 14.12 F001.92 F001.25 E000.00 F000.05 R359.93 R000.00 F000.00 R359.95 359.95
1978-02-03 318_30 236_56 321_56 328_07 088_43 062_43 122_24 202_48 234_40 172_37 163_46 1.00 14.32 F001.93 F001.25 F000.00 F000.03 R359.92 R359.97 F000.02 R000.00 359.95
1978-02-04 319_30 251_15 323_52 329_22 088_43 062_45 122_19 202_46 234_41 172_37 163_43 1.00 14.42 F001.93 F001.25 F000.05 F000.03 R359.93 R000.00 F000.00 R359.97 359.95
