2037-01-01 288_04 113_55 268_58 276_13 245_18 051_55 126_25 082_12 359_55 296_15 103_22 1.03 15.17 F001.47 F001.28 F000.72 R359.97 R359.92 R359.95 F000.02 F000.02 359.95
2037-01-02 289_06 129_05 270_26 277_30 246_01 051_53 126_20 082_09 359_56 296_16 103_19 1.02 15.08 F001.48 F001.25 F000.70 R359.98 R359.93 R359.97 F000.03 F000.03 359.95
2037-01-03 290_07 144_10 271_55 278_45 246_43 051_52 126_16 082_07 359_58 296_18 103_16 1.00 14.83 F001.50 F001.25 F000.72 R359.98 R359.93 R359.95 F000.00 F000.02 359.95
2037-01-04 291_07 159_00 273_25 280_00 247_26 051_51 126_12 082_04 359_58 296_19 103_13 1.02 14.47 F001.50 F001.25 F000.73 R359.97 R359.92 R359.97 F000.03 F000.05 359.95
2037-01-05 292_08 173_28 274_55 281_15 248_10 051_49 126_07 082_02 000_00 296_22 103_10 1.00 14.08 F001.50 F001.25 F000.70 R000.00 R359.92 R359.98 F000.02 F000.02 359.95
2037-01-06 293_08 187_33 276_25 282_30 248_52 051_49 126_02 082_01 000_01 296_23 103_07 1.03 13.63 F001.52 F001.27 F000.72 R000.00 R359.93 R359.95 F000.00 F000.03 359.95
2037-01-07 294_10 201_11 277_56 283_46 249_35 051_49 125_58 081_58 000_01 296_25 103_04 1.00 13.25 F001.57 F001.25 F000.73 R359.97 R359.93 R359.98 F000.03 F000.02 359.95
2037-01-08 295_10 214_26 279_30 285_01 250_19 051_47 125_54 081_57 000_03 296_26 103_01 1.02 12.88 F001.55 F001.25 F000.70 R000.00 R359.92 R359.97 F000.02 F000.03 359.95
2037-01-09 296_11 227_19 281_03 286_16 251_01 051_47 125_49 081_55 000_04 296_28 102_58 1.03 12.60 F001.57 F001.25 F000.73 E000.00 R359.90 R359.95 F000.03 F000.05 359.95
2037-01-10 297_13 239_55 282_37 287_31 251_45 051_47 125_43 081_52 000_06 296_31 102_55 1.00 12.30 F001.57 F001.25 F000.72 F000.03 R359.93 R359.97 F000.02 F000.03 359.92
2037-01-11 298_13 252_13 284_11 288_46 252_28 051_49 125_39 081_50 000_07 296_33 102_50 1.00 12.15 F001.62 F001.25 F000.70 F000.00 R359.92 R359.98 F000.00 F000.02 359.95
2037-01-12 299_13 264_22 285_48 290_01 253_10 051_49 125_34 081_49 000_07 296_34 102_47 1.03 11.98 F001.62 F001.25 F000.73 F000.00 R359.93 R359.95 F000.05 F000.03 359.97
2037-01-13 300_15 276_21 287_25 291_16 253_54 051_49 125_30 081_46 000_10 296_36 102_45 1.00 11.87 F001.60 F001.25 F000.72 F000.03 R359.92 R359.98 F000.00 F000.02 359.95
2037-01-14 301_15 288_13 289_01 292_31 254_37 051_51 125_25 081_45 000_10 296_37 102_42 1.02 11.83 F001.65 F001.25 F000.72 F000.02 R359.90 R359.97 F000.03 F000.05 359.95
2037-01-15 302_16 300_03 290_40 293_46 255_20 051_52 125_19 081_43 000_12 296_40 102_39 1.00 11.80 F001.65 F001.25 F000.73 F000.00 R359.93 R359.95 F000.02 F000.02 359.93
2037-01-16 303_16 311_51 292_19 295_01 256_04 051_52 125_15 081_40 000_13 296_41 102_35 1.00 11.82 F001.68 F001.25 F000.70 F000.02 R359.92 R000.00 F000.03 F000.03 359.93
2037-01-17 304_16 323_40 294_00 296_16 256_46 051_53 125_10 081_40 000_15 296_43 102_31 1.03 11.85 F001.67 F001.25 F000.73 F000.03 R359.92 R359.95 F000.02 F000.03 359.95
2037-01-18 305_18 335_31 295_40 297_31 257_30 051_55 125_05 081_37 000_16 296_45 102_28 1.00 11.95 F001.70 F001.25 F000.72 F000.05 R359.93 R359.97 F000.03 F000.02 359.95
2037-01-19 306_18 347_28 297_22 298_46 258_13 051_58 125_01 081_35 000_18 296_46 102_25 1.02 12.05 F001.70 F001.25 F000.72 F000.03 R359.90 R359.98 F000.02 F000.05 359.95
2037-01-20 307_19 359_31 299_04 300_01 258_56 052_00 124_55 081_34 000_19 296_49 102_22 1.00 12.25 F001.75 F001.28 F000.73 F000.02 R359.92 R359.97 F000.03 F000.00 359.95
2037-01-21 308_19 011_46 300_49 301_18 259_40 052_01 124_50 081_32 000_21 296_49 102_19 1.00 12.45 F001.73 F001.25 F000.72 F000.05 R359.93 R359.98 F000.02 F000.05 359.95
2037-01-22 309_19 024_13 302_33 302_33 260_23 052_04 124_46 081_31 000_22 296_52 102_16 1.00 12.78 F001.77 F001.25 F000.73 F000.05 R359.90 R359.98 F000.03 F000.02 359.95
2037-01-23 310_19 037_00 304_19 303_48 261_07 052_07 124_40 081_30 000_24 296_53 102_13 1.03 13.10 F001.75 F001.25 F000.73 F000.05 R359.95 R359.97 F000.02 F000.03 359.95
2037-01-24 311_21 050_06 306_04 305_03 261_51 052_10 124_37 081_28 000_25 296_55 102_10 1.00 13.52 F001.80 F001.25 F000.72 F000.05 R359.90 R359.98 F000.05 F000.02 359.95
2037-01-25 312_21 063_37 307_52 306_18 262_34 052_13 124_31 081_27 000_28 296_56 102_07 1.00 13.95 F001.80 F001.25 F000.73 F000.05 R359.93 R359.97 F000.00 F000.03 359.95
2037-01-26 313_21 077_34 309_40 307_33 263_18 052_16 124_27 081_25 000_28 296_58 102_04 1.02 14.38 F001.83 F001.25 F000.72 F000.05 R359.92 R000.00 F000.05 F000.05 359.95
2037-01-27 314_22 091_57 311_30 308_48 264_01 052_19 124_22 081_25 000_31 297_01 102_01 1.00 14.77 F001.85 F001.25 F000.73 F000.05 R359.90 R359.98 F000.03 F000.00 359.93
2037-01-28 315_22 106_43 313_21 310_03 264_45 052_22 124_16 081_24 000_33 297_01 101_57 1.00 15.10 F001.83 F001.25 F000.72 F000.08 R359.95 R359.97 F000.02 F000.05 359.95
2037-02-01 316_22 121_49 315_11 311_18 265_28 052_27 124_13 081_22 000_34 297_04 101_54 1.00 15.25 F001.88 F001.25 F000.72 F000.07 R359.90 R359.97 F000.03 F000.03 359.93
2037-02-02 317_22 137_04 317_04 312_33 266_11 052_31 124_07 081_20 000_36 297_06 101_50 1.00 15.25 F001.87 F001.25 F000.73 F000.05 R359.92 R359.98 F000.02 F000.02 359.95
2037-02-03 318_22 152_19 318_56 313_48 266_55 052_34 124_02 081_19 000_37 297_07 101_47 1.00 15.10 F001.92 F001.25 F000.72 F000.07 R359.93 R000.00 F000.05 F000.02 359.97
2037-02-04 319_22 167_25 320_51 315_03 267_38 052_38 123_58 081_19 000_40 297_08 101_45 1.00 14.75 F001.92 F001.25 F000.73 F000.08 R359.93 R359.97 F000.00 F000.03 359.95
2037-02-05 320_22 182_10 322_46 316_18 268_22 052_43 123_54 081_17 000_40 297_10 101_42 1.00 14.33 F001.92 F001.22 F000.75 F000.07 R359.92 R359.98 F000.05 F000.05 359.92
2037-02-06 321_22 196_30 324_41 317_31 269_07 052_47 123_49 081_16 000_43 297_13 101_37 1.00 13.83 F001.93 F001.25 F000.73 F000.08 R359.93 R000.00 F000.03 F000.00 359.95
2037-02-07 322_22 210_20 326_37 318_46 269_51 052_52 123_45 081_16 000_45 297_13 101_34 1.00 13.35 F001.95 F001.25 F000.72 F000.10 R359.92 R359.98 F000.02 F000.05 359.95
2037-02-08 323_22 223_41 328_34 320_01 270_34 052_58 123_40 081_15 000_46 297_16 101_31 1.00 12.93 F001.95 F001.25 F000.73 F000.07 R359.92 R000.00 F000.05 F000.00 359.95
2037-02-09 324_22 236_37 330_31 321_16 271_18 053_02 123_35 081_15 000_49 297_16 101_28 1.00 12.53 F001.95 F001.25 F000.72 F000.10 R359.93 R359.97 F000.03 F000.05 359.95
2037-02-10 325_22 249_09 332_28 322_31 272_01 053_08 123_31 081_13 000_51 297_19 101_25 1.00 12.22 F001.95 F001.25 F000.75 F000.08 R359.95 R000.00 F000.02 F000.03 359.95
2037-02-11 326_22 261_22 334_25 323_46 272_46 053_13 123_28 081_13 000_52 297_21 101_22 1.00 12.02 F001.95 F001.25 F000.73 F000.10 R359.93 R000.00 F000.05 F000.02 359.95
2037-02-12 327_22 273_23 336_22 325_01 273_30 053_19 123_24 081_13 000_55 297_22 101_19 1.00 11.88 F001.95 F001.25 F000.72 F000.10 R359.92 R359.98 F000.03 F000.02 359.95
2037-02-13 328_22 285_16 338_19 326_16 274_13 053_25 123_19 081_12 000_57 297_23 101_16 1.00 11.80 F001.93 F001.25 F000.75 F000.10 R359.93 R359.97 F000.02 F000.03 359.95
2037-02-14 329_22 297_04 340_15 327_31 274_58 053_31 123_15 081_10 000_58 297_25 101_13 1.00 11.78 F001.88 F001.25 F000.72 F000.10 R359.92 R000.00 F000.05 F000.02 359.95
2037-02-15 330_22 308_51 342_08 328_46 275_41 053_37 123_10 081_10 001_01 297_26 101_10 1.00 11.82 F001.88 F001.25 F000.73 F000.10 R359.95 R000.00 F000.03 F000.03 359.95
2037-02-16 331_22 320_40 344_01 330_01 276_25 053_43 123_07 081_10 001_03 297_28 101_07 1.00 11.85 F001.85 F001.25 F000.72 F000.13 R359.92 R000.00 F000.02 F000.03 359.92
2037-02-17 332_22 332_31 345_52 331_16 277_08 053_51 123_02 081_10 001_04 297_30 101_02 1.00 11.98 F001.80 F001.25 F000.73 F000.10 R359.93 R000.00 F000.05 F000.02 359.97
2037-02-18 333_22 344_30 347_40 332_31 277_52 053_57 122_58 081_10 001_07 297_31 101_00 0.98 12.10 F001.77 F001.23 F000.75 F000.12 R359.95 R000.00 F000.02 F000.03 359.95
2037-02-19 334_21 356_36 349_26 333_45 278_37 054_04 122_55 081_10 001_08 297_33 100_57 1.00 12.22 F001.70 F001.25 F000.75 F000.10 R359.95 R359.98 F000.03 F000.02 359.95
2037-02-20 335_21 008_49 351_08 335_00 279_22 054_10 122_52 081_09 001_10 297_34 100_54 1.00 12.40 F001.67 F001.25 F000.73 F000.12 R359.92 R000.00 F000.05 F000.03 359.93
2037-02-21 336_21 021_13 352_48 336_15 280_06 054_17 122_47 081_09 001_13 297_36 100_50 0.97 12.57 F001.57 F001.22 F000.72 F000.13 R359.97 R000.00 F000.03 F000.02 359.95
2037-02-22 337_19 033_47 354_22 337_28 280_49 054_25 122_45 081_09 001_15 297_37 100_47 1.00 12.83 F001.48 F001.25 F000.75 F000.12 R359.92 R000.00 F000.02 F000.02 359.93
2037-02-23 338_19 046_37 355_51 338_43 281_34 054_32 122_40 081_09 001_16 297_38 100_43 1.00 13.08 F001.42 F001.25 F000.73 F000.13 R359.95 E000.00 F000.05 F000.03 359.95
2037-02-24 339_19 059_42 357_16 339_58 282_18 054_40 122_37 081_09 001_19 297_40 100_40 1.00 13.37 F001.30 F001.25 F000.72 F000.12 R359.95 F000.00 F000.03 F000.02 359.95
2037-02-25 340_19 073_04 358_34 341_13 283_01 054_47 122_34 081_09 001_21 297_41 100_37 0.98 13.75 F001.23 F001.25 F000.75 F000.13 R359.95 F000.00 F000.03 F000.03 359.95
2037-02-26 341_18 086_49 359_48 342_28 283_46 054_55 122_31 081_09 001_23 297_43 100_34 1.00 14.15 F001.12 F001.25 F000.73 F000.12 R359.95 F000.00 F000.03 F000.00 359.95
2037-02-27 342_18 100_58 000_55 343_43 284_30 055_02 122_28 081_09 001_25 297_43 100_31 0.97 14.48 F001.00 F001.22 F000.72 F000.17 R359.95 F000.02 F000.05 F000.05 359.95
2037-02-28 343_16 115_27 001_55 344_56 285_13 055_12 122_25 081_10 001_28 297_46 100_28 1.00 14.82 F000.90 F001.25 F000.75 F000.12 R359.95 F000.00 F000.03 F000.00 359.95
2037-02-29 344_16 130_16 002_49 346_11 285_58 055_19 122_22 081_10 001_30 297_46 100_25 1.00 15.03 F000.75 F001.23 F000.75 F000.15 R359.95 F000.00 F000.02 F000.03 359.95
2037-02-30 345_16 145_18 003_34 347_25 286_43 055_28 122_19 081_10 001_31 297_48 100_22 0.98 15.12 F000.68 F001.25 F000.72 F000.15 R359.95 F000.00 F000.05 F000.02 359.95
2037-02-31 346_15 160_25 004_15 348_40 287_26 055_37 122_16 081_10 001_34 297_49 100_19 0.97 15.05 F000.52 F001.25 F000.73 F000.13 R359.95 F000.00 F000.05 F000.03 359.95
2037-03-01 347_13 175_28 004_46 349_55 288_10 055_45 122_13 081_10 001_37 297_51 100_16 1.00 14.80 F000.43 F001.25 F000.75 F000.13 R359.95 F000.03 F000.02 F000.02 359.95
2037-03-02 348_13 190_16 005_12 351_10 288_55 055_53 122_10 081_12 001_38 297_52 100_13 0.97 14.42 F000.30 F001.22 F000.75 F000.15 R359.95 F000.00 F000.03 F000.00 359.93
2037-03-03 349_11 204_41 005_30 352_23 289_40 056_02 122_07 081_12 001_40 297_52 100_09 1.00 13.98 F000.17 F001.25 F000.72 F000.17 R359.97 F000.02 F000.05 F000.05 359.93
2037-03-04 350_11 218_40 005_40 353_38 290_23 056_12 122_05 081_13 001_43 297_55 100_05 0.98 13.45 F000.05 F001.23 F000.73 F000.15 R359.98 F000.00 F000.05 F000.00 359.95
2037-03-05 351_10 232_07 005_43 354_52 291_07 056_21 122_04 081_13 001_46 297_55 100_02 1.00 13.03 B359.95 F001.25 F000.75 F000.15 R359.95 F000.00 F000.03 F000.02 359.97
2037-03-06 352_10 245_09 005_40 356_07 291_52 056_30 122_01 081_13 001_48 297_56 100_00 0.97 12.57 R359.85 F001.25 F000.75 F000.13 R359.95 F000.03 F000.02 F000.03 359.95
2037-03-07 353_08 257_43 005_31 357_22 292_37 056_38 121_58 081_15 001_49 297_58 099_57 0.98 12.28 R359.70 F001.23 F000.73 F000.18 R359.98 F000.02 F000.05 F000.00 359.95
2037-03-08 354_07 270_00 005_13 358_36 293_21 056_49 121_57 081_16 001_52 297_58 099_54 1.00 12.00 R359.65 F001.25 F000.72 F000.15 R359.97 F000.00 F000.05 F000.03 359.92
2037-03-09 355_07 282_00 004_52 359_51 294_04 056_58 121_55 081_16 001_55 298_00 099_49 0.98 11.87 R359.55 F001.22 F000.75 F000.15 R359.95 F000.00 F000.03 F000.02 359.95
2037-03-10 356_06 293_52 004_25 001_04 294_49 057_07 121_52 081_16 001_57 298_01 099_46 0.97 11.77 R359.45 F001.25 F000.75 F000.17 R000.00 F000.02 F000.02 F000.03 359.95
2037-03-11 357_04 305_38 003_52 002_19 295_34 057_17 121_52 081_17 001_58 298_03 099_43 0.98 11.80 R359.40 F001.25 F000.73 F000.17 R359.95 F000.03 F000.05 F000.02 359.95
2037-03-12 358_03 317_26 003_16 003_34 296_18 057_27 121_49 081_19 002_01 298_04 099_40 0.97 11.87 R359.35 F001.22 F000.75 F000.17 R359.97 F000.00 F000.05 F000.00 359.95
2037-03-13 359_01 329_18 002_37 004_47 297_03 057_37 121_47 081_19 002_04 298_04 099_37 1.00 11.97 R359.30 F001.23 F000.72 F000.15 R359.98 F000.05 F000.03 F000.03 359.95
2037-03-14 000_01 341_16 001_55 006_01 297_46 057_46 121_46 081_22 002_06 298_06 099_34 0.98 12.12 R359.30 F001.25 F000.75 F000.20 R000.00 F000.00 F000.02 F000.02 359.95
2037-03-15 001_00 353_23 001_13 007_16 298_31 057_58 121_46 081_22 002_07 298_07 099_31 0.97 12.32 R359.25 F001.25 F000.75 F000.15 R359.95 F000.03 F000.05 F000.00 359.95
2037-03-16 001_58 005_42 000_28 008_31 299_16 058_07 121_43 081_24 002_10 298_07 099_28 0.98 12.47 R359.25 F001.23 F000.73 F000.17 R000.00 F000.02 F000.05 F000.00 359.95
