1914-01-01 288_38 352_07 293_25 286_01 073_57 279_48 048_40 285_08 093_47 066_43 324_07 1.03 11.80 F001.75 F001.25 R359.83 F000.22 R359.97 F000.05 R359.98 R000.00 359.95
1914-01-02 289_40 003_55 295_10 287_16 073_47 280_01 048_38 285_11 093_46 066_43 324_04 1.00 11.92 F001.80 F001.25 R359.88 F000.25 R359.98 F000.08 R359.98 R359.98 359.93
1914-01-03 290_40 015_50 296_58 288_31 073_40 280_16 048_37 285_16 093_45 066_42 324_00 1.02 12.08 F001.78 F001.28 R359.85 F000.23 R000.00 F000.05 R359.97 R359.97 359.93
1914-01-04 291_41 027_55 298_45 289_48 073_31 280_30 048_37 285_19 093_43 066_40 323_56 1.03 12.37 F001.77 F001.25 R359.90 F000.22 R359.98 F000.05 R359.98 R000.00 359.95
1914-01-05 292_43 040_17 300_31 291_03 073_25 280_43 048_36 285_22 093_42 066_40 323_53 1.00 12.72 F001.80 F001.25 R359.90 F000.25 R000.00 F000.05 R359.97 R000.00 359.97
1914-01-06 293_43 053_00 302_19 292_18 073_19 280_58 048_36 285_25 093_40 066_40 323_51 1.00 13.07 F001.80 F001.27 R359.93 F000.22 R359.97 F000.08 R359.95 R359.98 359.95
1914-01-07 294_43 066_04 304_07 293_34 073_15 281_11 048_34 285_30 093_37 066_39 323_48 1.03 13.55 F001.80 F001.25 R359.92 F000.23 R000.00 F000.05 R000.00 R359.97 359.95
1914-01-08 295_45 079_37 305_55 294_49 073_10 281_25 048_34 285_33 093_37 066_37 323_45 1.02 13.92 F001.80 F001.25 R359.95 F000.25 R000.00 F000.05 R359.95 R000.00 359.92
1914-01-09 296_46 093_32 307_43 296_04 073_07 281_40 048_34 285_36 093_34 066_37 323_40 1.00 14.30 F001.75 F001.25 R359.95 F000.22 R000.00 F000.07 R000.00 R000.00 359.95
1914-01-10 297_46 107_50 309_28 297_19 073_04 281_53 048_34 285_40 093_34 066_37 323_37 1.00 14.58 F001.78 F001.25 R359.97 F000.23 R000.00 F000.05 R359.95 R359.97 359.95
1914-01-11 298_46 122_25 311_15 298_34 073_02 282_07 048_34 285_43 093_31 066_35 323_34 1.03 14.80 F001.75 F001.25 R359.98 F000.23 E000.00 F000.05 R000.00 R000.00 359.95
1914-01-12 299_48 137_13 313_00 299_49 073_01 282_21 048_34 285_46 093_31 066_35 323_31 1.00 14.80 F001.72 F001.25 E000.00 F000.22 F000.00 F000.05 R359.95 R359.98 359.95
1914-01-13 300_48 152_01 314_43 301_04 073_01 282_34 048_34 285_49 093_28 066_34 323_28 1.02 14.78 F001.70 F001.25 F000.00 F000.25 F000.00 F000.07 R000.00 R000.00 359.95
1914-01-14 301_49 166_48 316_25 302_19 073_01 282_49 048_34 285_53 093_28 066_34 323_25 1.00 14.57 F001.68 F001.25 F000.02 F000.23 F000.00 F000.05 R359.95 R000.00 359.95
1914-01-15 302_49 181_22 318_06 303_34 073_02 283_03 048_34 285_56 093_25 066_34 323_22 1.00 14.35 F001.62 F001.25 F000.03 F000.22 F000.00 F000.07 R000.00 R359.97 359.95
1914-01-16 303_49 195_43 319_43 304_49 073_04 283_16 048_34 286_00 093_25 066_32 323_19 1.03 14.10 F001.55 F001.28 F000.05 F000.23 F000.00 F000.07 R359.98 R000.00 359.95
1914-01-17 304_51 209_49 321_16 306_06 073_07 283_30 048_34 286_04 093_24 066_32 323_16 1.00 13.77 F001.50 F001.25 F000.05 F000.22 F000.03 F000.05 R359.97 R359.98 359.95
1914-01-18 305_51 223_35 322_46 307_21 073_10 283_43 048_36 286_07 093_22 066_31 323_13 1.02 13.48 F001.42 F001.25 F000.05 F000.25 F000.02 F000.05 R359.97 R000.00 359.95
1914-01-19 306_52 237_04 324_11 308_36 073_13 283_58 048_37 286_10 093_20 066_31 323_10 1.00 13.20 F001.37 F001.25 F000.10 F000.20 F000.00 F000.05 R359.98 R000.00 359.93
1914-01-20 307_52 250_16 325_33 309_51 073_19 284_10 048_37 286_13 093_19 066_31 323_06 1.00 12.95 F001.25 F001.25 F000.08 F000.25 F000.00 F000.05 R359.97 R359.98 359.95
1914-01-21 308_52 263_13 326_48 311_06 073_24 284_25 048_37 286_16 093_17 066_30 323_03 1.00 12.70 F001.12 F001.25 F000.10 F000.20 F000.02 F000.05 R359.98 R000.00 359.95
1914-01-22 309_52 275_55 327_55 312_21 073_30 284_37 048_38 286_19 093_16 066_30 323_00 1.00 12.50 F001.05 F001.25 F000.12 F000.25 F000.03 F000.07 R000.00 R000.00 359.93
1914-01-23 310_52 288_25 328_58 313_36 073_37 284_52 048_40 286_23 093_16 066_30 322_56 1.02 12.33 F000.88 F001.25 F000.10 F000.20 F000.03 F000.05 R359.95 R359.97 359.95
1914-01-24 311_53 300_45 329_51 314_51 073_43 285_04 048_42 286_26 093_13 066_28 322_53 1.00 12.12 F000.77 F001.25 F000.15 F000.25 F000.02 F000.07 R000.00 R000.00 359.97
1914-01-25 312_53 312_52 330_37 316_06 073_52 285_19 048_43 286_30 093_13 066_28 322_51 1.03 12.00 F000.60 F001.25 F000.15 F000.20 F000.03 F000.05 R359.98 R000.00 359.92
1914-01-26 313_55 324_52 331_13 317_21 074_01 285_31 048_45 286_33 093_12 066_28 322_46 1.00 11.90 F000.45 F001.25 F000.15 F000.23 F000.02 F000.07 R359.97 R000.00 359.95
1914-01-27 314_55 336_46 331_40 318_36 074_10 285_45 048_46 286_37 093_10 066_28 322_43 1.00 11.83 F000.33 F001.25 F000.15 F000.22 F000.02 F000.05 R359.98 R000.00 359.95
1914-01-28 315_55 348_36 332_00 319_51 074_19 285_58 048_47 286_40 093_09 066_28 322_40 1.00 11.80 F000.12 F001.25 F000.18 F000.22 F000.03 F000.05 R359.97 R359.98 359.95
1914-02-01 316_55 000_24 332_07 321_06 074_30 286_11 048_49 286_43 093_07 066_27 322_37 1.00 11.82 B000.00 F001.25 F000.17 F000.23 F000.05 F000.05 R000.00 R000.00 359.95
1914-02-02 317_55 012_13 332_07 322_21 074_40 286_25 048_52 286_46 093_07 066_27 322_34 1.00 11.90 R359.82 F001.25 F000.20 F000.20 F000.02 F000.05 R359.97 R000.00 359.95
1914-02-03 318_55 024_07 331_56 323_36 074_52 286_37 048_53 286_49 093_05 066_27 322_31 1.00 12.10 R359.68 F001.25 F000.20 F000.23 F000.07 F000.05 R359.98 R000.00 359.95
1914-02-04 319_55 036_13 331_37 324_51 075_04 286_51 048_57 286_52 093_04 066_27 322_28 1.00 12.30 R359.55 F001.25 F000.20 F000.22 F000.02 F000.05 R000.00 R359.97 359.95
1914-02-05 320_55 048_31 331_10 326_06 075_16 287_04 048_58 286_55 093_04 066_25 322_25 1.00 12.60 R359.40 F001.25 F000.23 F000.20 F000.05 F000.05 R359.97 R000.00 359.95
1914-02-06 321_55 061_07 330_34 327_21 075_30 287_16 049_01 286_58 093_02 066_25 322_22 1.00 13.00 R359.30 F001.25 F000.22 F000.23 F000.05 F000.05 R359.98 R000.00 359.95
1914-02-07 322_55 074_07 329_52 328_36 075_43 287_30 049_04 287_01 093_01 066_25 322_19 1.00 13.42 R359.18 F001.25 F000.23 F000.22 F000.03 F000.05 R000.00 R000.00 359.95
1914-02-08 323_55 087_32 329_03 329_51 075_57 287_43 049_06 287_04 093_01 066_25 322_16 1.00 13.88 R359.12 F001.25 F000.25 F000.20 F000.03 F000.05 R359.98 R000.00 359.92
1914-02-09 324_55 101_25 328_10 331_06 076_12 287_55 049_08 287_07 093_00 066_25 322_11 1.00 14.30 R359.05 F001.22 F000.25 F000.20 F000.07 F000.05 R359.97 R000.00 359.95
1914-02-10 325_55 115_43 327_13 332_19 076_27 288_07 049_12 287_10 092_58 066_25 322_08 1.00 14.70 R359.03 F001.25 F000.25 F000.23 F000.05 F000.05 R000.00 R000.00 359.97
1914-02-11 326_55 130_25 326_15 333_34 076_42 288_21 049_15 287_13 092_58 066_25 322_06 1.00 14.98 R359.02 F001.25 F000.27 F000.20 F000.03 F000.05 R000.00 R000.00 359.95
1914-02-12 327_55 145_24 325_16 334_49 076_58 288_33 049_17 287_16 092_58 066_25 322_03 1.00 15.12 R359.03 F001.25 F000.28 F000.22 F000.07 F000.05 R359.98 R000.00 359.95
1914-02-13 328_55 160_31 324_18 336_04 077_15 288_46 049_21 287_19 092_57 066_25 322_00 1.00 15.15 R359.05 F001.25 F000.27 F000.20 F000.03 F000.05 R359.97 R000.00 359.93
1914-02-14 329_55 175_40 323_21 337_19 077_31 288_58 049_23 287_22 092_55 066_25 321_56 1.00 15.00 R359.12 F001.25 F000.30 F000.20 F000.07 F000.05 R000.00 E000.00 359.93
1914-02-15 330_55 190_40 322_28 338_34 077_49 289_10 049_27 287_25 092_55 066_25 321_52 1.00 14.70 R359.15 F001.25 F000.27 F000.20 F000.07 F000.02 R000.00 F000.00 359.95
1914-02-16 331_55 205_22 321_37 339_49 078_05 289_22 049_31 287_26 092_55 066_25 321_49 1.00 14.32 R359.25 F001.23 F000.32 F000.20 F000.05 F000.07 R359.98 F000.00 359.95
1914-02-17 332_55 219_41 320_52 341_03 078_24 289_34 049_34 287_30 092_54 066_25 321_46 0.97 13.93 R359.35 F001.25 F000.32 F000.20 F000.05 F000.05 R359.97 F000.00 359.95
1914-02-18 333_53 233_37 320_13 342_18 078_43 289_46 049_37 287_33 092_52 066_25 321_43 1.00 13.50 R359.45 F001.25 F000.30 F000.20 F000.08 F000.02 R000.00 F000.00 359.95
1914-02-19 334_53 247_07 319_40 343_33 079_01 289_58 049_42 287_34 092_52 066_25 321_40 1.00 13.13 R359.52 F001.22 F000.32 F000.20 F000.07 F000.05 R000.00 F000.00 359.95
1914-02-20 335_53 260_15 319_11 344_46 079_20 290_10 049_46 287_37 092_52 066_25 321_37 0.98 12.77 R359.63 F001.25 F000.33 F000.20 F000.05 F000.05 R359.97 F000.00 359.95
1914-02-21 336_52 273_01 318_49 346_01 079_40 290_22 049_49 287_40 092_50 066_25 321_34 1.00 12.50 R359.75 F001.25 F000.33 F000.20 F000.05 F000.05 R000.00 F000.00 359.95
1914-02-22 337_52 285_31 318_34 347_16 080_00 290_34 049_52 287_43 092_50 066_25 321_31 1.00 12.25 R359.85 F001.25 F000.32 F000.20 F000.08 F000.05 R359.98 F000.00 359.95
1914-02-23 338_52 297_46 318_25 348_31 080_19 290_46 049_57 287_46 092_49 066_25 321_28 1.00 12.08 R359.93 F001.25 F000.35 F000.20 F000.07 F000.03 R000.00 F000.03 359.95
1914-02-24 339_52 309_51 318_21 349_46 080_40 290_58 050_01 287_48 092_49 066_27 321_25 0.98 11.92 E000.03 F001.23 F000.35 F000.20 F000.08 F000.05 R000.00 F000.00 359.95
1914-02-25 340_51 321_46 318_23 351_00 081_01 291_10 050_06 287_51 092_49 066_27 321_22 1.00 11.87 F000.13 F001.22 F000.35 F000.18 F000.07 F000.02 R000.00 F000.00 359.93
1914-02-26 341_51 333_38 318_31 352_13 081_22 291_21 050_10 287_52 092_49 066_27 321_18 0.97 11.83 F000.23 F001.25 F000.38 F000.17 F000.08 F000.05 R000.00 F000.00 359.95
1914-02-27 342_49 345_28 318_45 353_28 081_45 291_31 050_15 287_55 092_49 066_27 321_15 1.00 11.80 F000.30 F001.25 F000.37 F000.20 F000.07 F000.05 R359.97 F000.02 359.93
1914-02-28 343_49 357_16 319_03 354_43 082_07 291_43 050_19 287_58 092_47 066_28 321_11 1.00 11.82 F000.38 F001.25 F000.35 F000.20 F000.07 F000.03 R000.00 F000.00 359.95
1914-02-29 344_49 009_05 319_26 355_58 082_28 291_55 050_23 288_00 092_47 066_28 321_08 0.98 11.88 F000.48 F001.22 F000.37 F000.18 F000.08 F000.02 R000.00 F000.00 359.97
1914-02-30 345_48 020_58 319_55 357_11 082_50 292_06 050_28 288_01 092_47 066_28 321_06 0.97 12.00 F000.52 F001.23 F000.38 F000.17 F000.07 F000.05 R000.00 F000.00 359.95
1914-02-31 346_46 032_58 320_26 358_25 083_13 292_16 050_32 288_04 092_47 066_28 321_03 1.00 12.13 F000.63 F001.25 F000.40 F000.20 F000.08 F000.05 R359.98 F000.00 359.92
1914-03-01 347_46 045_06 321_04 359_40 083_37 292_28 050_37 288_07 092_46 066_28 320_58 1.00 12.32 F000.65 F001.25 F000.40 F000.17 F000.10 F000.02 R000.00 F000.00 359.95
1914-03-02 348_46 057_25 321_43 000_55 084_01 292_38 050_43 288_08 092_46 066_28 320_55 0.98 12.58 F000.75 F001.22 F000.38 F000.18 F000.07 F000.03 R000.00 F000.03 359.95
1914-03-03 349_45 070_00 322_28 002_08 084_24 292_49 050_47 288_10 092_46 066_30 320_52 0.97 12.90 F000.80 F001.25 F000.38 F000.18 F000.08 F000.05 R000.00 F000.00 359.95
1914-03-04 350_43 082_54 323_16 003_23 084_47 293_00 050_52 288_13 092_46 066_30 320_49 1.00 13.27 F000.85 F001.23 F000.42 F000.17 F000.10 F000.03 R000.00 F000.02 359.95
1914-03-05 351_43 096_10 324_07 004_37 085_12 293_10 050_58 288_15 092_46 066_31 320_46 0.97 13.67 F000.90 F001.25 F000.42 F000.18 F000.10 F000.02 R000.00 F000.00 359.95
1914-03-06 352_41 109_50 325_01 005_52 085_37 293_21 051_04 288_16 092_46 066_31 320_43 0.98 14.13 F000.95 F001.22 F000.40 F000.17 F000.07 F000.05 E000.00 F000.00 359.95
1914-03-07 353_40 123_58 325_58 007_05 086_01 293_31 051_08 288_19 092_46 066_31 320_40 1.00 14.55 F001.00 F001.23 F000.40 F000.15 F000.08 F000.03 F000.00 F000.00 359.95
1914-03-08 354_40 138_31 326_58 008_19 086_25 293_40 051_13 288_21 092_46 066_31 320_37 0.97 14.92 F001.05 F001.25 F000.45 F000.18 F000.10 F000.02 F000.00 F000.02 359.95
1914-03-09 355_38 153_26 328_01 009_34 086_52 293_51 051_19 288_22 092_46 066_32 320_34 0.98 15.18 F001.08 F001.23 F000.40 F000.17 F000.10 F000.02 F000.00 F000.03 359.95
1914-03-10 356_37 168_37 329_06 010_48 087_16 294_01 051_25 288_23 092_46 066_34 320_31 1.00 15.25 F001.12 F001.22 F000.45 F000.15 F000.10 F000.03 F000.00 F000.00 359.95
1914-03-11 357_37 183_52 330_13 012_01 087_43 294_10 051_31 288_25 092_46 066_34 320_28 0.98 15.20 F001.17 F001.25 F000.40 F000.18 F000.10 F000.05 F000.00 F000.00 359.92
1914-03-12 358_36 199_04 331_23 013_16 088_07 294_21 051_37 288_28 092_46 066_34 320_23 0.97 14.98 F001.23 F001.23 F000.45 F000.17 F000.08 F000.03 F000.02 F000.00 359.97
1914-03-13 359_34 214_03 332_37 014_30 088_34 294_31 051_42 288_30 092_47 066_34 320_21 0.98 14.57 F001.23 F001.22 F000.45 F000.15 F000.08 F000.02 F000.00 F000.02 359.95
1914-03-14 000_33 228_37 333_51 015_43 089_01 294_40 051_47 288_31 092_47 066_35 320_18 0.97 14.15 F001.27 F001.25 F000.43 F000.15 F000.10 F000.03 F000.00 F000.03 359.95
1914-03-15 001_31 242_46 335_07 016_58 089_27 294_49 051_53 288_33 092_47 066_37 320_15 1.00 13.62 F001.32 F001.22 F000.45 F000.15 F000.12 F000.02 F000.00 F000.00 359.93
1914-03-16 002_31 256_23 336_26 018_11 089_54 294_58 052_00 288_34 092_47 066_37 320_11 0.95 13.18 F001.37 F001.23 F000.43 F000.15 F000.10 F000.03 F000.03 F000.00 359.93
1914-03-17 003_28 269_34 337_48 019_25 090_20 295_07 052_06 288_36 092_49 066_37 320_07 1.00 12.78 F001.37 F001.25 F000.45 F000.15 F000.10 F000.02 F000.00 F000.03 359.95
1914-03-18 004_28 282_21 339_10 020_40 090_47 295_16 052_12 288_37 092_49 066_39 320_04 0.98 12.42 F001.40 F001.22 F000.47 F000.15 F000.08 F000.02 F000.00 F000.02 359.95
1914-03-19 005_27 294_46 340_34 021_53 091_15 295_25 052_17 288_38 092_49 066_40 320_01 0.97 12.15 F001.45 F001.23 F000.45 F000.15 F000.10 F000.03 F000.00 F000.00 359.95
1914-03-20 006_25 306_55 342_01 023_07 091_42 295_34 052_23 288_40 092_49 066_40 319_58 0.98 11.95 F001.48 F001.23 F000.47 F000.15 F000.13 F000.00 F000.00 F000.00 359.95
1914-03-21 007_24 318_52 343_30 024_21 092_10 295_43 052_31 288_40 092_49 066_40 319_55 0.97 11.85 F001.52 F001.22 F000.45 F000.15 F000.10 F000.02 F000.02 F000.03 359.95
1914-03-22 008_22 330_43 345_01 025_34 092_37 295_52 052_37 288_41 092_50 066_42 319_52 0.97 11.78 F001.53 F001.25 F000.47 F000.13 F000.10 F000.03 F000.00 F000.02 359.95
1914-03-23 009_20 342_30 346_33 026_49 093_05 296_00 052_43 288_43 092_50 066_43 319_49 0.98 11.80 F001.57 F001.23 F000.48 F000.13 F000.10 F000.03 F000.03 F000.00 359.95
1914-03-24 010_19 354_18 348_07 028_03 093_34 296_08 052_49 288_45 092_52 066_43 319_46 0.98 11.82 F001.57 F001.22 F000.45 F000.13 F000.10 F000.02 F000.00 F000.03 359.95
1914-03-25 011_18 006_07 349_41 029_16 094_01 296_16 052_55 288_46 092_52 066_45 319_43 0.97 11.90 F001.63 F001.23 F000.50 F000.15 F000.12 F000.00 F000.00 F000.02 359.95
1914-03-26 012_16 018_01 351_19 030_30 094_31 296_25 053_02 288_46 092_52 066_46 319_40 0.95 12.03 F001.65 F001.22 F000.48 F000.13 F000.10 F000.03 F000.03 F000.00 359.95
1914-03-27 013_13 030_03 352_58 031_43 095_00 296_33 053_08 288_48 092_54 066_46 319_37 1.00 12.12 F001.70 F001.23 F000.47 F000.12 F000.13 F000.02 F000.00 F000.02 359.95
1914-03-28 014_13 042_10 354_40 032_57 095_28 296_40 053_16 288_49 092_54 066_47 319_34 0.95 12.28 F001.70 F001.22 F000.48 F000.13 F000.10 F000.00 F000.02 F000.03 359.93
1914-03-29 015_10 054_27 356_22 034_10 095_57 296_48 053_22 288_49 092_55 066_49 319_30 0.97 12.47 F001.75 F001.22 F000.50 F000.12 F000.10 F000.03 F000.00 F000.00 359.93
1914-03-30 016_08 066_55 358_07 035_23 096_27 296_55 053_28 288_51 092_55 066_49 319_26 0.98 12.65 F001.75 F001.23 F000.47 F000.13 F000.13 F000.02 F000.03 F000.02 359.95
1914-04-01 017_07 079_34 359_52 036_37 096_55 297_03 053_36 288_52 092_57 066_50 319_23 0.98 12.93 F001.80 F001.23 F000.50 F000.12 F000.12 F000.00 F000.02 F000.03 359.97
1914-04-02 018_06 092_30 001_40 037_51 097_25 297_10 053_43 288_52 092_58 066_52 319_21 0.97 13.20 F001.85 F001.22 F000.50 F000.10 F000.10 F000.00 F000.00 F000.00 359.95
1914-04-03 019_04 105_42 003_31 039_04 097_55 297_16 053_49 288_52 092_58 066_52 319_18 0.95 13.55 F001.85 F001.22 F000.50 F000.12 F000.13 F000.02 F000.00 F000.03 359.92
1914-04-04 020_01 119_15 005_22 040_17 098_25 297_23 053_57 288_53 092_58 066_54 319_13 0.98 13.92 F001.90 F001.23 F000.48 F000.12 F000.12 F000.00 F000.03 F000.02 359.95
1914-04-05 021_00 133_10 007_16 041_31 098_54 297_30 054_04 288_53 093_00 066_55 319_10 0.97 14.30 F001.92 F001.23 F000.50 F000.12 F000.10 F000.03 F000.02 F000.00 359.95
1914-04-06 021_58 147_28 009_11 042_45 099_24 297_37 054_10 288_55 093_01 066_55 319_07 0.95 14.65 F001.97 F001.22 F000.52 F000.10 F000.12 F000.00 F000.00 F000.03 359.95
1914-04-07 022_55 162_07 011_09 043_58 099_55 297_43 054_17 288_55 093_01 066_57 319_04 0.97 14.95 F001.97 F001.20 F000.50 F000.10 F000.13 F000.00 F000.02 F000.02 359.95
1914-04-08 023_53 177_04 013_07 045_10 100_25 297_49 054_25 288_55 093_02 066_58 319_01 0.98 15.10 F002.00 F001.22 F000.50 F000.10 F000.10 F000.00 F000.03 F000.00 359.95
1914-04-09 024_52 192_10 015_07 046_23 100_55 297_55 054_31 288_55 093_04 066_58 318_58 0.95 15.13 F002.05 F001.23 F000.50 F000.10 F000.12 F000.02 F000.00 F000.03 359.95
1914-04-10 025_49 207_18 017_10 047_37 101_25 298_01 054_38 288_56 093_04 067_00 318_55 0.98 14.97 F002.05 F001.23 F000.50 F000.10 F000.13 F000.00 F000.02 F000.02 359.95
1914-04-11 026_48 222_16 019_13 048_51 101_55 298_07 054_46 288_56 093_05 067_01 318_52 0.97 14.65 F002.10 F001.22 F000.53 F000.10 F000.12 F000.00 F000.03 F000.00 359.95
1914-04-12 027_46 236_55 021_19 050_04 102_27 298_13 054_53 288_56 093_07 067_01 318_49 0.95 14.23 F002.10 F001.20 F000.52 F000.08 F000.13 F000.03 F000.03 F000.05 359.95
1914-04-13 028_43 251_09 023_25 051_16 102_58 298_18 055_01 288_58 093_09 067_04 318_46 0.97 13.73 F002.15 F001.23 F000.50 F000.07 F000.10 F000.00 F000.02 F000.00 359.95
1914-04-14 029_41 264_53 025_34 052_30 103_28 298_22 055_07 288_58 093_10 067_04 318_43 0.95 13.28 F002.12 F001.20 F000.50 F000.10 F000.13 F359.97 F000.00 F000.00 359.92
1914-04-15 030_38 278_10 027_41 053_42 103_58 298_28 055_15 288_56 093_10 067_04 318_38 0.98 12.80 F002.18 F001.22 F000.53 F000.05 F000.12 F000.00 F000.00 F000.02 359.93
