2062-01-01 287_40 194_03 263_13 248_05 318_18 098_07 060_23 202_39 055_46 328_01 339_31 1.00 12.13 F000.65 F000.53 F000.77 R359.88 R359.97 F000.02 R000.00 F000.03 359.95
2062-01-02 288_40 206_11 263_52 248_37 319_04 098_00 060_21 202_40 055_46 328_03 339_28 1.02 11.98 F000.75 F000.55 F000.80 R359.87 R359.97 F000.00 R359.98 F000.02 359.95
2062-01-03 289_41 218_10 264_37 249_10 319_52 097_52 060_19 202_40 055_45 328_04 339_25 1.03 11.88 F000.80 F000.58 F000.77 R359.88 R359.95 F000.02 R000.00 F000.00 359.95
2062-01-04 290_43 230_03 265_25 249_45 320_38 097_45 060_16 202_41 055_45 328_04 339_22 1.00 11.82 F000.88 F000.57 F000.78 R359.87 R359.95 F000.03 R359.97 F000.03 359.95
2062-01-05 291_43 241_52 266_18 250_19 321_25 097_37 060_13 202_43 055_43 328_06 339_19 1.03 11.90 F000.92 F000.62 F000.77 R359.88 R359.98 F000.00 R000.00 F000.02 359.93
2062-01-06 292_45 253_46 267_13 250_56 322_11 097_30 060_12 202_43 055_43 328_07 339_15 1.00 11.95 F000.95 F000.63 F000.78 R359.87 R359.97 F000.00 R359.98 F000.02 359.93
2062-01-07 293_45 265_43 268_10 251_34 322_58 097_22 060_10 202_43 055_42 328_08 339_11 1.02 12.08 F001.05 F000.68 F000.80 R359.88 R359.95 F000.03 R359.97 F000.03 359.95
2062-01-08 294_46 277_48 269_13 252_15 323_46 097_15 060_07 202_45 055_40 328_10 339_08 1.00 12.22 F001.05 F000.67 F000.78 R359.87 R000.00 F000.02 R000.00 F000.02 359.97
2062-01-09 295_46 290_01 270_16 252_55 324_33 097_07 060_07 202_46 055_40 328_11 339_06 1.03 12.37 F001.10 F000.70 F000.77 R359.88 R359.95 F000.00 R000.00 F000.03 359.95
2062-01-10 296_48 302_23 271_22 253_37 325_19 097_00 060_04 202_46 055_40 328_13 339_03 1.00 12.55 F001.13 F000.70 F000.78 R359.87 R000.00 F000.00 R000.00 F000.00 359.92
2062-01-11 297_48 314_56 272_30 254_19 326_06 096_52 060_04 202_46 055_40 328_13 338_58 1.02 12.75 F001.17 F000.75 F000.77 R359.90 R359.95 F000.00 R359.97 F000.05 359.95
2062-01-12 298_49 327_41 273_40 255_04 326_52 096_46 060_01 202_46 055_38 328_16 338_55 1.00 12.93 F001.20 F000.73 F000.80 R359.88 R000.00 F000.03 R359.98 F000.00 359.95
2062-01-13 299_49 340_37 274_52 255_48 327_40 096_39 060_01 202_48 055_37 328_16 338_52 1.03 13.13 F001.25 F000.77 F000.75 R359.88 R359.98 F000.00 R000.00 F000.05 359.95
2062-01-14 300_51 353_45 276_07 256_34 328_25 096_32 060_00 202_48 055_37 328_19 338_49 1.00 13.37 F001.25 F000.78 F000.80 R359.88 R359.97 F000.00 R000.00 F000.00 359.95
2062-01-15 301_51 007_07 277_22 257_21 329_13 096_25 059_58 202_48 055_37 328_19 338_46 1.02 13.60 F001.27 F000.77 F000.75 R359.90 R000.00 F000.02 R000.00 F000.03 359.95
2062-01-16 302_52 020_43 278_38 258_07 329_58 096_19 059_58 202_49 055_37 328_21 338_43 1.00 13.88 F001.33 F000.82 F000.80 R359.90 R359.98 F000.00 R359.98 F000.02 359.95
2062-01-17 303_52 034_36 279_58 258_56 330_46 096_13 059_57 202_49 055_36 328_22 338_40 1.00 14.12 F001.33 F000.83 F000.75 R359.90 R359.97 F000.00 R000.00 F000.02 359.95
2062-01-18 304_52 048_43 281_18 259_46 331_31 096_07 059_55 202_49 055_36 328_23 338_37 1.02 14.38 F001.33 F000.83 F000.80 R359.90 R000.00 F000.00 R000.00 F000.03 359.95
2062-01-19 305_53 063_06 282_38 260_36 332_19 096_01 059_55 202_49 055_36 328_25 338_34 1.00 14.55 F001.38 F000.82 F000.75 R359.90 R000.00 F000.00 R359.97 F000.02 359.95
2062-01-20 306_53 077_39 284_01 261_25 333_04 095_55 059_55 202_49 055_34 328_26 338_31 1.03 14.63 F001.40 F000.88 F000.80 R359.90 R000.00 B000.00 R000.00 F000.03 359.95
2062-01-21 307_55 092_17 285_25 262_18 333_52 095_49 059_55 202_49 055_34 328_28 338_28 1.00 14.68 F001.40 F000.87 F000.75 R359.90 R359.97 R000.00 R000.00 F000.03 359.95
2062-01-22 308_55 106_58 286_49 263_10 334_37 095_43 059_53 202_49 055_34 328_30 338_25 1.00 14.53 F001.45 F000.88 F000.77 R359.90 R000.00 R000.00 R000.00 F000.02 359.93
2062-01-23 309_55 121_30 288_16 264_03 335_23 095_37 059_53 202_49 055_34 328_31 338_21 1.00 14.30 F001.45 F000.87 F000.78 R359.90 R000.00 R000.00 R000.00 F000.03 359.95
2062-01-24 310_55 135_48 289_43 264_55 336_10 095_31 059_53 202_49 055_34 328_33 338_18 1.00 13.97 F001.47 F000.90 F000.77 R359.93 E000.00 R359.98 R000.00 F000.02 359.95
2062-01-25 311_55 149_46 291_11 265_49 336_56 095_27 059_53 202_48 055_34 328_34 338_15 1.00 13.60 F001.48 F000.93 F000.78 R359.92 F000.00 R000.00 R000.00 F000.03 359.93
2062-01-26 312_55 163_22 292_40 266_45 337_43 095_22 059_53 202_48 055_34 328_36 338_11 1.02 13.22 F001.50 F000.92 F000.75 R359.90 F000.00 R000.00 R000.00 F000.02 359.95
2062-01-27 313_56 176_35 294_10 267_40 338_28 095_16 059_53 202_48 055_34 328_37 338_08 1.00 12.83 F001.55 F000.93 F000.78 R359.93 F000.03 R359.97 R000.00 F000.02 359.93
2062-01-28 314_56 189_25 295_43 268_36 339_15 095_12 059_55 202_46 055_34 328_38 338_04 1.00 12.52 F001.55 F000.92 F000.77 R359.92 F000.00 R000.00 R000.00 F000.03 359.95
2062-02-01 315_56 201_56 297_16 269_31 340_01 095_07 059_55 202_46 055_34 328_40 338_01 1.03 12.23 F001.55 F000.95 F000.78 R359.92 F000.00 R000.00 E000.00 F000.02 359.95
2062-02-02 316_58 214_10 298_49 270_28 340_48 095_02 059_55 202_46 055_34 328_41 337_58 1.00 12.05 F001.57 F000.95 F000.77 R359.93 F000.03 R000.00 F000.00 F000.03 359.95
